UMAP1,UMAP2,id,top_nt,nerve,region,super_class,side,hemilineage,cell_function,cell_function_detailed,body_part_effector,composite_cell_type,cell_class,cell_sub_class,cell_type,label,nerve_side,unordered_cluster,cluster,colours,hover
0.8841919169749,5.7204922726274265,720575941350444592,unknown,right_mesothoracic_leg_nerve,ventral_nerve_cord,motor,right,NA,leg_motor,flex_coxa_trochanter_joint,middle leg,trochanter_flexor_MesoALN_posterior_soma,leg_motor_neuron,middle_leg_motor_neuron,trochanter_flexor_MesoALN_posterior_soma,middle leg,right,2,EFF_12,#695B52,composite_cell_type: trochanter_flexor_MesoALN_posterior_soma cell_function: leg_motor <br>root_id: 720575941350444592
-6.208298994508865,-3.196641297089981,720575941352743472,glutamate,NA,ventral_nerve_cord,visceral_circulatory,right,TBD,NA,NA,abdomen,ENXXX286,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,ENXXX286,abdomen,right,5,EFF_03,#9C9286,composite_cell_type: ENXXX286 cell_function: NA <br>root_id: 720575941352743472
3.839209245237229,2.2617907216668853,720575941353008688,acetylcholine,left_antennal_nerve,central_brain,motor,left,putative_primary,antenna_motor,NA,antenna,CB0810,antenna_motor_neuron,antenna_motor_neuron,CB0810,antenna,left,6,EFF_13,#CF603E,composite_cell_type: CB0810 cell_function: antenna_motor <br>root_id: 720575941353008688
3.4496909842814185,3.3334846785188446,720575941353301552,gaba,right_prothoracic_accessory_nerve,ventral_nerve_cord,motor,right,NA,leg_motor,move_coxa_posterior,front leg,sternal_posterior_rotator_miller_32,leg_motor_neuron,front_leg_motor_neuron,sternal_posterior_rotator_miller_32,front leg,right,6,EFF_13,#CF603E,composite_cell_type: sternal_posterior_rotator_miller_32 cell_function: leg_motor <br>root_id: 720575941353301552
2.71185247758281,0.7481286814332733,720575941390352388,octopamine,left_dorsal_prothoracic_nerve,ventral_nerve_cord,motor,left,NA,neck_motor,neck_roll,neck roll,DProN_d,neck_motor_neuron,neck_roll_motor_neuron,DProN_d,neck roll,left,8,EFF_14,#E92F2F,composite_cell_type: DProN_d cell_function: neck_motor <br>root_id: 720575941390352388
3.3600045905436255,4.192811160337998,720575941391252886,gaba,right_prothoracic_accessory_nerve,ventral_nerve_cord,motor,right,NA,leg_motor,flex_coxa_trochanter_joint,front leg,trochanter_flexor_posterior_soma_ProAN,leg_motor_neuron,front_leg_motor_neuron,trochanter_flexor_posterior_soma_ProAN,front leg,right,6,EFF_13,#CF603E,composite_cell_type: trochanter_flexor_posterior_soma_ProAN cell_function: leg_motor <br>root_id: 720575941391252886
-6.4711793198262475,-1.559659332978653,720575941391802372,glutamate,abdominal_nerve_trunk,ventral_nerve_cord,motor,right,TBD,NA,NA,thoracic abdominal segmental,ENXXX226_A5,thoracic_abdominal_segmental_motor_neuron,thoracic_abdominal_segmental_motor_neuron,ENXXX226,thoracic abdominal segmental,right,11,EFF_04,#F35438,composite_cell_type: ENXXX226_A5 cell_function: NA <br>root_id: 720575941391802372
-6.444456411806228,-3.3029116103529206,720575941392605590,unknown,NA,ventral_nerve_cord,visceral_circulatory,left,NA,NA,NA,abdomen,NA,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,NA,abdomen,left,5,EFF_03,#9C9286,composite_cell_type: NA cell_function: NA <br>root_id: 720575941392605590
-7.789335562196853,-2.744206280457901,720575941393379588,acetylcholine,NA,central_brain,visceral_circulatory,right,DILP__prim,"energy_metabolism,food_intake","dARC1,Ilp2,Ilp3,Ilp5",retrocerebral complex,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,m_NSC_DILP,retrocerebral complex,right,9,EFF_06,#EF9334,"composite_cell_type: m_NSC_DILP cell_function: energy_metabolism,food_intake <br>root_id: 720575941393379588"
-3.977577520815017,-4.248140663850235,720575941399300387,acetylcholine,NA,ventral_nerve_cord,motor,right,TBD,NA,NA,abdomen,MNad02_A6,abdomen_motor_neuron,abdomen_motor_neuron,MNad02,abdomen,right,10,EFF_02,#FAC240,composite_cell_type: MNad02_A6 cell_function: NA <br>root_id: 720575941399300387
