UMAP1,UMAP2,id,top_nt,side,region,super_class,hemilineage,cell_function,nerve,composite_cell_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,neck_group,group,label,unordered_cluster,cluster,colours
-20.94200799961507,5.442002880629641,720575941350890544,acetylcholine,left,neck_connective,descending,LB7,NA,NA,DNge110,descending,,DNge110,DNge110,DNut054,OUT,descending_OUT,NA,19,DN_06,#695B52
22.297511119647627,28.3407169461814,720575941351919408,acetylcholine,right,neck_connective,ascending,08B,NA,NA,AN08B018,ascending,NA,AN08B018,AN_AVLP_43,AN08B018,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
-36.62464807529866,9.57275639778052,720575941352057904,serotonin,left,neck_connective,descending,PSp2,NA,NA,DNpe054,descending,NA,DNpe054,DNpe054,NA,OUT,descending_OUT,NA,16,DN_05,#9C9286
19.880856532855635,-21.52219046348657,720575941352918576,gaba,left,neck_connective,descending,MX3,neuromodulatory,NA,DNg70,descending,,DNg70,DNg70,DNxn180,IN,descending_IN,DNg70,22,DN_16,#C4B39C
21.21529294948161,21.982587444838625,720575941352944432,gaba,right,neck_connective,ascending,17B,NA,NA,AN17B007,ascending,NA,AN17B007,AN_AVLP_SAD_3,AN17B007,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
-9.687459926800127,-14.403657329026121,720575941353080624,acetylcholine,right,neck_connective,descending,putative_primary,NA,NA,DNge036,descending,,DNge036,DNge036,DNfl042,IN,descending_IN,NA,10,DN_13,#CF603E
-15.992299061016436,18.519763577040774,720575941353112112,acetylcholine,left,neck_connective,ascending,07B,NA,NA,AN07B046,ascending,NA,AN07B046,AN_GNG_179,AN07B046,IN,ascending_IN,NA,14,AN_08,#D73029
22.748682994647627,-18.558639895859617,720575941353204784,acetylcholine,right,neck_connective,ascending,09B,NA,NA,AN09B018,ascending,NA,AN09B018,AN_GNG_71,AN09B018,IN,ascending_IN,NA,7,AN_18,#E92F2F
19.885449428363447,11.540380108412844,720575941353247536,acetylcholine,right,neck_connective,ascending,10B,NA,NA,AN10B046,ascending,NA,AN10B046,AN_GNG_165,AN10B046,OUT,ascending_OUT,NA,6,AN_22,#FA4141
-27.253205280498857,11.049768078383547,720575941353374512,acetylcholine,left,neck_connective,ascending,07B,NA,NA,AN07B085,ascending,NA,AN07B085,AN_GNG_175,AN07B085,IN,ascending_IN,NA,13,AN_04,#F35438
