id,supervoxel_id,composite_cell_type,super_class,cell_type,cluster,colours,UMAP1,UMAP2
720575941546693225,76637060639354338,EA00B006,visceral_circulatory,EA00B006,EFF_20,#933CA5,-2.650246374084556,2.915869422205155
720575941633520059,75930968082993857,EA06B010,visceral_circulatory,EA06B010,EFF_16,#773485,-1.3028073234101174,1.3470630123693397
720575941556189924,76353180548103556,EA06B010,visceral_circulatory,EA06B010,EFF_16,#773485,-1.3028073234101174,1.3470630123693397
720575941530511747,76284323498144230,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941574538504,76284460936797230,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941495864905,76704062196264027,CvN7,motor,CvN7,EFF_18,#A59B8D,-3.5556671542664406,2.3037185146886756
720575941534975425,76143586144025387,CvN_A1,motor,CvN_A1,EFF_18,#A59B8D,-3.5294940394898293,2.2668618633825233
720575941492452222,76776904707380361,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941598584768,76492887311034063,CvN2,motor,CvN2,EFF_18,#A59B8D,-3.4354627055664895,1.9006097986776282
720575941513990988,77266805789755233,CvN5-8,motor,CvN5-8,EFF_18,#A59B8D,-3.514086954071128,2.328205414064591
720575941489125351,76776835987876104,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941512880643,76354692175116619,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941493508551,76847273518391376,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941575975350,76354692174784573,DProN_v,motor,DProN_v,EFF_18,#A59B8D,-3.415634386016929,2.2834442331869056
720575941504200613,76776973426816889,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941390352388,76777042213195478,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941400967459,76071705503967968,EAXXX079,visceral_circulatory,EAXXX079,EFF_13,#695B52,0.36637426190177225,0.41766232991999885
720575941565285730,75859637265932845,CvN2,motor,CvN2,EFF_18,#A59B8D,-3.4354627055664895,1.9006097986776282
720575941526853030,76917642396951374,CvN_A1,motor,CvN_A1,EFF_18,#A59B8D,-3.5294940394898293,2.2668618633825233
720575941642129528,77196368326309345,CvN3,motor,CvN3,EFF_18,#A59B8D,-3.600707284881675,2.226083584078019
720575941489332169,76354692175152121,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941526954424,75155812184087904,CvN1-3,motor,CvN1-3,EFF_18,#A59B8D,-3.648535005523765,1.9783496334630897
720575941544264041,76284254778625105,DProN_v,motor,DProN_v,EFF_18,#A59B8D,-3.415634386016929,2.2834442331869056
720575941597457564,76422861828526134,CvN4,motor,CvN4,EFF_18,#A59B8D,-3.0824849528809426,1.8413563444692542
720575941577663825,76213954820723252,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941435429676,76354760894663377,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941548494113,76844799617665777,CvN7,motor,CvN7,EFF_18,#A59B8D,-3.5556671542664406,2.3037185146886756
720575941524522340,75155812184289601,CvN1-3,motor,CvN1-3,EFF_18,#A59B8D,-3.648535005523765,1.9783496334630897
720575941553264211,77196368259241222,CvN1-3,motor,CvN1-3,EFF_18,#A59B8D,-3.648535005523765,1.9783496334630897
720575941428762249,75015005975921008,CvN4,motor,CvN4,EFF_18,#A59B8D,-3.0824849528809426,1.8413563444692542
720575941548493857,77337105747338338,CvN1-3,motor,CvN1-3,EFF_18,#A59B8D,-3.648535005523765,1.9783496334630897
720575941593842795,77266737070187807,CvN1-3,motor,CvN1-3,EFF_18,#A59B8D,-3.648535005523765,1.9783496334630897
720575941609437613,75859705918680392,CvN6,motor,CvN6,EFF_18,#A59B8D,-3.6447989863892434,2.2616230919439246
720575941508147746,75155812251073466,CvN5,motor,CvN5,EFF_18,#A59B8D,-3.28809189028939,1.9677489473897865
720575941539792220,76211618358478065,CvN6,motor,CvN6,EFF_18,#A59B8D,-3.6447989863892434,2.2616230919439246
720575941439741119,76354829680874586,DProN_d_T1,motor,DProN_d,EFF_18,#A59B8D,-3.584422342254722,2.259705372102921
720575941544483252,75930968082759390,CvN1-3,motor,CvN1-3,EFF_18,#A59B8D,-3.648535005523765,1.9783496334630897
720575941457562694,75015074695473998,CvN3,motor,CvN3,EFF_18,#A59B8D,-3.600707284881675,2.226083584078019
720575941573751305,76143654930369281,CvN_A2,motor,CvN_A2,EFF_18,#A59B8D,-3.4883124751587746,1.9002648069936683
720575941455715053,75859293064515047,VCvN,motor,VCvN,EFF_18,#A59B8D,-3.3344771785279153,1.7099124863225867
720575941514963811,76492474256008533,VCvN,motor,VCvN,EFF_18,#A59B8D,-3.3344771785279153,1.7099124863225867
720575941731588651,76776904774186703,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941478578511,76706467243633363,DProN_d,motor,DProN_d,EFF_18,#A59B8D,-3.3952963275452492,2.296557374246781
720575941508147234,75647980673257515,VCvN,motor,VCvN,EFF_18,#A59B8D,-3.3344771785279153,1.7099124863225867
720575941492017790,77266737070100744,CvN1-3,motor,CvN1-3,EFF_18,#A59B8D,-3.648535005523765,1.9783496334630897
