id,supervoxel_id,composite_cell_type,super_class,cell_type,side,UMAP1,UMAP2,cluster,colours
720575941486680717,76142074248072351,DNp32,descending,DNp32,right,22.95253660182536,-13.54348124260034,DN_18,#E92F2F
720575941662395704,76212442992686915,DNd02,descending,DNd02,left,12.860473651691084,-10.361375224533933,DN_15,#61BAE7
720575941626500746,75930968015558765,DNg100,descending,DNg100,left,0.7857785413700392,-6.866586577835935,DN_26,#2C8EC0
720575941516280922,76142074248100748,AN07B004,ascending,AN07B004,left,-21.445687275127764,-0.9099816798600139,AN_02,#F96A3C
720575941393983382,76212442992270175,AN07B004,ascending,AN07B004,right,-21.445687275127764,-0.9099816798600139,AN_02,#F96A3C
720575941491992807,75014662244566844,DNg100,descending,DNg100,right,0.7857785413700392,-6.866586577835935,DN_26,#2C8EC0
720575941620273535,76353180480628309,DNd03,descending,DNd03,left,16.13180829982341,-5.028965842667478,DN_15,#61BAE7
720575941393242628,75788375369986196,DNp30,descending,DNp30,right,25.437497157855635,5.984703171309572,DN_22,#FA4141
720575941508609665,76353180547663916,AN19B001,ascending,AN19B001,right,3.245429296298628,3.268140184935671,AN_26,#2C8EC0
720575941579876085,76353180480635889,DNg74_a,descending,DNg74_a,right,-0.4735006687504003,-5.711955916825193,DN_26,#2C8EC0
720575941633206944,76142074315067918,DNp103,descending,DNp103,right,8.279633540912275,4.039836514052492,DN_24,#41A4D5
720575941507246405,76141180626620093,DNge149,descending,DNge149,right,8.978038806720381,-18.958114993515867,DN_17,#7E378C
720575941537710824,76212442924872167,DNg98,descending,DNg98,right,19.41379072169841,-16.1356014131936,DN_16,#C4B39C
720575941401814307,75930968015332293,DNge050,descending,DNge050,left,-1.565753917888994,-5.429137599411863,DN_26,#2C8EC0
720575941507745826,76848373029768217,ANXXX005,ascending,ANXXX005,left,27.28514959315837,-9.501534831467527,AN_18,#E92F2F
720575941658928208,76001336759552753,DNg34,descending,DNg34,right,14.622841853900557,-12.164608371201414,DN_15,#61BAE7
720575941450378333,76071705571064966,DNp103,descending,DNp103,left,8.279633540912275,4.039836514052492,DN_24,#41A4D5
720575941604155638,76496735602389479,AN02A001,ascending,AN02A001,right,3.306436557574873,5.65967046028052,AN_26,#2C8EC0
720575941459683398,76071705504161048,DNp27,descending,DNp27,left,14.559161205096846,-25.43170965904321,DN_14,#3D9D98
720575941557468836,76071705436520967,DNg98,descending,DNg98,left,19.41379072169841,-16.1356014131936,DN_16,#C4B39C
720575941499192905,76212442992034111,AN05B005,ascending,AN05B005,left,20.875716228290205,-6.695095431748289,AN_20,#409D3D
