banc_850_id,supervoxel_id,position,root_626,root_850,nucleus_id,proofread,roughly_proofread,status,side,root_position,root_position_nm,root_region,region,hemilineage,nerve,neuromere,flow,super_class,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,malecns_cell_type,hemibrain_cell_type,fanc_cell_type,fafb_match,manc_match,malecns_match,hemibrain_match,fanc_match,fafb_nblast_match,manc_nblast_match,hemibrain_nblast_match,fanc_nblast_match,malecns_nblast_match,sexually_dimorphic,cluster,manual_cluster,super_cluster,cns_network,body_part_sensory,body_part_effector,peripheral_target_type,cell_function_detailed,neurotransmitter_predicted,neurotransmitter_score,neurotransmitter_verified,neuropeptide_verified,l2_nodes,l2_cable_length_um,volume_nm3,input_connections,output_connections,input_side_index,output_side_index,mitochondria,mitochondria_volume,pd_width,segregation_index,seed_00,seed_01,seed_02,seed_03,seed_04,seed_05,seed_06,seed_07,seed_08,seed_09,seed_10,seed_11,seed_12,seed_13,seed_14,root_id,id,nucleus_supervoxel_id,nucleus_position,nucleus_position_nm,cell_id,soma_dcv_count,soma_dcv_density,voxels,notes,status_text,cns_cluster,cell_type_source,side_axon,neck_connective,known_nt_source,known_nt,top_nt,top_nt_conf,cell_type_neurotransmitter_predicted,neurotransmitter_predicted_v1,neurotransmitter_predicted_v2,neurotransmitter_predicted_v3,neurotransmitter_score_v1,neurotransmitter_score_v2,neurotransmitter_score_v3,cell_type_tomke,cell_type_source_text,other_names,morphology_group,banc_match,banc_match_supervoxel_id,banc_png_match,banc_png_match_supervoxel_id,banc_nblast_match,fafb_ntac_cell_type,fafb_alignment_cell_type,fafb_alignment_runner_up,fafb_alignment_match,fafb_alignment_confidence,fafb_alignment_decision,banc_nblast_match_supervoxel_id,banc_nblast,fafb_png_match,fafb_nblast,manc_png_match,manc_nblast,fanc_png_match,fanc_nblast,hemibrain_png_match,hemibrain_nblast,fafb_super_class,manc_super_class,malecns_png_match,malecns_nblast,an_type,auto_an_type,dn_type,auto_dn_type,fafb_cell_class,manc_cell_class,fafb_cell_sub_class,manc_cell_sub_class,ngl_link,cell_info_id,cell_info_user_id,cell_ids_position,cell_ids_position_nm,cell_ids_id,cell_ids_id_626,cell_ids_tag,root_626_codex,uploaded_to_codex_annotations,_locked,_locked_by,_archived,_creator,_ctime,_last_modifier,_mtime,cell_sub_type,neurotransmitter,cell_function,UMAP1,UMAP2,clusterno,label,colours,nerve_side,body_part_effector2
720575941546693225,76637060639354338,"134808, 165793, 2717",720575941546693225,720575941546693225,73184869005394426,TRUE,FALSE,"MANC_MATCH_WRONG_SIDE,TRACING_ISSUE,NEEDS_FAFB_MATCH,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,2_ASCENDING,FAFB_MATCH_MANUALLY_CHECKED,IN_NERVE,LR_TYPE_CONFLICT,MANC_MATCH_MANUALLY_CHECKED,SIDE_CONFLICT",right,"134832, 165824, 2720","539328, 663296, 122400",MANC_vnc_LNp_T1_R,neck_connective,00B,"left_dorsal_metathoracic_nerve, right_dorsal_metathoracic_nerve",T1,efferent,visceral_circulatory,ventral_nerve_cord_neurosecretory_cell,ventral_nerve_cord_neurosecretory_cell,EA00B006,NA,EA00B006,EA00B006,NA,NA,NA,11633,NA,NA,648,720575940622021117,11633,NA,648,NA,isomorphic,EFF_09,EFF_09,flight-energy-power,NA,unknown,NA,NA,NA,octopamine,0.8051,octopamine,NA,2106,9281.55,107252699392,927,717,-1,-1,0,0,0,NA,EA00B006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EA00B006_720575941546693225,720575941546693225,NA,720575941546693225,720575941546693225,76637060639365818,"134832, 165824, 2720","539328,663296,122400",11504,NA,NA,NA,"ascending, soma on midline, efferent, UM neuron

multiple ascending processes, real? - HHY
","MANC_MATCH_WRONG_SIDE,TRACING_ISSUE,NEEDS_FAFB_MATCH,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,2_ASCENDING,FAFB_MATCH_MANUALLY_CHECKED,IN_NERVE,LR_TYPE_CONFLICT,MANC_MATCH_MANUALLY_CHECKED",NA,wilson_lab,both,neck connective (left),NA,NA,glutamate,NA,octopamine,octopamine,octopamine,octopamine,0.9947,0.8051,0.8051,NA,wilson_lab,NA,NA,720575941558279972,76282811803817156,NA,NA,720575941579645173,NA,NA,NA,NA,NA,NA,76282811803920653,0.05,NA,0.19,11633,0.28,NA,0.37,NA,NA,NA,NA,190319,NA,101,8,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5133123734994944,NA,NA,"115634,92500,2853","462536, 370000, 128385",53,53,000053,720575941546693225,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:35:58Z,EA00B006,octopamine,NA,-2.456762229896364,2.227313164778505,09,NA,#FCC442,right,NA
720575941633520059,75930968082993857,"114325,92500,3003",720575941633520059,720575941633520059,73185006578565450,TRUE,FALSE,"FAFB_MATCH_WRONG_SIDE,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,FAFB_MATCH_MANUALLY_CHECKED,IN_NERVE,REEVAL_FAFB_MATCH,MANC_MATCH_MANUALLY_CHECKED",left,"137248, 182384, 3068","548992, 729536, 138060",COURT_vnc_MesoNM-T2,neck_connective,06B,right_posterior_dorsal_mesothoracic_nerve,T2,efferent,visceral_circulatory,ventral_nerve_cord_neurosecretory_cell,wing_neurosecretory_cell,EA06B010,NA,EA06B010,EA06B010,NA,EA06B010,720575940627788032,11314,NA,NA,12997,720575940620182181,18751,NA,13017,NA,isomorphic,EFF_09,EFF_09,flight-energy-power,NA,unknown,wing,NA,NA,glutamate,0.9722,NA,NA,1258,5557.51,55449615360,1749,4571,-1,-1,0,0,0,NA,EA06B010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EA06B010_720575941633520059,720575941633520059,NA,720575941633520059,720575941633520059,76778416669835066,"137248, 182384, 3068","548992,729536,138060",1762,NA,NA,NA,NA,"FAFB_MATCH_WRONG_SIDE,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,FAFB_MATCH_MANUALLY_CHECKED,IN_NERVE,REEVAL_FAFB_MATCH,MANC_MATCH_MANUALLY_CHECKED",NA,wilson_lab,right,neck connective (right),NA,NA,glutamate,NA,glutamate,glutamate,glutamate,glutamate,0.9551,0.9722,0.9722,NA,wilson_lab,NA,NA,720575941556189924,76353180548103556,720575941556189924,76353180548103556,720575941556189924,NA,NA,NA,NA,NA,NA,76353180548103556,0.6,720575940627788032,0.31,11314,0.45,12997,0.21,NA,NA,NA,NA,63441,NA,51,11,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5925866317021184,NA,NA,"114325,92500,3003","457300, 370000, 135135",389,389,000389,720575941633520059,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:35:58Z,EA06B010,glutamate,NA,-1.241313135124026,2.183212641783509,09,NA,#FCC442,right,wing
720575941556189924,76353180548103556,"125223, 92500, 3003",720575941556189924,720575941556189924,73114569047802514,TRUE,FALSE,"FAFB_MATCH_WRONG_SIDE,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,FAFB_MATCH_MANUALLY_CHECKED,FAFB_ALT_MATCH,MANC_MATCH_MANUALLY_CHECKED",right,"126224, 176992, 2824","504896, 707968, 127080",MANC_vnc_LNp_T2_R,neck_connective,06B,NA,T2,efferent,visceral_circulatory,ventral_nerve_cord_neurosecretory_cell,wing_neurosecretory_cell,EA06B010,AN_GNG_132,EA06B010,EA06B010,NA,EA06B010,720575940622109769,11300,NA,NA,13017,720575940636044143,11300,NA,13017,NA,isomorphic,EFF_09,EFF_09,flight-energy-power,NA,unknown,wing,NA,NA,glutamate,0.9622,NA,NA,1288,5220.58,50533536768,1963,5690,-1,-1,42,357358,NA,NA,EA06B010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EA06B010_720575941556189924,720575941556189924,NA,720575941556189924,720575941556189924,76355998046158634,"126224, 176992, 2824","504896,707968,127080",1834,NA,NA,NA,NA,"FAFB_MATCH_WRONG_SIDE,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,FAFB_MATCH_MANUALLY_CHECKED,FAFB_ALT_MATCH,MANC_MATCH_MANUALLY_CHECKED",NA,wilson_lab,left,neck connective (left),NA,NA,glutamate,NA,glutamate,glutamate,glutamate,glutamate,0.9657,0.9622,0.9622,NA,wilson_lab,NA,NA,720575941633520059,75930968082993857,720575941633520059,75930968082993857,720575941633520059,NA,NA,NA,NA,NA,NA,75930968082993857,0.59,720575940622109769,0.26,11314,0.73,13017,0.2,NA,NA,NA,NA,75379,NA,51,11,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5635365802082304,NA,NA,"125223,92500,3003","500892, 370000, 135135",503,503,000503,720575941556189924,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:35:58Z,EA06B010,glutamate,NA,-1.2764610404737582,2.0814462938983773,09,NA,#FCC442,right,wing
720575941530511747,76284323498144230,"124826, 138188, 2472",720575941530511747,720575941530511747,73114225316201033,TRUE,FALSE,"azevedo,REVIEW_MATCH_AN_DN,NEEDS_MANC_MATCH,HAS_MANUAL_ANNOTATION,INVESTIGATE_RESOLVED,DIFFICULT_MANC_TYPE,NOT_AN_DN",right,"124896, 138064, 2480","499584, 552256, 111600",MANC_vnc_NTct_UTct_T1_L,ventral_nerve_cord,16B,right_dorsal_prothoracic_nerve,T1,efferent,motor,neck_motor_neuron,neck_roll_pitch_motor_neuron,DProN5,NA,DProN5,MNnm08,NA,NA,NA,11954,NA,NA,118,NA,22827,NA,118,NA,isomorphic,EFF_12,EFF_12,head-eye-antenna,NA,unknown,neck,adductor_muscle,neck_roll_pitch,octopamine,0.4042,glutamate,NA,1450,4854.54,29900062464,3878,100,-1,-1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720575941530511747,NA,720575941530511747,720575941530511747,76284323498157416,"124896, 138064, 2480","499584,552256,111600",799,NA,NA,NA,NA,"azevedo,REVIEW_MATCH_AN_DN,NEEDS_MANC_MATCH,HAS_MANUAL_ANNOTATION,INVESTIGATE_RESOLVED,DIFFICULT_MANC_TYPE,NOT_AN_DN",NA,"huston_lab,wilson_lab,azevedo",NA,NA,NA,NA,NA,NA,octopamine,gaba,octopamine,octopamine,0.3087,0.4042,0.4042,NA,"huston_lab,wilson_lab,azevedo",DProN_d,NA,720575941504200613,76776973426816889,720575941492452222,76776904707380361,720575941504200613,NA,NA,NA,NA,NA,NA,76776973426816889,0.62,NA,NA,NA,0.4,118,0.56,NA,NA,NA,NA,802152,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5227125670936576,NA,NA,"119739,146374,3953","478956, 585496, 177885",556,556,000556,720575941530511747,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:37:05Z,DProN5,glutamate,neck_motor,-6.678703700996219,-3.457352276734558,12,DProN5,#51B07B,right,NA
720575941574538504,76284460936797230,"123308, 142200, 2371",720575941574538504,720575941574538504,73114294035677479,TRUE,FALSE,"azevedo,REVIEW_MATCH_AN_DN,NEEDS_MANC_MATCH,HAS_MANUAL_ANNOTATION,DIFFICULT_MANC_TYPE",right,"123328, 142224, 2368","493312, 568896, 106560",COURT_vnc_ProNM-T1,ventral_nerve_cord,16B,right_dorsal_prothoracic_nerve,T1,efferent,motor,neck_motor_neuron,neck_motor_neuron,DProN9,NA,DProN9,MNnm10,NA,NA,NA,11033,NA,NA,120,NA,11033,NA,120,NA,isomorphic,EFF_12,EFF_12,head-eye-antenna,NA,unknown,neck,neck_muscle,NA,gaba,0.3998,glutamate,NA,1398,4818.42,23213961472,4438,107,-1,-1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720575941574538504,NA,720575941574538504,720575941574538504,76284460936786757,"123328, 142224, 2368","493312,568896,106560",11565,NA,NA,NA,NA,"azevedo,REVIEW_MATCH_AN_DN,NEEDS_MANC_MATCH,HAS_MANUAL_ANNOTATION,DIFFICULT_MANC_TYPE",NA,"huston_lab,wilson_lab,azevedo",right,neck connective,NA,NA,NA,NA,gaba,gaba,gaba,gaba,0.3561,0.3998,0.3998,NA,"huston_lab,wilson_lab,azevedo",DProN_d,NA,720575941390352388,76777042213195478,720575941390352388,76777042213195478,720575941390352388,NA,NA,NA,NA,NA,NA,76777042213195478,0.67,NA,NA,NA,0.9,NA,0.2,NA,NA,NA,NA,803558,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4896754504826880,NA,NA,"121704,144864,3444","486816, 579456, 154980",565,565,000565,720575941574538504,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:37:05Z,DProN9,glutamate,neck_motor,-6.727287685371219,-3.462261792115418,12,DProN9,#51B07B,right,neck
720575941495864905,76704062196264027,"136206, 64422, 2986",720575941495864905,720575941495864905,73183975719305548,TRUE,FALSE,"azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,SENT_TO_AELYSIA_TRACING,INVESTIGATE_RESOLVED,IN_VIGNETTE,LR_TYPE_CONFLICT,BANC_PNG_MATCH_WRONG",left,"136192, 64528, 2985","544768, 258112, 134325",ITO_midbrain_IPS_L,central_brain,putative_primary,right_cervical_nerve,NA,efferent,motor,neck_motor_neuron,neck_pitch_motor_neuron,CvN7,CvN7,NA,CvN7,auto:WED158,NA,720575940640640061,NA,NA,NA,NA,720575940624154604,20862,2028339038,NA,NA,isomorphic,EFF_12,EFF_12,head-eye-antenna,NA,unknown,neck,ventral_longitudinal_1_muscle,neck_pitch,gaba,0.2858,NA,NA,1340,4661.04,21067298048,3567,135,-1,-1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720575941495864905,NA,720575941495864905,720575941495864905,76704062196253603,"136192, 64528, 2985","544768,258112,134325",11522,NA,NA,NA,NA,"azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,SENT_TO_AELYSIA_TRACING,INVESTIGATE_RESOLVED,IN_VIGNETTE,LR_TYPE_CONFLICT,BANC_PNG_MATCH_WRONG",NA,"huston_lab,wilson_lab,azevedo",right,neck connective (right),NA,NA,acetylcholine,NA,acetylcholine,gaba,gaba,gaba,0.33,0.2858,0.2858,NA,"huston_lab,wilson_lab,azevedo",ventral_longitudinal_1 CvN7,NA,720575941609437613,75859705918680392,720575941609437613,75859705918680392,720575941459454704,NA,NA,NA,NA,NA,NA,76844799617665777,0.72,NA,0.39,NA,-1.03,NA,NA,NA,0.24,NA,NA,10754,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5964888955420672,NA,NA,"116152,72343,2611","464608, 289372, 117495",616,616,000616,720575941495864905,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:37:05Z,CvN7,gaba,neck_motor,-6.5334428901441735,-3.398198958329407,12,CvN7,#51B07B,right,neck pitch
720575941534975425,76143586144025387,"120278, 138995, 2996",720575941534975425,720575941534975425,73043925425717996,TRUE,FALSE,"MANC_MATCH_WRONG_SIDE,azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,MALECNS_ALT_MATCH,LR_TYPE_CONFLICT,DIFFICULT_MANC_TYPE,NOT_AN_DN",left,"131012, 106360, 3243","524048, 425440, 145935",MANC_vnc_NTct_UTct_T1_L,ventral_nerve_cord,TBD,left_cervical_nerve,T1,efferent,motor,neck_motor_neuron,neck_yaw_motor_neuron,CvNA1,NA,CvNA1,ADNM1 MN,NA,NA,NA,20860,801678,NA,113,NA,26047,NA,113,801678,isomorphic,EFF_12,EFF_12,head-eye-antenna,NA,unknown,neck,transverse_horizontal_1_muscle,neck_yaw,gaba,0.6323,NA,NA,1253,4614.69,20687379968,5744,197,-1,-1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720575941534975425,NA,720575941534975425,720575941534975425,76143586144025350,"120304, 138928, 2995","481216,555712,134775",11536,NA,NA,NA,NA,"MANC_MATCH_WRONG_SIDE,azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,MALECNS_ALT_MATCH,LR_TYPE_CONFLICT,DIFFICULT_MANC_TYPE,NOT_AN_DN",NA,"huston_lab,wilson_lab,azevedo",left,neck connective,NA,NA,glutamate,NA,gaba,gaba,gaba,gaba,0.6005,0.6323,0.6323,NA,"huston_lab,wilson_lab,azevedo","ADNM1, transverse_horizontal_1 CvN_A1",NA,720575941526955266,75930968082877277,720575941526853030,76917642396951374,720575941526853030,NA,NA,NA,NA,NA,NA,76917642396951374,0.73,NA,NA,NA,0.41,113,0.51,NA,NA,NA,NA,801678,0.49,NA,NA,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6428924763439104,NA,NA,"135858,144543,3790","543432, 578172, 170550",631,631,000631,720575941534975425,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:37:05Z,CvNA1,gaba,neck_motor,-6.398666774726689,-3.1031941136638785,12,CvNA1,#51B07B,left,neck yaw
720575941492452222,76776904707380361,"138315, 138384, 2474",720575941492452222,720575941492452222,73184594060378384,TRUE,FALSE,"azevedo,REVIEW_MATCH_AN_DN,NEEDS_MANC_MATCH,HAS_MANUAL_ANNOTATION,DIFFICULT_MANC_TYPE,NOT_AN_DN,BANC_PNG_MATCH_WRONG",left,"138384, 138384, 2477","553536, 553536, 111465",MANC_vnc_NTct_UTct_T1_L,ventral_nerve_cord,16B,left_dorsal_prothoracic_nerve,T1,efferent,motor,neck_motor_neuron,neck_roll_motor_neuron,DProN4,NA,DProN4,MNnm03,NA,NA,NA,156960,NA,NA,NA,NA,17857,NA,121,NA,isomorphic,EFF_12,EFF_12,head-eye-antenna,NA,unknown,neck,levator_muscle,neck_roll,acetylcholine,0.4213,glutamate,NA,1216,4603.81,28529226752,3768,135,-1,-1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720575941492452222,NA,720575941492452222,720575941492452222,76776904707385877,"138384, 138384, 2477","553536,553536,111465",11583,NA,NA,NA,NA,"azevedo,REVIEW_MATCH_AN_DN,NEEDS_MANC_MATCH,HAS_MANUAL_ANNOTATION,DIFFICULT_MANC_TYPE,NOT_AN_DN,BANC_PNG_MATCH_WRONG",NA,"huston_lab,wilson_lab,azevedo",NA,NA,NA,NA,NA,NA,acetylcholine,acetylcholine,acetylcholine,acetylcholine,0.3787,0.4213,0.4213,NA,"huston_lab,wilson_lab,azevedo",DProN_d,NA,720575941489332169,76354692175152121,720575941530511747,76284323498144230,720575941530511747,NA,NA,NA,NA,NA,NA,76284323498144230,0.62,NA,NA,NA,0.37,NA,0.55,NA,NA,NA,NA,802923,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4668659126501376,NA,NA,"160880,132553,3139","643520, 530212, 141255",635,635,000635,720575941492452222,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:37:05Z,DProN4,glutamate,neck_motor,-6.607788478828246,-3.324190374306884,12,DProN4,#51B07B,left,neck roll
720575941598584768,76492887311034063,"129731, 61648, 3126",720575941598584768,720575941598584768,73113607042237708,TRUE,FALSE,"NEEDS_FAFB_MATCH,azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION",left,"129920, 61664, 3126","519680, 246656, 140670",ITO_midbrain_IPS_L,central_brain,putative_primary,right_cervical_nerve,NA,efferent,motor,neck_motor_neuron,neck_motor_neuron,CvN9,CvN9,NA,NA,NA,NA,720575940624117528,NA,NA,NA,NA,720575940624117528,NA,5813068635,NA,NA,isomorphic,EFF_12,EFF_12,head-eye-antenna,NA,unknown,neck,neck_muscle,NA,acetylcholine,0.6283,NA,NA,1166,4293.8,36403635712,2018,138,-1,-1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720575941598584768,NA,720575941598584768,720575941598584768,76492887311034113,"129920, 61664, 3126","519680,246656,140670",797,NA,NA,NA,NA,"NEEDS_FAFB_MATCH,azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION",NA,"huston_lab,wilson_lab,azevedo",right,neck connective (right),NA,NA,acetylcholine,NA,acetylcholine,acetylcholine,acetylcholine,acetylcholine,0.5696,0.6283,0.6283,NA,"huston_lab,wilson_lab,azevedo",NA,NA,720575941565285730,75859637265932845,720575941565285730,75859637265932845,720575941565285730,NA,NA,NA,NA,NA,NA,75859637265932845,0.7,720575940624117528,0.43,NA,NA,NA,NA,NA,0.19,NA,NA,10738,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5021549879885824,NA,NA,"112535,92500,3033","450140, 370000, 136485",746,746,000746,720575941598584768,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:37:05Z,CvN9,acetylcholine,neck_motor,-6.289341365791146,-3.4792970380108024,12,CvN9,#51B07B,right,neck
720575941513990988,77266805789755233,"151901, 58541, 2152",720575941513990988,720575941513990988,73324713006334216,TRUE,FALSE,"azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,INVESTIGATE_RESOLVED",left,"152080, 58528, 2139","608320, 234112, 96255",ITO_midbrain_IPS_L,central_brain,putative_primary,left_cervical_nerve,NA,efferent,motor,neck_motor_neuron,neck_pitch_motor_neuron,CvN5,CvN5,NA,CvN5,NA,NA,720575940624943084,NA,NA,NA,NA,720575940624943084,26047,5813039124,NA,NA,isomorphic,EFF_12,EFF_12,head-eye-antenna,NA,unknown,neck,ventral_longitudinal_1_muscle,neck_pitch,gaba,0.4733,NA,NA,1099,4221.64,24269745664,4147,242,-1,-1,134,1687891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720575941513990988,NA,720575941513990988,720575941513990988,77266805789719128,"152080, 58528, 2139","608320,234112,96255",776,NA,NA,NA,NA,"azevedo,REVIEW_MATCH_AN_DN,HAS_MANUAL_ANNOTATION,INVESTIGATE_RESOLVED",NA,"huston_lab,wilson_lab,azevedo",left,neck connective (left),NA,NA,NA,NA,gaba,gaba,gaba,gaba,0.4798,0.4733,0.4733,NA,"huston_lab,wilson_lab,azevedo",ventral_longitudinal_1 CvN5-8,NA,720575941508147746,75155812251073466,720575941508147746,75155812251073466,720575941508147746,NA,NA,NA,NA,NA,NA,75155812251073466,0.67,720575940624943084,0.26,NA,-1.03,NA,NA,NA,0.1,NA,NA,174810,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6541128972107776,NA,NA,"133650,68539,2409","534600, 274156, 108405",766,766,000766,720575941513990988,NA,NA,NA,FALSE,498faaeec7594eb1af1d548baefecba6@auth.local,2024-07-17T21:25:08Z,498faaeec7594eb1af1d548baefecba6@auth.local,2026-04-12T02:37:05Z,CvN5,gaba,neck_motor,-6.655009662605106,-3.298546191148008,12,CvN5,#51B07B,left,neck pitch
