root_id,spectral_cluster,umap_x,umap_y,unofficial_cluster_name
720575941515935747,10,4.747427,1.7332278,right visual
720575941515542531,5,0.3261659,11.044808,lateral brain
720575941392728068,9,3.3288565,13.188553,left visual
720575941574262793,11,10.569703,10.180369,left olfactory
720575941559975951,2,-11.731101,8.462655,ventral VNC
720575941446729748,2,-11.08054,7.1071506,ventral VNC
720575941507285015,8,9.184619,3.1450503,superior brain
720575941640585247,8,7.9894867,8.013367,superior brain
720575941549490209,1,-0.58597636,5.4864717,dorsal VNC
720575941401772067,3,-12.577848,2.743846,abdominal VNC
720575941593530407,10,5.032335,0.73744196,right visual
720575941438079020,11,14.634913,13.056925,left olfactory
720575941561548845,12,11.1829605,0.513093,right olfactory
720575941567840302,13,8.119758,-6.0459986,central complex
720575941455118387,12,9.666,1.7031987,right olfactory
720575941477269556,4,2.092547,5.2487187,posterior brain
720575941566398518,5,2.8365517,9.6208515,lateral brain
720575941566660662,9,5.616246,13.466954,left visual
720575941662081080,7,4.571718,5.628179,inferior brain
720575941628133433,5,1.7163166,1.8643353,lateral brain
720575941661294648,2,-6.499923,12.481411,ventral VNC
720575941474648123,5,0.58757496,1.1661484,lateral brain
720575941566529590,12,14.051537,-3.34476,right olfactory
720575941563514934,1,-5.446481,3.1812394,dorsal VNC
720575941552898110,5,0.86265254,1.3688146,lateral brain
720575941589991479,2,-10.204699,7.878217,ventral VNC
720575941471240256,5,0.1919101,0.86573625,lateral brain
720575941506367557,12,10.917647,1.0981126,right olfactory
720575941498503241,7,4.633968,3.4943974,inferior brain
720575941659328592,1,-6.2133455,4.1272287,dorsal VNC
720575941578850385,10,6.2264833,1.7976351,right visual
720575941642289234,7,4.247223,6.9778504,inferior brain
720575941555650643,11,12.10745,10.877151,left olfactory
720575941464686678,1,-0.65277076,5.594928,dorsal VNC
720575941502959703,5,1.9769695,1.5082968,lateral brain
720575941578850393,7,5.446931,4.6183815,inferior brain
720575941515935834,2,-10.383362,7.623217,ventral VNC
720575941541494876,11,15.73499,14.089899,left olfactory
720575941447778397,2,-9.516587,10.472297,ventral VNC
720575941508464734,8,8.927863,4.628481,superior brain
720575941450530909,9,5.0207286,13.565398,left visual
720575941473861728,2,-7.7829027,9.542283,ventral VNC
720575941565481058,10,2.0968277,-0.4979959,right visual
720575941563646050,2,-6.399154,12.731722,ventral VNC
720575941525897316,3,-11.557022,3.0302143,abdominal VNC
720575941526028388,11,14.630285,13.045071,left olfactory
720575941609390182,2,-8.568954,10.039126,ventral VNC
720575941612273766,13,-1.1714138,-8.536938,central complex
720575941515935843,7,6.0092535,8.253915,inferior brain
720575941475696746,1,-6.005213,2.1691263,dorsal VNC
720575941518688366,4,0.8956202,6.6234527,posterior brain
720575941470847095,8,8.948627,7.426944,superior brain
720575941451317370,13,-1.84345,-8.775691,central complex
720575941494177918,2,-6.159455,8.797946,ventral VNC
720575941553291399,8,8.725055,8.329924,superior brain
720575941502173323,7,5.163354,2.4888108,inferior brain
720575941515411603,4,-0.19843972,5.9648495,posterior brain
720575941413568660,12,13.98606,-3.4627998,right olfactory
720575941691310232,8,8.115992,4.542165,superior brain
720575941615550617,8,8.099238,6.795108,superior brain
720575941690130584,12,14.560345,-3.7712574,right olfactory
720575941499027618,11,15.571636,13.396526,left olfactory
720575941498634402,2,-5.961989,12.348709,ventral VNC
720575941527994534,13,-1.1883503,-8.538628,central complex
720575941560631464,1,-7.440849,1.9095923,dorsal VNC
720575941518426284,12,15.361772,-5.4172654,right olfactory
720575941667979441,7,5.661678,2.890315,inferior brain
720575941518950579,4,1.7674869,5.760071,posterior brain
720575941520130227,2,-10.087765,7.673147,ventral VNC
720575941520523447,7,4.5644073,7.2293158,inferior brain
720575941603360953,12,9.804393,1.4612906,right olfactory
720575941545033916,1,-5.4754066,3.1605992,dorsal VNC
720575941603098814,13,7.6592684,-6.2908535,central complex
720575941598249152,12,15.439214,-4.46888,right olfactory
720575941598904512,9,5.701876,8.396495,left visual
720575941496144071,5,1.3615024,1.8018973,lateral brain
720575941440176335,10,5.1261606,0.9038352,right visual
720575941485789392,6,-2.7617471,2.3582838,flange median bundle
720575941488017616,1,0.42185935,6.8082647,dorsal VNC
720575941511479506,8,9.586386,5.830514,superior brain
720575941458395347,2,-5.974677,11.323527,ventral VNC
720575941655658708,12,15.267345,-3.867139,right olfactory
720575941594185942,5,2.701158,1.6950654,lateral brain
720575941690130651,5,2.1996834,1.3813063,lateral brain
720575941499027681,11,14.590696,13.516334,left olfactory
720575941533106405,4,2.8581614,6.3656664,posterior brain
720575941538218216,1,-5.5384746,3.091713,dorsal VNC
720575941533368554,2,-10.711481,7.5456476,ventral VNC
720575941686853871,2,-9.152593,7.602124,ventral VNC
720575941652775153,7,6.08578,8.090255,inferior brain
720575941665489139,2,-5.9137526,12.362978,ventral VNC
720575941567054068,2,-6.1184034,12.804685,ventral VNC
720575941601919222,7,4.0767145,6.5667553,inferior brain
720575941567054074,13,8.839749,-5.6779394,central complex
720575941624463612,8,10.383132,5.297062,superior brain
720575941554733313,4,3.0085127,6.4912133,posterior brain
720575941526946050,2,-6.7075787,8.544602,ventral VNC
720575941486575878,3,-9.79751,4.7536244,abdominal VNC
720575941688819980,11,14.651221,13.493746,left olfactory
720575941463638285,5,-3.60984,10.617978,lateral brain
720575941431656718,2,-5.9790196,13.1080265,ventral VNC
720575941653692689,5,0.81692314,1.3559343,lateral brain
720575941551456539,6,10.953531,4.278949,flange median bundle
720575941434671392,4,0.7747536,5.5859737,posterior brain
720575941558534436,5,2.8981576,9.598187,lateral brain
720575941629051174,9,2.5709157,14.046093,left visual
720575941594317095,2,-6.798706,12.273385,ventral VNC
720575941592219944,2,-8.533581,11.509189,ventral VNC
720575941594841383,9,2.7135913,11.181548,left visual
720575941474779434,4,1.0022019,7.655823,posterior brain
720575941732204843,13,8.492193,-5.3256435,central complex
720575941732991275,11,10.765661,10.38644,left olfactory
720575941474779444,2,-8.720659,10.379206,ventral VNC
720575941589205303,11,15.312613,13.540396,left olfactory
720575941661688120,12,9.372827,2.64922,right olfactory
720575941662474552,7,3.1327057,5.8173094,inferior brain
720575941723423034,7,5.1472254,5.7231507,inferior brain
720575941473206587,9,5.9006424,13.070611,left visual
720575941721719098,9,3.3345542,13.177294,left visual
720575941486444866,1,-0.4154789,5.5782547,dorsal VNC
720575941514756419,13,7.5691423,-6.3720694,central complex
720575941459968326,4,1.6919513,5.5555243,posterior brain
720575941451841863,1,-5.7186985,3.2480192,dorsal VNC
720575941459312966,1,-8.490929,0.77383125,dorsal VNC
720575941450269006,11,15.122735,13.388625,left olfactory
720575941481201999,5,2.2180269,1.9932228,lateral brain
720575941659066704,8,7.8608527,4.9938216,superior brain
720575941659328848,2,-11.317156,8.057056,ventral VNC
720575941642158418,2,-11.164326,7.9359665,ventral VNC
720575941451186510,7,5.867542,9.163086,inferior brain
720575941553815891,10,4.5096245,-3.5560348,right visual
720575941503877463,7,6.0174184,9.003743,inferior brain
720575941450269021,13,13.972999,0.75165886,central complex
720575941583307103,12,15.289895,-4.8474555,right olfactory
720575941473599840,5,1.2380536,10.3689785,lateral brain
720575941612667238,2,-7.6387057,9.395554,ventral VNC
720575941565088103,10,4.95076,0.590364,right visual
720575941576753512,8,8.4954405,3.7072449,superior brain
720575941546606953,12,10.751298,-0.28532565,right olfactory
720575941478580586,11,10.919688,9.346351,left olfactory
720575941593923947,9,-3.0297253,19.826923,left visual
720575941557617011,2,-6.9769874,10.740107,ventral VNC
720575941644386680,8,10.231197,5.8863587,superior brain
720575941580685689,2,-6.929681,8.760167,ventral VNC
720575941451579770,7,5.6482677,9.985323,inferior brain
720575941495095678,12,9.321182,1.9576286,right olfactory
720575941480546690,2,-11.034489,7.1964,ventral VNC
720575941551063431,3,-11.150105,3.9359438,abdominal VNC
720575941501649291,9,4.9132605,10.939437,left visual
720575941588550028,2,-6.5512094,12.318298,ventral VNC
720575941413044625,8,9.270899,7.3417883,superior brain
720575941564432786,2,-7.7498384,9.427338,ventral VNC
720575941562466706,10,2.7580206,-2.135902,right visual
720575941430590857,9,3.5449164,12.910454,left visual
720575941456429471,2,-8.6337385,11.532142,ventral VNC
720575941633245600,11,11.8838825,11.345257,left olfactory
720575941556830628,7,5.6703963,7.7937965,inferior brain
720575941556568484,4,1.5145146,6.677947,posterior brain
