seed,seed_type,max_influence_log,in_group,group_status,combined_group,root_id
AN00A002_720575941433075470,ascending,18.89,TRUE,above threshold,ascending above threshold,720575941433075470
AN00A006_720575941471916608,ascending,15.36,FALSE,below threshold,ascending below threshold,720575941471916608
AN00A006_720575941486776642,ascending,17.06,FALSE,below threshold,ascending below threshold,720575941486776642
AN00A006_720575941487876560,ascending,18.16,TRUE,above threshold,ascending above threshold,720575941487876560
AN00A006_720575941515909635,ascending,15.98,FALSE,below threshold,ascending below threshold,720575941515909635
AN00A006_720575941630020134,ascending,18.14,TRUE,above threshold,ascending above threshold,720575941630020134
AN01A001_720575941449981277,ascending,18.49,TRUE,above threshold,ascending above threshold,720575941449981277
AN01A001_720575941579788533,ascending,18.12,TRUE,above threshold,ascending above threshold,720575941579788533
AN01A006_720575941393748630,ascending,18.81,TRUE,above threshold,ascending above threshold,720575941393748630
AN01A006_720575941499772066,ascending,18.27,TRUE,above threshold,ascending above threshold,720575941499772066
AN01A014_720575941495128446,ascending,20.81,TRUE,above threshold,ascending above threshold,720575941495128446
AN01A014_720575941563670023,ascending,20.76,TRUE,above threshold,ascending above threshold,720575941563670023
AN01A021_720575941578527065,ascending,18.02,TRUE,above threshold,ascending above threshold,720575941578527065
AN01A021_720575941632875461,ascending,20.24,TRUE,above threshold,ascending above threshold,720575941632875461
AN01A033_720575941474562334,ascending,14.08,FALSE,below threshold,ascending below threshold,720575941474562334
AN01A033_720575941548340104,ascending,14.6,FALSE,below threshold,ascending below threshold,720575941548340104
AN01A049_720575941554198555,ascending,20.44,TRUE,above threshold,ascending above threshold,720575941554198555
AN01A049_720575941654974169,ascending,20,TRUE,above threshold,ascending above threshold,720575941654974169
AN01A055_720575941456851693,ascending,19.56,TRUE,above threshold,ascending above threshold,720575941456851693
AN01A055_720575941545087493,ascending,16.18,FALSE,below threshold,ascending below threshold,720575941545087493
AN01A055_720575941574730235,ascending,15.85,FALSE,below threshold,ascending below threshold,720575941574730235
AN01A055_720575941593714027,ascending,14.7,FALSE,below threshold,ascending below threshold,720575941593714027
AN01A055_720575941611188554,ascending,15.16,FALSE,below threshold,ascending below threshold,720575941611188554
AN01A055_720575941691165848,ascending,19.89,TRUE,above threshold,ascending above threshold,720575941691165848
AN01B002_720575941408856879,ascending,17.83,FALSE,below threshold,ascending below threshold,720575941408856879
AN01B002_720575941431062959,ascending,18.11,TRUE,above threshold,ascending above threshold,720575941431062959
AN01B002_720575941542469724,ascending,16.96,FALSE,below threshold,ascending below threshold,720575941542469724
AN01B002_720575941578509401,ascending,17.25,FALSE,below threshold,ascending below threshold,720575941578509401
AN01B002_720575941612188589,ascending,17.82,FALSE,below threshold,ascending below threshold,720575941612188589
