bodyid,post,pre,downstream,upstream,synweight,totalNtPredictions,predictedNt,voxels,class,entryNerve,name,ntAcetylcholineProb,ntGabaProb,ntGlutamateProb,ntUnknownProb,origin,location,locationType,predictedNtProb,prefix,rootSide,statusLabel,subclass,synonyms,systematicType,target,type,vfbId,modality,tag,cluster,subcluster,receptorType,status,celltypeTotalNtPredictions,celltypePredictedNt,group,somaSide,birthtime,hemilineage,serial,serialMotif,somaNeuromere,somaLocation,description,avgLocation,exitNerve,subclassabbr,transmission,tosomaLocation,longTract,rootLocation,source,soma
10120,222,292,2455,222,2677,292,glutamate,285043777,sensory neuron,MetaLN_L,SNpp50_MetaLN_L,0.46436903,0.059754644,0.46649638,0.009379934,metathoracic leg,"18250,20158,12491",auto,0.46649638,SN,LHS,Prelim Roughly traced,chordotonal organ,FeCO claw,SNpp50,LegNpT3_L,SNpp50,VFB_jrcv07t4,proprioceptive,16.03.h3,94,29,chordotonal organ,Traced,14544,acetylcholine,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,FALSE
10133,14907,2216,16602,14907,31509,2216,gaba,5893236035,intrinsic neuron,NA,IN19A001_T3_L,0.0057691615,0.86921936,0.122672595,0.0023388942,LegNpT3_L,"17300,11304,11150",soma,0.86921936,IR,NA,Roughly traced,IR,NA,IN19A001,LegNpT3_L,IN19A001,VFB_jrcv07th,NA,NA,NA,NA,NA,Traced,13371,gaba,10169,LHS,early secondary,19A,10133,independent leg,T3,"list(17300, 11304, 11150),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,,NA,NA,NA,,NA,,NA,TRUE
10158,911,212,1499,911,2410,212,acetylcholine,338538528,intrinsic neuron,None,IN20A.22A067_T3_L,0.6903333,0.13984698,0.16198663,0.007833079,LegNpT3_L,"20324,15378,10843",user,0.6903333,IR,NA,Roughly traced,IR,NA,IN20A.22A067,LegNpT3_L,IN20A.22A067,VFB_jrcv07u6,NA,NA,NA,NA,NA,Traced,4470,acetylcholine,10158,LHS,secondary,20A.22A,NA,NA,T3,"list(17999, 14398, 5051),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",20A in T3 LHS,"list(20293, 15901, 10843),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
10203,13499,2203,14463,13499,27962,2203,glutamate,5389165602,intrinsic neuron,NA,IN08A002_T3_L,0.045338366,0.066144936,0.8847294,0.0037873376,LegNpT3_L,"14101,22040,10161",soma,0.88410825,IR,NA,Roughly traced,IR,NA,IN08A002,LegNpT3_L,IN08A002,VFB_jrcv07vf,NA,NA,NA,NA,NA,Traced,13939,glutamate,10198,LHS,early secondary,08A,10198,independent leg,T3,"list(14101, 22040, 10161),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",was 16B,,NA,NA,NA,,NA,,NA,TRUE
10215,10637,1988,15452,10637,26089,1988,gaba,4091633727,intrinsic neuron,NA,IN19A007_T3_L,0.008849296,0.6931234,0.29532972,0.002697593,LegNpT3_L,"17655,10135,12696",soma,0.69282854,IR,NA,Roughly traced,IR,NA,IN19A007,LegNpT3_L,IN19A007,VFB_jrcv07vr,NA,NA,NA,NA,NA,Traced,12776,gaba,10215,LHS,early secondary,19A,10215,independent leg,T3,"list(17655, 10135, 12696),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,,NA,NA,NA,,NA,,NA,TRUE
10258,13812,2649,20926,13812,34738,2649,gaba,4987013588,intrinsic neuron,NA,IN19A002_T3_L,0.0051406403,0.86496174,0.12720065,0.0026969656,LegNpT3_L,"17296,9433,17633",soma,0.86470413,IR,NA,Roughly traced,IR,NA,IN19A002,LegNpT3_L,IN19A002,VFB_jrcv07wy,NA,NA,NA,NA,NA,Traced,16540,gaba,10258,LHS,primary,19A,10146,independent leg,T3,"list(17296, 9433, 17633),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,,NA,NA,NA,,NA,,NA,TRUE
10265,5725,2662,20201,5725,25926,2662,gaba,5460329084,intrinsic neuron,None,IN13B001_T3_R,0.011874437,0.8893201,0.095026806,0.003778678,LegNpT3_L,"19385,25776,14432",user,0.8893201,CR,NA,Roughly traced,CR,NA,IN13B001,LegNpT3_L,IN13B001,VFB_jrcv07x5,NA,NA,NA,NA,NA,Traced,15247,gaba,10229,RHS,primary,13B,10116,independent leg,T3,"list(22221, 27653, 9524),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",13B in T3 RHS,"list(19385, 25740, 13375),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
10341,2878,547,3479,2878,6357,547,acetylcholine,954322088,intrinsic neuron,NA,IN03A039_T3_L,0.55821115,0.18319854,0.25257695,0.006013345,LegNpT3_L,"18519,9018,14809",soma,0.55821115,IR,NA,Roughly traced,IR,NA,IN03A039,LegNpT3_L,IN03A039,VFB_jrcv07z9,NA,NA,NA,NA,NA,Traced,3828,acetylcholine,10341,LHS,secondary,03A,10341,independent leg,T3,"list(18519, 9018, 14809),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,,NA,NA,NA,,NA,,NA,TRUE
10357,1091,202,1708,1091,2799,202,glutamate,482938412,intrinsic neuron,None,IN21A047_T3_L,0.045144532,0.016823618,0.9373525,6.793554e-4,LegNpT3_L,"21627,15935,15496",user,0.93598187,IR,NA,Roughly traced,IR,NA,IN21A047,LegNpT3_L,IN21A047,VFB_jrcv07zp,NA,NA,NA,NA,NA,Traced,2430,glutamate,10357,LHS,secondary,21A,10357,independent leg,T3,"list(19383, 17238, 5957),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",21A? in T3 LHS,"list(21734, 15812, 15496),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
10405,10000,2374,20733,10000,30733,2374,gaba,4213040219,intrinsic neuron,NA,IN13A003_T3_L,0.02028213,0.7582042,0.2185221,0.0029915625,LegNpT3_L,"17858,23939,6663",soma,0.7580478,IR,NA,Roughly traced,IR,NA,IN13A003,LegNpT3_L,IN13A003,VFB_jrcv0811,NA,NA,NA,NA,NA,Traced,15270,gaba,10350,LHS,primary,13A,10185,independent leg,T3,"list(17858, 23939, 6663),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",13A? in T3 LHS,,NA,NA,NA,,NA,,NA,TRUE
