1,mn_9_optogenetic_activation_rate,split_gal_4_behavioral_information,shortest_path,10_hz_mn_9_left_5,10_hz_mn_9_right_6,20_hz_mn_9_left_7,20_hz_mn_9_right_8,30_hz_mn_9_left_9,30_hz_mn_9_right_10,40_hz_mn_9_left_11,40_hz_mn_9_right_12,50_hz_mn_9_left_13,50_hz_mn_9_right_14,100_hz_mn_9_left_15,100_hz_mn_9_right_16,150_hz_mn_9_left_17,150_hz_mn_9_right_18,200_hz_mn_9_left_19,200_hz_mn_9_right_20,standard_deviation,10_hz_mn_9_left_22,10_hz_mn_9_right_23,20_hz_mn_9_left_24,20_hz_mn_9_right_25,30_hz_mn_9_left_26,30_hz_mn_9_right_27,40_hz_mn_9_left_28,40_hz_mn_9_right_29,50_hz_mn_9_left_30,50_hz_mn_9_right_31,100_hz_mn_9_left_32,100_hz_mn_9_right_33,150_hz_mn_9_left_34,150_hz_mn_9_right_35,200_hz_mn_9_left_36,200_hz_mn_9_right_37,neuron_name,flywire_id,root_id,root_783,supervoxel_id,proofread,status,pos_x,pos_y,pos_z,nucleus_id,soma_x,soma_y,soma_z,side,nerve,top_nt,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_match,hemibrain_type,morphology_group,known_nt,known_nt_source,notes,region,hemilineage,modality,seed,top_nt_conf,optic,flywire_xyz,root_recent,dataset,soma_dcv_density,soma_dcv_count,soma_volume,cell_dcv_count,cell_dcv_avg_size,known_np,total_outputs,total_inputs,axon_outputs,dend_outputs,axon_inputs,dend_inputs,pd_outputs,pn_outputs,pd_inputs,pn_inputs,total_outputs_density,total_inputs_density,axon_outputs_density,dend_outputs_density,axon_inputs_density,dend_inputs_density,axon_length,dend_length,pd_length,pn_length,axon_width,dend_width,pd_width,pn_width,segregation_index,projection_score,root,nodes,segments,branchpoints,endpoints,cable_length,n_trees,connectors,postsynapse_side_index,presynapse_side_index,cell_dcv_density,conf_nt,conf_nt_p,top_p,gaba,acetylcholine,glutamate,octopamine,serotonin,dopamine,output_degree,input_degree,sez_class
roundup,1,"SS47730: .9, SS47731: .8, SS47744: 1, SS47745: .9; See also Shiu, Sterne et al., 2022",1,19.6333333333333,16.2,39.6,37.8666666666666,55.2333333333333,56.4,68.0333333333333,68.8,79.5,82.6666666666666,115.4,118.533333333333,134.466666666666,141.1,154.7,157.7,NA,5.52861244396417,6.04648658313239,5.71897426700511,5.63757236957737,6.15729016875299,6.35400136397005,5.94689461446523,6.63023378170031,6.97973256412211,6.6147982248558,5.70730526021986,6.44325659550786,6.05933623060773,5.00233278914281,4.82458979257995,4.79687398208458,roundup,720575940607272649,720575940607272649,720575940607272649,81140591077162165,1,NA,153096,87024,1892,6508849,153096,87024,1892,right,NA,acetylcholine,brain_intrinsic,central,NA,NA,CB0553,NA,NA,NA,NA,NA,NA,midbrain,putative_primary,NA,NA,0.9324765,FALSE,"(153096, 87024, 1892)",720575940607272649,flywire,0.4166,161,38650461,4059,136,NA,11670,5281,4983,3270,53,4842,0,0,0,0,1.687,0.7636000000000001,11.79,0.6941999999999999,0.1254,1.028,422.6,4710,127.5,116.2,0.902,0.324,0.98,0.674,0.33599999999999997,124.4,1,13134,4423,2152,2272,6916,1,16951,1,1,0.5869,acetylcholine,0.891,0.901,0.032690000000000004,0.8414,0.06629000000000002,0.0034390000000000002,0.015489999999999999,0.03862,4823,5281,sez_intrinsic
roundup,1,"SS47730: .9, SS47731: .8, SS47744: 1, SS47745: .9; See also Shiu, Sterne et al., 2022",1,19.6333333333333,16.2,39.6,37.8666666666666,55.2333333333333,56.4,68.0333333333333,68.8,79.5,82.6666666666666,115.4,118.533333333333,134.466666666666,141.1,154.7,157.7,NA,5.52861244396417,6.04648658313239,5.71897426700511,5.63757236957737,6.15729016875299,6.35400136397005,5.94689461446523,6.63023378170031,6.97973256412211,6.6147982248558,5.70730526021986,6.44325659550786,6.05933623060773,5.00233278914281,4.82458979257995,4.79687398208458,roundup,720575940623211725,720575940623211725,720575940623211725,78044160308835700,1,NA,107712,84480,2599,3247552,107712,84480,2599,left,NA,acetylcholine,brain_intrinsic,central,NA,NA,CB0553,NA,NA,NA,NA,NA,NA,midbrain,putative_primary,NA,NA,0.8975733,FALSE,"(107712, 84480, 2599)",720575940623211725,flywire,0.5347,73,13652157,3787,135,NA,11044,6322,7905,2653,141,4619,0,0,0,0,1.555,0.8902,14.16,0.6332,0.2526,1.102,558.1,4190,149.6,98.37,0.85,0.314,0.99,0.619,0.42250000000000004,127.5,1,13741,4693,2276,2418,7102,1,17366,1,1,0.5332,acetylcholine,0.913,0.927,0.02791,0.8640000000000001,0.048150000000000005,0.006725,0.01157,0.04024,4302,6322,sez_intrinsic
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940626679317,720575940626679317,720575940626679317,78607728737692592,1,NA,115813,93132,3074,NA,NA,NA,NA,left,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_left,0.7655939,FALSE,"(115813, 93132, 3074)",720575940626679317,flywire,NA,NA,NA,4482,226,NA,958,169,958,0,169,0,0,0,0,0,1.49,0.2629,1.49,0,0.2629,0,642.9,0,0,0,0.428,0,0,0,NA,NA,1,1220,202,98,104,642.9,1,1127,1,1,6.972,serotonin,0.557,0.632,0.007895000000000001,0.15470000000000003,0.12210000000000001,0.0042109999999999995,0.6076,0.10210000000000001,236,NA,sez_sensory
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940637107312,720575940637107312,720575940637107312,80437384805746002,1,NA,142880,94078,2982,NA,NA,NA,NA,right,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_right,0.7332473,FALSE,"(142880, 94078, 2982)",720575940637107312,flywire,NA,NA,NA,3062,216,NA,669,109,669,0,109,0,0,0,0,0,1.21,0.19720000000000001,1.21,0,0.19720000000000001,0,552.8,0,0,0,0.398,0,0,0,NA,NA,1,1055,131,65,67,552.8,1,778,1,1,5.539,serotonin,0.647,0.735,0.05559,0.17320000000000002,0.022350000000000002,0.001176,0.7243999999999999,0.02294,NA,NA,sez_sensory
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940641058523,720575940641058523,720575940641058523,78959160074853835,1,NA,121418,86921,2364,NA,NA,NA,NA,right,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_right,0.8239615,FALSE,"(121418, 86921, 2364)",720575940641058523,flywire,NA,NA,NA,3269,217,NA,729,199,198,264,63,107,0,0,0,0,1.1480000000000001,0.3134,1.33,0.8458000000000001,0.42310000000000003,0.3428,148.9,312.1,145.3,9.482,0.384,0.364,0.48,0.352,0.002359,44.38,1,1207,175,85,90,634.9,1,928,1,1,5.149,serotonin,0.7909999999999999,0.897,0.008461999999999999,0.09359,0.034100000000000005,0.001538,0.8208000000000001,0.041800000000000004,218,NA,sez_sensory
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940622198230,720575940622198230,720575940622198230,80366878689765761,1,NA,141381,92026,3181,NA,NA,NA,NA,right,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_right,0.7867136,FALSE,"(141381, 92026, 3181)",720575940622198230,flywire,NA,NA,NA,2104,225,NA,630,96,183,344,32,57,0,0,0,0,1.4409999999999998,0.21950000000000003,0.9894999999999999,1.6500000000000001,0.17300000000000001,0.27340000000000003,184.9,208.5,0.9407000000000001,36.43,0.43,0.383,1.224,0.472,9.900000000000001e-5,46.59,1,837,134,66,68,437.3,1,726,1,1,4.811,serotonin,0.77,0.8750000000000001,0.0034380000000000005,0.036559999999999995,0.08906,0.001875,0.8312,0.03719,164,NA,sez_sensory
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940627854595,720575940627854595,720575940627854595,78607728737698126,1,NA,115728,93229,3084,NA,NA,NA,NA,left,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_left,0.7582900,FALSE,"(115728, 93229, 3084)",720575940627854595,flywire,NA,NA,NA,3563,211,NA,856,173,856,0,173,0,0,0,0,0,1.476,0.2982,1.476,0,0.2982,0,580.1,0,0,0,0.418,0,0,0,NA,NA,1,1107,90,44,46,580.1,1,1029,1,1,6.142,serotonin,0.729,0.8270000000000001,0.003846,0.09654,0.10880000000000001,1.92e-4,0.7169,0.07250000000000001,NA,NA,sez_sensory
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940605699104,720575940605699104,720575940605699104,79803653724230339,1,NA,133616,87912,2276,NA,NA,NA,NA,left,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_left,0.6944099,FALSE,"(133616, 87912, 2276)",720575940605699104,flywire,94.05,97,103136,11444,297,NA,1737,139,553,994,33,98,0,0,0,0,2.0519999999999996,0.1642,1.3900000000000001,3.219,0.08296,0.3174,397.8,308.8,118.4,0.1477,0.472,0.434,0.574,2.134,0.00676,28.49,1,1515,236,116,121,846.6,1,1876,1,1,13.52,serotonin,0.625,0.704,0.004693999999999999,0.07459000000000002,0.03755,0.02051,0.6848,0.17670000000000002,424,NA,sez_sensory
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940638726717,720575940638726717,720575940638726717,80507822269351136,1,NA,143856,95232,2881,NA,NA,NA,NA,right,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_right,0.7769848,FALSE,"(143856, 95232, 2881)",720575940638726717,flywire,NA,NA,NA,2908,208,NA,578,174,578,0,174,0,0,0,0,0,1.059,0.3189,1.059,0,0.3189,0,545.6,0,0,0,0.428,0,0,0,NA,NA,1,1023,109,53,56,545.6,1,752,1,1,5.33,serotonin,0.706,0.8,0.02775,0.07375000000000001,0.03475,0.0015,0.8162,0.045,NA,NA,sez_sensory
diatom,0.6,SS40945: 0.4; SS35298: .6,2,0,0,0,0,2.13333333333333,1.1,8.33333333333333,4.96666666666666,29.1333333333333,28.3333333333333,79.1,94.1333333333333,86.4,103.4,89.5,107.766666666666,NA,0,0,0,0,4.17718671941881,5.23036008957955,12.4988888395017,15.7701898811932,27.5786551924168,35.7736712619149,14.1594491418275,16.9641451957421,5.03057319464359,6.49923072370876,2.33452350598575,3.91308346732116,diatom,720575940628527439,720575940628527439,720575940628527439,80437247433880625,1,NA,142641,92267,3132,NA,NA,NA,NA,right,MxLbN,serotonin,brain_afferent,sensory,mechanosensory,unknown,unknown,NA,NA,NA,NA,NA,NA,sez,NA,mechanosensory,mechanosensory_right,0.7964308,FALSE,"(142641, 92267, 3132)",720575940628527439,flywire,NA,NA,NA,2557,217,NA,636,129,636,0,129,0,0,0,0,0,1.242,0.2519,1.242,0,0.2519,0,512.1,0,0,0,0.438,0,0,0,NA,NA,1,961,116,57,60,512.1,1,765,1,1,4.993,serotonin,0.8210000000000001,0.933,0.002667,0.038,0.061779999999999995,6.67e-4,0.8780000000000001,0.01844,183,NA,sez_sensory
