neuropil,num_synapses,pre_not_proofread,pre_is_proofread,post_not_proofread,post_is_proofread,pre_proofread_%,post_proofread_%
CB_AL_L,2046027,613844,1432183,1093348,952679,69.99824537994856,46.562386517870976
CB_AL_R,2025016,651963,1373053,1092907,932109,67.80455068009339,46.02971038253525
CB_AMMC_L,285732,84819,200913,196662,89070,70.3151904581916,31.172567300827346
CB_AMMC_R,226980,79772,147208,161297,65683,64.85505330866155,28.93779187593621
CB_AOTU_L,608537,278495,330042,478292,130245,54.23532176350822,21.40297138875697
CB_AOTU_R,607972,266825,341147,479057,128915,56.11228806589777,21.204101504674558
CB_ATL_L,211098,71276,139822,173719,37379,66.2355872627879,17.70694179954334
CB_ATL_R,245376,85051,160325,203852,41524,65.33850091288471,16.92260041731873
CB_AVLP_L,6559757,2481779,4077978,5500836,1058921,62.16660159819944,16.142686383047423
CB_AVLP_R,5914942,1691799,4223143,4697718,1217224,71.39787676700803,20.578798574863455
CB_BU_L,34872,10654,24218,29631,5241,69.448267951365,15.02924982794219
CB_BU_R,32454,7756,24698,26152,6302,76.10155912984531,19.4182535280705
CB_CAN_L,90122,20729,69393,69376,20746,76.99895696944142,23.019906349171123
CB_CAN_R,52053,8578,43475,40113,11940,83.52064242214666,22.938159183908706
CB_CRE_L,1477783,522437,955346,1249500,228283,64.6472452315394,15.447667215010593
CB_CRE_R,1501505,459611,1041894,1246122,255383,69.38997872134958,17.008468170269165
CB_EB_L,261495,58656,202839,145815,115680,77.5689783743475,44.23793953995296
CB_EB_R,262121,54154,207967,140226,121895,79.3400757665353,46.50333243044243
CB_EPA_L,207527,62803,144724,166059,41468,69.7374317558679,19.981978248613434
CB_EPA_R,220918,56685,164233,176127,44791,74.34115825781512,20.274943644248093
CB_FB_L,1127268,311886,815382,789352,337916,72.33257752371219,29.97654506293091
CB_FB_R,1106345,310352,795993,768416,337929,71.94799090699556,30.544631195513155
CB_FLA_L,571978,97096,474882,430207,141771,83.02452192217183,24.786093171415686
CB_FLA_R,476127,78793,397334,358676,117451,83.45126405349833,24.667998244165947
CB_GA_L,33456,6118,27338,23212,10244,81.71329507412722,30.619320899091345
CB_GA_R,36264,6126,30138,24435,11829,83.10721376571807,32.61912640635341
CB_GNG_L,4699970,1397390,3302580,3856080,843890,70.26810809430698,17.95522099077228
