neuropil,count_total,count_proof,proof_ratio,side
AME_L,31248,27922,0.8935611879160267,pre
AME_L,31248,12444,0.39823348694316435,post
AME_R,33208,30536,0.9195374608528065,pre
AME_R,33208,13686,0.4121296073235365,post
LA_L,506047,392788,0.7761887729795849,pre
LA_L,506047,202464,0.40008931976674106,post
LA_R,531536,464279,0.8734667078053039,pre
LA_R,531536,307187,0.5779232262725384,post
LOP_L,2555852,2221110,0.8690291926136569,pre
LOP_L,2555852,1349178,0.5278779835452131,post
LOP_R,3166276,2985069,0.9427696764274498,pre
LOP_R,3166276,2012690,0.6356647367443646,post
LO_L,7478950,6938899,0.9277905320934088,pre
LO_L,7478950,4078441,0.5453226723002561,post
LO_R,7613213,7092042,0.9315438829834395,pre
LO_R,7613213,4152306,0.54540783240926,post
ME_L,15379240,13849799,0.9005515877247511,pre
ME_L,15379240,8452843,0.5496268346160148,post
ME_R,16730512,15501650,0.9265496477334346,pre
ME_R,16730512,9459963,0.5654317692130402,post
AL_L,1484562,1411079,0.950501898876571,pre
AL_L,1484562,798900,0.5381385216649759,post
AL_R,1445194,1367343,0.9461311076575186,pre
AL_R,1445194,767621,0.5311542948559156,post
AMMC_L,186654,178634,0.9570327986541944,pre
AMMC_L,186654,102560,0.5494658566116987,post
AMMC_R,212883,198100,0.9305580999891959,pre
AMMC_R,212883,108894,0.5115204126210172,post
AOTU_L,399761,370375,0.9264910784193555,pre
AOTU_L,399761,196239,0.49089080725733625,post
AOTU_R,466795,446414,0.9563384355016656,pre
AOTU_R,466795,225011,0.4820338692573828,post
ATL_L,156065,145856,0.9345849485791177,pre
ATL_L,156065,40858,0.2618011725883446,post
ATL_R,136741,127801,0.934620925691636,pre
ATL_R,136741,36465,0.26667202960341085,post
AVLP_L,4487056,4223602,0.9412857784703378,pre
AVLP_L,4487056,1610188,0.35885177274364305,post
AVLP_R,5392837,5190280,0.9624396212976584,pre
AVLP_R,5392837,2081660,0.3860046205735497,post
BU_L,12731,12071,0.9481580394313094,pre
BU_L,12731,4362,0.34262823030398243,post
BU_R,29038,27909,0.9611199118396584,pre
BU_R,29038,10557,0.3635580962876231,post
CAN_L,50155,48043,0.957890539328083,pre
CAN_L,50155,13873,0.276602532150334,post
