neuropil,num_synapses,pre_not_proofread,pre_is_proofread,post_not_proofread,post_is_proofread,pre_proofread_%,post_proofread_%
AMNp_L,740862,299124,441738,530780,210082,59.62486940887777,28.356428052727768
AMNp_R,747768,507678,240090,632746,115022,32.107552074975125,15.382043628505098
ANm_L,1935015,1518062,416953,1823081,111934,21.547791619186416,5.784658000067183
ANm_R,2088341,1653445,434896,1971592,116749,20.82495148062505,5.590514192844942
CFF_L,10672,3693,6979,8854,1818,65.39542728635682,17.035232383808097
CFF_R,8687,4058,4629,7757,930,53.286520087487055,10.705652123863244
DLT_L,65913,17635,48278,52388,13525,73.24503512205483,20.519472638174562
DLT_R,67770,32026,35744,61713,6057,52.74310166740446,8.937583001328022
DLV_L,105091,54210,50881,90905,14186,48.41613458811887,13.49877725019269
DLV_R,99129,58848,40281,88656,10473,40.63493024241141,10.565021335835125
DMT_L,100640,47303,53337,89460,11180,52.997813990461054,11.108903020667727
DMT_R,125875,56263,69612,113076,12799,55.302482621648466,10.168023833167824
HTct_L,1007263,355420,651843,851240,156023,64.71428018303065,15.489797600030975
HTct_R,969801,469315,500486,862273,107528,51.6070822777044,11.087635504603522
ITD_HC_L,6636,1690,4946,5526,1110,74.53285111512959,16.726943942133815
ITD_HC_R,5713,2486,3227,5082,631,56.48520917206371,11.044985121652372
ITD_HT_L,34880,8703,26177,26840,8040,75.0487385321101,23.05045871559633
ITD_HT_R,29810,11126,18684,25572,4238,62.676954042267695,14.21670580342167
ITD_L,50777,13423,37354,40080,10697,73.56480296197098,21.066624652894028
ITD_R,43624,17218,26406,37798,5826,60.53090042178617,13.355033926279111
IntTct_L,993707,304047,689660,826754,166953,69.40275151528569,16.80102887470854
IntTct_R,976416,356179,620237,862238,114178,63.52179808606168,11.693581424310949
LTct_L,536127,213572,322555,446464,89663,60.16391638548328,16.72420900271764
LTct_R,533788,213545,320243,452021,81767,59.99441725928646,15.318253688730357
MDT_L,79082,24507,54575,68945,10137,69.0106471763486,12.818340456741103
MDT_R,89005,29448,59557,79609,9396,66.91421830234256,10.556710297174316
MesoNm_L,4700541,3238029,1462512,4007512,693029,31.113695210827856,14.74360078978143
MesoNm_R,4112053,3287795,824258,3883864,228189,20.044926463739646,5.549271860066006
MetaNm_L,5352886,4023551,1329335,4901695,451191,24.833986750324964,8.4289297399571
MetaNm_R,5426662,4335193,1091469,5191454,235208,20.113082406827623,4.33430348158776
NTct_L,447449,106010,341439,378343,69106,76.30791442153185,15.444441712910297
NTct_R,444450,138795,305655,398449,46001,68.77151535605805,10.350095623804702
ProNm_L,4966980,1632867,3334113,3516073,1450907,67.12555717961418,29.211049772698907
ProNm_R,4143707,2514741,1628966,3788512,355195,39.3118046232516,8.571913989092375
VLT_L,66246,20706,45540,57094,9152,68.74377320894847,13.8151737463394
VLT_R,62280,23175,39105,57107,5173,62.78901734104046,8.306037251123955
VTV_L,158980,68377,90603,135226,23754,56.99018744496163,14.941502075732796
VTV_R,189620,95843,93777,167968,21652,49.455226241957604,11.418626727138488
WTct_L,1054225,248933,805292,754603,299622,76.38710901373047,28.42106760890702
WTct_R,933161,428818,504343,774252,158909,54.04672934252503,17.02910858897875
mVAC_L,190314,98834,91480,140986,49328,48.06792984226069,25.91927025862522
mVAC_R,180184,103584,76600,142620,37564,42.51209874350664,20.847578031345734
unassigned,1173795,760140,413655,1075000,98795,35.24082143815573,8.416716717995902
