,ROI,tbars_count,tbars_%,psds_count,psds_%
0,LegNp(T1)(L),1132044,86,8324620,39
1,LegNp(T1)(R),1128824,87,8151463,42
2,LegNp(T2)(L),1014038,87,7518749,43
3,LegNp(T2)(R),1031882,89,7798126,48
4,LegNp(T3)(L),1154981,86,8917873,38
5,LegNp(T3)(R),1167221,90,8747460,45
6,ANm,945949,96,6909412,54
7,mVAC(T1)(L),33737,87,205525,51
8,mVAC(T1)(R),38512,90,234131,56
9,mVAC(T2)(L),22528,80,147423,54
10,mVAC(T2)(R),24219,90,158243,62
11,mVAC(T3)(L),34373,87,225916,58
12,mVAC(T3)(R),35765,90,232019,60
13,Ov(L),193036,98,1352587,62
14,Ov(R),202970,97,1349857,63
15,NTct(UTct-T1)(L),110522,97,755793,36
16,NTct(UTct-T1)(R),122861,96,801679,36
17,WTct(UTct-T2)(L),290650,97,1753286,55
18,WTct(UTct-T2)(R),286207,97,1670457,55
19,HTct(UTct-T3)(L),248578,97,1731843,47
20,HTct(UTct-T3)(R),258975,97,1763739,47
21,IntTct,408419,96,2844569,45
22,LTct,359394,95,2414756,51
