cutouts,neuropil,region,Resolution,Bbox start,Bbox end,true_positives,false_positives,false_negatives,precision,recall,f1_score,Inspection link,FirstPass link,SecondPassLink,FinalLink,
cutout001,ME_left,optic_lobe,"(16, 16, 45)","(50509, 9658, 1561)","(50521, 9668, 1563)",69,5,14,0.932,0.831,0.879,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5500992488472576,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4814916350377984,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4922162791055360,Blue: False positive
cutout002,LAL_left,central_brain,"(16, 16, 45)","(35009, 7854, 2860)","(35137, 7982, 2876)",65,7,18,0.903,0.783,0.839,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6239723600216064,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6425719348396032,Red: False negative
cutout003,SPS_left,central_brain,"(16, 16, 45)","(33948, 11204, 3292)","(34076, 11332, 3308)",82,15,12,0.845,0.872,0.858,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6389159672414208,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5582682456064000,Yellow: Ground truth annotations
cutout004,GNG_left,central_brain,"(16, 16, 45)","(33051, 11281, 1291)","(33179, 11409, 1307)",62,16,7,0.795,0.899,0.844,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6548869373493248,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5072794776764416,
cutout005,FB_right,central_brain,"(16, 16, 45)","(28872, 8034, 3975)","(29000, 8162, 3991)",54,3,21,0.947,0.72,0.818,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6238132449050624,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4778125660520448,
cutout006,SMP_right,central_brain,"(16, 16, 45)","(28682, 8003, 5063)","(28810, 8131, 5079)",38,8,4,0.826,0.905,0.864,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6238450947719168,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4864668983099392,
cutout007,MB_ML_right,central_brain,"(16, 16, 45)","(28568, 4312, 3717)","(28696, 4440, 3733)",21,2,19,0.913,0.525,0.667,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5236421857116160,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5741380558127104,
cutout008,MB_CA_right,central_brain,"(16, 16, 45)","(23727, 11434, 4980)","(23855, 11562, 4996)",52,3,8,0.945,0.867,0.904,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5720896382697472,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6085101388562432,
cutout009,AVLP_right,central_brain,"(16, 16, 45)","(20656, 7234, 2703)","(20784, 7362, 2719)",22,2,8,0.917,0.733,0.815,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5793424891445248,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5880402475483136,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5121368608735232,
cutout010,LO_right,optic_lobe,"(16, 16, 45)","(16465, 11963, 2781)","(16593, 12091, 2797)",76,19,40,0.8,0.655,0.72,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6598250122444800,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5497025608024064,
cutout011,T1_left,ventral_nerve_cord,"(16, 16, 45)","(37744, 38126, 3205)","(37872, 38254, 3221)",49,12,12,0.803,0.803,0.803,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6327219264684032,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6327219264684032,
cutout012,WTct_right,ventral_nerve_cord,"(16, 16, 45)","(27473, 41986, 4663)","(27601, 42114, 4679)",27,2,5,0.931,0.844,0.885,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5205136040263680,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5402843585445888,
cutout013,LTct_left,ventral_nerve_cord,"(16, 16, 45)","(33876, 41797, 3941)","(34004, 41925, 3957)",25,3,7,0.893,0.781,0.833,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6348565319254016,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6348565319254016,
cutout014,HTct_left,ventral_nerve_cord,"(16, 16, 45)","(31859, 46974, 5531)","(31987, 47102, 5547)",14,1,8,0.933,0.636,0.756,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5610293525741568,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6724742009585664,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5984245993439232,
cutout015,ABDNM_posterior_left,ventral_nerve_cord,"(16, 16, 45)","(25969, 61393, 5871)","(26097, 61521, 5887)",69,10,18,0.873,0.793,0.831,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6677401235881984,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5068706471215104,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4821634652307456,
cutout016,ABDNM_anterior_right,ventral_nerve_cord,"(16, 16, 45)","(28093, 52167, 5444)","(28221, 52295, 5460)",68,11,17,0.861,0.8,0.829,link,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4781913452576768,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5895179578900480,
