"Coordinate 1","Coordinate 2","Ellipsoid Dimensions","Tags","Description","Segment IDs","Parent ID","Type","ID","syn_id","size","size_bin","region","side","neuropil","pre_root_id","post_root_id","pre_status","post_status"
"(403984, 999136, 249975)","","","","ABDNM","","","Point","","82377753",5,1,"ventral_nerve_cord","left","ABDNM","720575941562933549","720575941530457112","proofread","fragment"
"(398816, 1002080, 234000)","","","","ABDNM","","","Point","","82266716",4,1,"ventral_nerve_cord","left","ABDNM","720575940868612454","720575940868994406","fragment","fragment"
"(407552, 949392, 276840)","","","","ABDNM","","","Point","","87920197",5,1,"ventral_nerve_cord","left","ABDNM","720575941540205949","720575941537583331","proofread","proofread"
"(401680, 973568, 277875)","","","","ABDNM","","","Point","","82593875",4,1,"ventral_nerve_cord","left","ABDNM","720575941475788906","720575941171275465","proofread","fragment"
"(397264, 960896, 285300)","","","","ABDNM","","","Point","","82089680",4,1,"ventral_nerve_cord","left","ABDNM","720575941007506363","720575941007526843","fragment","fragment"
"(397232, 947360, 276885)","","","","ABDNM","","","Point","","82392172",5,1,"ventral_nerve_cord","left","ABDNM","720575941618263253","720575941264807927","proofread","fragment"
"(457664, 886256, 252540)","","","","ABDNM","","","Point","","122171733",3,1,"ventral_nerve_cord","left","ABDNM","720575941654103960","720575941586379241","fragment","fragment"
"(406448, 1005216, 260595)","","","","ABDNM","","","Point","","87955187",3,1,"ventral_nerve_cord","left","ABDNM","720575941558317860","720575941568536178","proofread","fragment"
"(495136, 814480, 256950)","","","","ABDNM","","","Point","","144185034",5,1,"ventral_nerve_cord","left","ABDNM","720575941030493916","720575941030296028","fragment","fragment"
"(403552, 946976, 277965)","","","","ABDNM","","","Point","","82396968",3,1,"ventral_nerve_cord","left","ABDNM","720575941681388440","720575941178815815","fragment","fragment"
"(440528, 840544, 236115)","","","","ABDNM","","","Point","","107541271",3,1,"ventral_nerve_cord","right","ABDNM","720575941601976617","720575941504740797","proofread","fragment"
"(358528, 1011264, 268920)","","","","ABDNM","","","Point","","62689399",4,1,"ventral_nerve_cord","right","ABDNM","720575941396741994","720575941493325232","fragment","proofread"
"(385168, 957888, 260460)","","","","ABDNM","","","Point","","72849264",3,1,"ventral_nerve_cord","right","ABDNM","720575941633108640","720575941392310283","proofread","fragment"
"(433184, 868752, 236700)","","","","ABDNM","","","Point","","107189561",3,1,"ventral_nerve_cord","right","ABDNM","720575941559715876","720575941608336493","proofread","proofread"
