"Coordinate 1","Coordinate 2","Ellipsoid Dimensions","Tags","Description","Segment IDs","Parent ID","Type","ID","syn_id","size","mean_score","score_bin","region","side","neuropil"
"(100148, 248152, 5919)","(100124, 248128, 5918)","","","COURT_vnc_ABDNM","","","Line","26882708518688","26882708518688",14,0.0771,1,"vnc","left","COURT_vnc_ABDNM"
"(101172, 243288, 5846)","(101200, 243324, 5848)","","","COURT_vnc_ABDNM","","","Line","27158650222296","27158650222296",16,0.0786,1,"vnc","left","COURT_vnc_ABDNM"
"(103972, 233136, 6026)","(103984, 233152, 6024)","","","COURT_vnc_ABDNM","","","Line","27909174966155","27909174966155",18,0.0818,2,"vnc","left","COURT_vnc_ABDNM"
"(101472, 235364, 6158)","(101456, 235328, 6159)","","","COURT_vnc_ABDNM","","","Line","27232722171920","27232722171920",15,0.0815,2,"vnc","left","COURT_vnc_ABDNM"
"(98672, 249420, 5592)","(98680, 249416, 5588)","","","COURT_vnc_ABDNM","","","Line","26483279140313","26483279140313",43,0.0964,3,"vnc","left","COURT_vnc_ABDNM"
"(100248, 245228, 5687)","(100272, 245240, 5689)","","","COURT_vnc_ABDNM","","","Line","26911693592121","26911693592121",17,0.0958,3,"vnc","left","COURT_vnc_ABDNM"
"(118948, 205968, 6044)","(118960, 206012, 6042)","","","COURT_vnc_ABDNM","","","Line","31928134989724","31928134989724",41,0.1064,4,"vnc","left","COURT_vnc_ABDNM"
"(102044, 249964, 5871)","(102012, 249948, 5869)","","","COURT_vnc_ABDNM","","","Line","27387370878703","27387370878703",21,0.1108,4,"vnc","left","COURT_vnc_ABDNM"
"(100416, 243052, 6319)","(100448, 243108, 6318)","","","COURT_vnc_ABDNM","","","Line","26956786342064","26956786342064",40,0.1235,5,"vnc","left","COURT_vnc_ABDNM"
"(105032, 242940, 6039)","(105044, 242944, 6041)","","","COURT_vnc_ABDNM","","","Line","28192662894490","28192662894490",32,0.1231,5,"vnc","left","COURT_vnc_ABDNM"
"(115864, 216508, 5269)","(115824, 216496, 5267)","","","COURT_vnc_ABDNM","","","Line","31096006628503","31096006628503",57,0.1292,6,"vnc","left","COURT_vnc_ABDNM"
"(116696, 213480, 5180)","(116668, 213516, 5178)","","","COURT_vnc_ABDNM","","","Line","31323633718333","31323633718333",24,0.1316,6,"vnc","left","COURT_vnc_ABDNM"
"(108604, 245460, 5678)","(108580, 245508, 5677)","","","COURT_vnc_ABDNM","","","Line","29149372036654","29149372036654",38,0.1384,7,"vnc","left","COURT_vnc_ABDNM"
"(108848, 241020, 5627)","(108832, 241004, 5629)","","","COURT_vnc_ABDNM","","","Line","29215934920190","29215934920190",19,0.1381,7,"vnc","left","COURT_vnc_ABDNM"
"(107316, 226812, 6142)","(107316, 226772, 6142)","","","COURT_vnc_ABDNM","","","Line","28807883888639","28807883888639",61,0.1519,8,"vnc","left","COURT_vnc_ABDNM"
"(95376, 253036, 5974)","(95388, 253064, 5975)","","","COURT_vnc_ABDNM","","","Line","25600670816088","25600670816088",67,0.1484,8,"vnc","left","COURT_vnc_ABDNM"
"(105404, 239324, 5674)","(105360, 239304, 5672)","","","COURT_vnc_ABDNM","","","Line","28289292228138","28289292228138",56,0.1654,9,"vnc","left","COURT_vnc_ABDNM"
"(107780, 234596, 6114)","(107752, 234552, 6113)","","","COURT_vnc_ABDNM","","","Line","28927085172706","28927085172706",23,0.1627,9,"vnc","left","COURT_vnc_ABDNM"
"(103112, 233256, 6020)","(103068, 233260, 6020)","","","COURT_vnc_ABDNM","","","Line","27675099502470","27675099502470",35,0.1801,10,"vnc","left","COURT_vnc_ABDNM"
"(106364, 245364, 5960)","(106340, 245340, 5957)","","","COURT_vnc_ABDNM","","","Line","28547002627913","28547002627913",57,0.2043,10,"vnc","left","COURT_vnc_ABDNM"
"(106020, 219724, 5251)","(105984, 219704, 5251)","","","COURT_vnc_ABDNM","","","Line","28456755795077","28456755795077",18,0.0779,1,"vnc","right","COURT_vnc_ABDNM"
"(97772, 246664, 5178)","(97772, 246664, 5178)","","","COURT_vnc_ABDNM","","","Line","26243829093436","26243829093436",29,0.0787,1,"vnc","right","COURT_vnc_ABDNM"
