"","hemolymph","enteric","pharynx","proboscis","antenna","eye","neck","wing","haltere","front leg","middle leg","hind leg","abdomen","reproductive"
"hemolymph",1,0.38662257873951,0.195899041426773,0.0675456924137041,0.0704481545781949,0.0813468553712672,0.0813117100254879,0.102618830727514,0.138185396987841,0.0424020155714626,0.0490896076094389,0.0379756319109247,0.1220549647157,0.0824553462694042
"enteric",0.38662257873951,1,0.474110474692873,0.142834062605767,0.0384145370422475,0.0452652723349886,0.0249586017091311,0.0170776756827249,0.0136328759728103,0.0186848189957697,0.0108369137411875,0.00964921639305732,0.152631517262339,0.0821726051152528
"pharynx",0.195899041426773,0.474110474692873,1,0.529197190841197,0.105484563919239,0.150618903573377,0.0930321671426005,0.0284656555163514,0.0416590310345944,0.0482162637151481,0.0230470392727174,0.0170522280297439,0.0589737898346003,0.0315313553853077
"proboscis",0.0675456924137041,0.142834062605767,0.529197190841197,1,0.251243078490771,0.362618137963006,0.222635472875982,0.0356474827932594,0.0163442512392835,0.184379852793689,0.0862935802318811,0.0498553839257449,0.0422102364480845,0.0345756333054065
"antenna",0.0704481545781949,0.0384145370422475,0.105484563919239,0.251243078490771,1,0.806450131030068,0.524668329624968,0.520901034033921,0.194071313947109,0.459056984011558,0.352564088697004,0.255802567748646,0.258454459471476,0.234711351982531
"eye",0.0813468553712672,0.0452652723349886,0.150618903573377,0.362618137963006,0.806450131030068,1,0.77783941675582,0.403606671124393,0.307688748156057,0.473051598851149,0.425215500043066,0.367967753344073,0.0945602294064313,0.067886367265006
"neck",0.0813117100254879,0.0249586017091311,0.0930321671426005,0.222635472875982,0.524668329624968,0.77783941675582,1,0.332694378502344,0.64573526701906,0.144645109117401,0.0981420998941925,0.0883417744174909,0.0405996527620282,0.0137020424689626
"wing",0.102618830727514,0.0170776756827249,0.0284656555163514,0.0356474827932594,0.520901034033921,0.403606671124393,0.332694378502344,1,0.386957389091254,0.0956100946407587,0.128161742633833,0.121568484176387,0.067917813593187,0.0304362068136939
"haltere",0.138185396987841,0.0136328759728103,0.0416590310345944,0.0163442512392835,0.194071313947109,0.307688748156057,0.64573526701906,0.386957389091254,1,0.0305912364857488,0.0368027910881393,0.0743277385619981,0.0594968280606658,0.017232035406017
"front leg",0.0424020155714626,0.0186848189957697,0.0482162637151481,0.184379852793689,0.459056984011558,0.473051598851149,0.144645109117401,0.0956100946407587,0.0305912364857488,1,0.226002926435512,0.140058365007283,0.0394517686713406,0.0316756709802179
"middle leg",0.0490896076094389,0.0108369137411875,0.0230470392727174,0.0862935802318811,0.352564088697004,0.425215500043066,0.0981420998941925,0.128161742633833,0.0368027910881393,0.226002926435512,1,0.262180056100575,0.0464319334873114,0.0370323090526822
"hind leg",0.0379756319109247,0.00964921639305732,0.0170522280297439,0.0498553839257449,0.255802567748646,0.367967753344073,0.0883417744174909,0.121568484176387,0.0743277385619981,0.140058365007283,0.262180056100575,1,0.0746730342286048,0.0431296648628036
"abdomen",0.1220549647157,0.152631517262339,0.0589737898346003,0.0422102364480845,0.258454459471476,0.0945602294064313,0.0405996527620282,0.067917813593187,0.0594968280606658,0.0394517686713406,0.0464319334873114,0.0746730342286048,1,0.994970988000316
"reproductive",0.0824553462694042,0.0821726051152528,0.0315313553853077,0.0345756333054065,0.234711351982531,0.067886367265006,0.0137020424689626,0.0304362068136939,0.017232035406017,0.0316756709802179,0.0370323090526822,0.0431296648628036,0.994970988000316,1
