"source_bp","target_bp","source_idx","target_idx","index_diff","influence"
"enteric","hemolymph",2,1,1,0.9005
"pharynx","hemolymph",3,1,2,0.7483
"proboscis","hemolymph",4,1,3,0.5989
"antenna","hemolymph",5,1,4,0.2284
"eye","hemolymph",6,1,5,0.1621
"neck","hemolymph",7,1,6,0.1452
"wing","hemolymph",8,1,7,0.6171
"haltere","hemolymph",9,1,8,0.7862
"front leg","hemolymph",10,1,9,0.6307
"middle leg","hemolymph",11,1,10,0.6327
"hind leg","hemolymph",12,1,11,0.5696
"abdomen","hemolymph",13,1,12,0.6804
"reproductive","hemolymph",14,1,13,0.4112
"hemolymph","enteric",1,2,1,0.7602
"pharynx","enteric",3,2,1,0.8522
"proboscis","enteric",4,2,2,0.7581
"antenna","enteric",5,2,3,0.1799
"eye","enteric",6,2,4,0.1118
"neck","enteric",7,2,5,0.1017
"wing","enteric",8,2,6,0.4729
"haltere","enteric",9,2,7,0.5538
"front leg","enteric",10,2,8,0.592
"middle leg","enteric",11,2,9,0.5353
"hind leg","enteric",12,2,10,0.5184
"abdomen","enteric",13,2,11,0.6725
"reproductive","enteric",14,2,12,0.3955
"hemolymph","pharynx",1,3,2,0.567
"enteric","pharynx",2,3,1,0.8889
"proboscis","pharynx",4,3,1,0.8746
"antenna","pharynx",5,3,2,0.2762
"eye","pharynx",6,3,3,0.2605
"neck","pharynx",7,3,4,0.2734
"wing","pharynx",8,3,5,0.4751
"haltere","pharynx",9,3,6,0.6978
"front leg","pharynx",10,3,7,0.6172
"middle leg","pharynx",11,3,8,0.5486
"hind leg","pharynx",12,3,9,0.4908
"abdomen","pharynx",13,3,10,0.5002
"reproductive","pharynx",14,3,11,0.3349
"hemolymph","proboscis",1,4,3,0.3736
"enteric","proboscis",2,4,2,0.6028
"pharynx","proboscis",3,4,1,0.8624
"antenna","proboscis",5,4,1,0.405
"eye","proboscis",6,4,2,0.5985
"neck","proboscis",7,4,3,0.5091
"wing","proboscis",8,4,4,0.4954
"haltere","proboscis",9,4,5,0.1542
"front leg","proboscis",10,4,6,0.74
"middle leg","proboscis",11,4,7,0.6425
"hind leg","proboscis",12,4,8,0.5426
"abdomen","proboscis",13,4,9,0.5312
"reproductive","proboscis",14,4,10,0.334
"hemolymph","antenna",1,5,4,0.0107
"enteric","antenna",2,5,3,0.05254
"pharynx","antenna",3,5,2,0.4904
"proboscis","antenna",4,5,1,0.6857
"eye","antenna",6,5,1,0.7313
"neck","antenna",7,5,2,0.7981
"wing","antenna",8,5,3,0.8921
"haltere","antenna",9,5,4,0.3924
"front leg","antenna",10,5,5,0.8653
"middle leg","antenna",11,5,6,0.8063
"hind leg","antenna",12,5,7,0.7087
"abdomen","antenna",13,5,8,0.735
"reproductive","antenna",14,5,9,0.3321
"hemolymph","eye",1,6,5,0.1438
"enteric","eye",2,6,4,0.1642
"pharynx","eye",3,6,3,0.5672
"proboscis","eye",4,6,2,0.7893
"antenna","eye",5,6,1,0.8121
"neck","eye",7,6,1,0.8159
"wing","eye",8,6,2,0.8164
"haltere","eye",9,6,3,0.708
"front leg","eye",10,6,4,0.8818
"middle leg","eye",11,6,5,0.8564
"hind leg","eye",12,6,6,0.8152
"abdomen","eye",13,6,7,0.4556
"reproductive","eye",14,6,8,0.3429
"hemolymph","neck",1,7,6,0.1151
"enteric","neck",2,7,5,0.1905
"pharynx","neck",3,7,4,0.5287
"proboscis","neck",4,7,3,0.7814
"antenna","neck",5,7,2,0.6262
"eye","neck",6,7,1,1
"wing","neck",8,7,1,0.7513
"haltere","neck",9,7,2,0.9574
"front leg","neck",10,7,3,0.6896
"middle leg","neck",11,7,4,0.6291
"hind leg","neck",12,7,5,0.5591
"abdomen","neck",13,7,6,0.2626
"reproductive","neck",14,7,7,0.1392
"hemolymph","wing",1,8,7,0.3295
"enteric","wing",2,8,6,0.1589
"pharynx","wing",3,8,5,0.1359
"proboscis","wing",4,8,4,0.1433
"antenna","wing",5,8,3,0.478
"eye","wing",6,8,2,0.5088
"neck","wing",7,8,1,0.4366
"haltere","wing",9,8,1,0.8132
"front leg","wing",10,8,2,0.486
"middle leg","wing",11,8,3,0.5556
"hind leg","wing",12,8,4,0.4938
"abdomen","wing",13,8,5,0.3104
"reproductive","wing",14,8,6,0.1011
"hemolymph","haltere",1,9,8,0.2104
"enteric","haltere",2,9,7,0.3423
"pharynx","haltere",3,9,6,0.2034
"proboscis","haltere",4,9,5,0.2421
"antenna","haltere",5,9,4,0.4668
"eye","haltere",6,9,3,0.7121
"neck","haltere",7,9,2,0.816
"wing","haltere",8,9,1,0.7189
"front leg","haltere",10,9,1,0.4574
"middle leg","haltere",11,9,2,0.5292
"hind leg","haltere",12,9,3,0.5653
"abdomen","haltere",13,9,4,0.4951
"reproductive","haltere",14,9,5,0.2261
"hemolymph","front leg",1,10,9,0.1021
