"source_bp","target_bp","cosine_similarity","influence","is_same_bp"
"hemolymph","hemolymph",1,1,TRUE
"enteric","hemolymph",0.980072133398858,0.8762,FALSE
"pharynx","hemolymph",0.952314441341922,0.7184,FALSE
"proboscis","hemolymph",0.838400457179278,0.5532,FALSE
"antenna","hemolymph",0.707561199771675,0.1946,FALSE
"eye","hemolymph",0.757804805060058,0.104,FALSE
"neck","hemolymph",0.695925313269686,0.0879,FALSE
"wing","hemolymph",0.759116041698517,0.617,FALSE
"haltere","hemolymph",0.758678413367381,0.779,FALSE
"front leg","hemolymph",0.729494777197548,0.6007,FALSE
"middle leg","hemolymph",0.792489374611201,0.6303,FALSE
"hind leg","hemolymph",0.797290584913689,0.5623,FALSE
"abdomen","hemolymph",0.906398919043418,0.6651,FALSE
"reproductive","hemolymph",0.90238713652045,0.4037,FALSE
"hemolymph","enteric",0.980072133398858,0.7516,FALSE
"enteric","enteric",1,1,TRUE
"pharynx","enteric",0.977794634430979,0.8364,FALSE
"proboscis","enteric",0.880438886317731,0.7406,FALSE
"antenna","enteric",0.695732662029641,0.151,FALSE
"eye","enteric",0.740911857724566,0.08236,FALSE
"neck","enteric",0.67412549904051,0.07159,FALSE
"wing","enteric",0.67441657406052,0.4646,FALSE
"haltere","enteric",0.704955293191635,0.5621,FALSE
"front leg","enteric",0.725059608043656,0.5773,FALSE
"middle leg","enteric",0.766369608555568,0.5271,FALSE
"hind leg","enteric",0.761958600410128,0.5156,FALSE
"abdomen","enteric",0.894569651244705,0.6725,FALSE
"reproductive","enteric",0.907688642605646,0.3877,FALSE
"hemolymph","pharynx",0.952314441341922,0.5748,FALSE
"enteric","pharynx",0.977794634430979,0.8962,FALSE
"pharynx","pharynx",1,1,TRUE
"proboscis","pharynx",0.928141283608479,0.8658,FALSE
"antenna","pharynx",0.768430329437229,0.2697,FALSE
"eye","pharynx",0.824118677902351,0.262,FALSE
"neck","pharynx",0.785918738545346,0.2759,FALSE
"wing","pharynx",0.724033265216338,0.4717,FALSE
"haltere","pharynx",0.772560460059781,0.6908,FALSE
"front leg","pharynx",0.787123178936051,0.6168,FALSE
"middle leg","pharynx",0.807088657011705,0.5416,FALSE
"hind leg","pharynx",0.795901116512324,0.4779,FALSE
"abdomen","pharynx",0.850936058650177,0.5033,FALSE
"reproductive","pharynx",0.84866928849334,0.3446,FALSE
"hemolymph","proboscis",0.838400457179278,0.3835,FALSE
"enteric","proboscis",0.880438886317731,0.6111,FALSE
"pharynx","proboscis",0.928141283608479,0.872,FALSE
"proboscis","proboscis",1,1,TRUE
"antenna","proboscis",0.886375897719428,0.3866,FALSE
"eye","proboscis",0.908412362223304,0.6384,FALSE
"neck","proboscis",0.848882579053652,0.5408,FALSE
"wing","proboscis",0.717696802797244,0.4926,FALSE
"haltere","proboscis",0.776888576674359,0.1264,FALSE
"front leg","proboscis",0.896188813006008,0.7456,FALSE
"middle leg","proboscis",0.873278132657953,0.6424,FALSE
"hind leg","proboscis",0.827726499488998,0.535,FALSE
"abdomen","proboscis",0.789474308532987,0.5496,FALSE
"reproductive","proboscis",0.800322617666606,0.3524,FALSE
"hemolymph","antenna",0.707561199771675,0.07135,FALSE
"enteric","antenna",0.695732662029641,0.09773,FALSE
"pharynx","antenna",0.768430329437229,0.5173,FALSE
"proboscis","antenna",0.886375897719428,0.7223,FALSE
"antenna","antenna",1,1,TRUE
"eye","antenna",0.9767429659615,0.7986,FALSE
"neck","antenna",0.922688333913099,0.8868,FALSE
"wing","antenna",0.868247154378113,0.9395,FALSE
"haltere","antenna",0.88906451731254,0.4205,FALSE
"front leg","antenna",0.942761306083822,0.9046,FALSE
"middle leg","antenna",0.937188961890026,0.8234,FALSE
