"body_part","UMAP1","UMAP2","color"
"hemolymph",2.80863557117326,-0.686252559934344,"#EE4244"
"enteric",2.21301547544343,-0.192213501249041,"#736c26"
"pharynx",1.61327723520143,0.618565593447004,"#6D2C7B"
"proboscis",0.712544598749706,1.00692275592259,"#c92c44"
"antenna",-2.37552150232451,-1.44811960629055,"#FF1493"
"eye",-2.25611814005034,-0.781904186521258,"#8B4513"
"neck",-1.62793429834502,-1.24028250149318,"#D2691E"
"wing",-1.73600085718291,0.970243488039289,"#4169E1"
"haltere",-1.50331004602568,0.304096255983625,"#299838"
"front leg",-0.0726521824087416,1.49237159320286,"#FF4500"
"middle leg",-0.855444750615529,1.32443145343236,"#FFA500"
"hind leg",-0.454130015202931,0.548194919313703,"#916730"
"abdomen",1.41185513990266,-0.852624382291522,"#60BC5B"
"reproductive",2.12178377168519,-1.06342932156154,"#6495ED"
