"","hemolymph","enteric","pharynx","proboscis","antenna","eye","neck","wing","haltere","front leg","middle leg","hind leg","abdomen","reproductive"
"hemolymph",1,0.980072133398858,0.952314441341922,0.838400457179278,0.707561199771675,0.757804805060058,0.695925313269686,0.759116041698517,0.758678413367381,0.729494777197548,0.792489374611201,0.797290584913689,0.906398919043418,0.90238713652045
"enteric",0.980072133398858,1,0.977794634430979,0.880438886317731,0.695732662029641,0.740911857724566,0.67412549904051,0.67441657406052,0.704955293191635,0.725059608043656,0.766369608555568,0.761958600410128,0.894569651244705,0.907688642605646
"pharynx",0.952314441341922,0.977794634430979,1,0.928141283608479,0.768430329437229,0.824118677902351,0.785918738545346,0.724033265216338,0.772560460059781,0.787123178936051,0.807088657011705,0.795901116512324,0.850936058650177,0.84866928849334
"proboscis",0.838400457179278,0.880438886317731,0.928141283608479,1,0.886375897719428,0.908412362223304,0.848882579053652,0.717696802797244,0.776888576674359,0.896188813006008,0.873278132657953,0.827726499488998,0.789474308532987,0.800322617666606
"antenna",0.707561199771675,0.695732662029641,0.768430329437229,0.886375897719428,1,0.9767429659615,0.922688333913099,0.868247154378113,0.88906451731254,0.942761306083822,0.937188961890026,0.912595106678589,0.741672321991298,0.703810990353453
"eye",0.757804805060058,0.740911857724566,0.824118677902351,0.908412362223304,0.9767429659615,1,0.96916937313651,0.893203757799974,0.925256650465274,0.946856036380379,0.945618012862078,0.931548799064531,0.744772222612926,0.697236035938831
"neck",0.695925313269686,0.67412549904051,0.785918738545346,0.848882579053652,0.922688333913099,0.96916937313651,1,0.89079335724649,0.944296864460133,0.878523936842209,0.858748760553435,0.852537244423569,0.646557195419672,0.56734745016766
"wing",0.759116041698517,0.67441657406052,0.724033265216338,0.717696802797244,0.868247154378113,0.893203757799974,0.89079335724649,1,0.944227602252146,0.809913295057371,0.856836352306502,0.873487674975238,0.721792926280229,0.635465212173699
"haltere",0.758678413367381,0.704955293191635,0.772560460059781,0.776888576674359,0.88906451731254,0.925256650465274,0.944296864460133,0.944227602252146,1,0.80902393729916,0.845164852637606,0.87085596975606,0.768447052573716,0.661174204461443
"front leg",0.729494777197548,0.725059608043656,0.787123178936051,0.896188813006008,0.942761306083822,0.946856036380379,0.878523936842209,0.809913295057371,0.80902393729916,1,0.953881523546698,0.917336286359228,0.701763917690316,0.703025694419418
"middle leg",0.792489374611201,0.766369608555568,0.807088657011705,0.873278132657953,0.937188961890026,0.945618012862078,0.858748760553435,0.856836352306502,0.845164852637606,0.953881523546698,1,0.971662837922598,0.793017122669175,0.78687882874211
"hind leg",0.797290584913689,0.761958600410128,0.795901116512324,0.827726499488998,0.912595106678589,0.931548799064531,0.852537244423569,0.873487674975238,0.87085596975606,0.917336286359228,0.971662837922598,1,0.820654316798922,0.791573125531138
"abdomen",0.906398919043418,0.894569651244705,0.850936058650177,0.789474308532987,0.741672321991298,0.744772222612926,0.646557195419672,0.721792926280229,0.768447052573716,0.701763917690316,0.793017122669175,0.820654316798922,1,0.978617292374032
"reproductive",0.90238713652045,0.907688642605646,0.84866928849334,0.800322617666606,0.703810990353453,0.697236035938831,0.56734745016766,0.635465212173699,0.661174204461443,0.703025694419418,0.78687882874211,0.791573125531138,0.978617292374032,1
