"sensory_bp_1","sensory_bp_2","p_adj","effector_body_part","significant"
"proboscis","head",0.000000000000000000000000000000000000000000000000000000000000562888459992182,"hemolymph",TRUE
"proboscis","antenna",0.000000000000000000000000000000000000000000000157971913831363,"hemolymph",TRUE
"hind leg","head",0.00000000000000000000000000000000000000000000588028868627506,"hemolymph",TRUE
"wing","head",0.00000000000000000000000000000000000000000000686908574466987,"hemolymph",TRUE
"pharynx","head",0.0000000000000000000000000000000000000000000562269086536015,"hemolymph",TRUE
"reproductive","head",0.000000000000000000000000000000000000000158146814519468,"hemolymph",TRUE
"thoracic-abdominal","head",0.000000000000000000000000000000000000000649420881212303,"hemolymph",TRUE
"head","haltere",0.0000000000000000000000000000000000000238300647219073,"hemolymph",TRUE
"middle leg","head",0.0000000000000000000000000000000000110273575549732,"hemolymph",TRUE
"thoracic-abdominal","antenna",0.0000000000000000000000000000000000502279758437748,"hemolymph",TRUE
"thoracic-abdominal","hind leg",0.000000000000000000000000000000000140384948325579,"hemolymph",TRUE
"pharynx","antenna",0.000000000000000000000000000000000379297236370279,"hemolymph",TRUE
"thoracic-abdominal","middle leg",0.0000000000000000000000000000000621763623729129,"hemolymph",TRUE
"thoracic-abdominal","front leg",0.000000000000000000000000000000181935037776259,"hemolymph",TRUE
"reproductive","antenna",0.0000000000000000000000000000467110022246267,"hemolymph",TRUE
"thorax","head",0.0000000000000000000000000000571262890966965,"hemolymph",TRUE
"wing","thoracic-abdominal",0.000000000000000000000000000161164779552452,"hemolymph",TRUE
"hemolymph","head",0.000000000000000000000000000708466676003561,"hemolymph",TRUE
"head","enteric",0.000000000000000000000000000864238927749714,"hemolymph",TRUE
"proboscis","hind leg",0.00000000000000000000000000113741907220008,"hemolymph",TRUE
"haltere","antenna",0.00000000000000000000000000655048021864711,"hemolymph",TRUE
"wing","antenna",0.0000000000000000000000000508786029614185,"hemolymph",TRUE
"hind leg","hemolymph",0.0000000000000000000000000763622435377177,"hemolymph",TRUE
"hemolymph","antenna",0.000000000000000000000000165519604422397,"hemolymph",TRUE
"enteric","antenna",0.000000000000000000000000278104685453036,"hemolymph",TRUE
"hind leg","enteric",0.000000000000000000000000630954010288709,"hemolymph",TRUE
"middle leg","hemolymph",0.00000000000000000000000297828233359873,"hemolymph",TRUE
"hemolymph","front leg",0.00000000000000000000000303202559828699,"hemolymph",TRUE
"pharynx","hind leg",0.00000000000000000000000352071529811667,"hemolymph",TRUE
"pharynx","front leg",0.000000000000000000000018448910606091,"hemolymph",TRUE
