"effector_body_part","n_observations","n_sensory_body_parts","top_sensory_body_part","top_median_influence","is_matched","kw_chi_squared","kw_p_value","kw_significant"
"hemolymph",6118,18,"hemolymph",0.00461406979072895,TRUE,1194.24606907251,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000224659992318199,TRUE
"enteric",2527,18,"enteric",0.0417814401284168,TRUE,913.616459640229,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262234788738187,TRUE
"pharynx",2793,18,"pharynx",0.0184898802083306,TRUE,1090.93908791898,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030915291323713,TRUE
"proboscis",3990,18,"proboscis",0.00676662724781565,TRUE,1348.48162710318,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179764777527001,TRUE
"antenna",1330,18,"eye",0.00161755153458026,FALSE,218.09111960093,0.000000000000000000000000000000000000642123656677904,TRUE
"eye",532,18,"eye",0.00397799072431703,TRUE,145.414286164024,0.000000000000000000000192692291849156,TRUE
"neck",7182,18,"eye",0.0242849024700304,FALSE,1843.85512232022,0,TRUE
"wing",9842,18,"thorax",0.00163099076409539,FALSE,3537.27248729387,0,TRUE
"haltere",3192,18,"haltere",0.00391673273505879,TRUE,914.488760733282,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000170755253612375,TRUE
"front leg",17556,18,"front leg",0.00195693277479484,TRUE,6542.30632359227,0,TRUE
"middle leg",16093,18,"middle leg",0.00239630492812329,TRUE,7712.7254115305,0,TRUE
"hind leg",15827,18,"hind leg",0.00308274286762868,TRUE,7764.96907775865,0,TRUE
"thoracic-abdominal",1862,18,"enteric",0.00170162654683831,FALSE,764.437995326495,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171052673292359,TRUE
"ureter",931,18,"reproductive",0.0070490415837978,FALSE,438.116650043308,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000193303602014326,TRUE
"abdomen",32452,18,"abdomen",0.0029470337795063,TRUE,10042.818925928,0,TRUE
"reproductive",2128,18,"abdomen",0.00308109230760525,FALSE,815.188121195227,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264063818752,TRUE
