Matched vs Unmatched Influence Tests (Wilcoxon rank-sum test, one-sided: matched > unmatched, Holm-adjusted)

hind leg: matched (n=350, median=0.81) vs unmatched (n=3010, median=0.68), p_adj=< 2.2×10^-16 ***, r=-0.721
middle leg: matched (n=385, median=0.84) vs unmatched (n=2975, median=0.70), p_adj=< 2.2×10^-16 ***, r=-0.661
wing: matched (n=297, median=0.76) vs unmatched (n=2871, median=0.63), p_adj=< 2.2×10^-16 ***, r=-0.720
front leg: matched (n=492, median=0.79) vs unmatched (n=3444, median=0.69), p_adj=< 2.2×10^-16 ***, r=-0.408
proboscis: matched (n=56, median=0.88) vs unmatched (n=1288, median=0.67), p_adj=< 2.2×10^-16 ***, r=-0.957
abdomen: matched (n=272, median=0.75) vs unmatched (n=6256, median=0.57), p_adj=< 2.2×10^-16 ***, r=-0.425
pharynx: matched (n=20, median=0.90) vs unmatched (n=940, median=0.56), p_adj=3.53×10^-12 ***, r=-0.933
hemolymph: matched (n=20, median=0.87) vs unmatched (n=940, median=0.60), p_adj=4.22×10^-11 ***, r=-0.885
haltere: matched (n=52, median=0.79) vs unmatched (n=1196, median=0.62), p_adj=5.32×10^-7 ***, r=-0.427
enteric: matched (n=8, median=0.93) vs unmatched (n=376, median=0.53), p_adj=5.18×10^-6 ***, r=-0.981
reproductive: matched (n=9, median=0.86) vs unmatched (n=279, median=0.55), p_adj=1.03×10^-5 ***, r=-0.893
neck: matched (n=48, median=0.74) vs unmatched (n=2256, median=0.69), p_adj=1.07×10^-4 ***, r=-0.335
eye: matched (n=2, median=0.96) vs unmatched (n=190, median=0.79), p_adj=0.0165 *, r=-0.989
antenna: matched (n=54, median=0.79) vs unmatched (n=522, median=0.75), p_adj=0.0165 *, r=-0.179
