"target_body_part","match_class","n","median_influence","q25","q75","iqr"
"abdomen","matched",272,0.751547743668589,0.44152670048134,0.819952756943889,0.378426056462549
"abdomen","unmatched",6256,0.568522761982951,0.485553474330096,0.649292794023874,0.163739319693778
"antenna","matched",54,0.793317647876505,0.7069615224741,0.82848957514997,0.12152805267587
"antenna","unmatched",522,0.75140079627866,0.675960079646501,0.814240272120031,0.13828019247353
"enteric","matched",8,0.928812797323006,0.899132205508772,0.934082623232981,0.0349504177242097
"enteric","unmatched",376,0.533944313946587,0.441095078801404,0.665338974894506,0.224243896093101
"eye","matched",2,0.963956074455828,0.945934111683742,0.981978037227914,0.0360439255441719
"eye","unmatched",190,0.785670800278078,0.704520843336848,0.840820027833004,0.136299184496156
"front leg","matched",492,0.792784153853357,0.642481595776044,0.847970758510543,0.205489162734499
"front leg","unmatched",3444,0.686881997980964,0.609420082934759,0.735767238173236,0.126347155238477
"haltere","matched",52,0.794738551301745,0.532751477315853,0.888003658528979,0.355252181213126
"haltere","unmatched",1196,0.621646895545341,0.546977388554368,0.685234586892079,0.138257198337711
"hemolymph","matched",20,0.874153920427393,0.8106873787765,0.924596505226061,0.113909126449561
"hemolymph","unmatched",940,0.600235400985751,0.491404798817843,0.707227075969163,0.21582227715132
"hind leg","matched",350,0.809327538524485,0.767855130627793,0.881599485558251,0.113744354930459
"hind leg","unmatched",3010,0.675724245858373,0.588079782986838,0.730164974366059,0.142085191379221
"middle leg","matched",385,0.83680622820214,0.797103859776307,0.883097722620715,0.0859938628444076
"middle leg","unmatched",2975,0.702818792836639,0.621109365484874,0.753431432662417,0.132322067177543
"neck","matched",48,0.73920987801998,0.65603646357099,0.90928326627173,0.253246802700741
"neck","unmatched",2256,0.691564287182988,0.628226504869052,0.74171621248776,0.113489707618708
"pharynx","matched",20,0.901980795205999,0.872159682097296,0.936758457485212,0.0645987753879161
"pharynx","unmatched",940,0.557701227385217,0.475460248826792,0.673359128621528,0.197898879794736
"proboscis","matched",56,0.882695111651323,0.849145470920487,0.924016343677052,0.074870872756565
"proboscis","unmatched",1288,0.665850806801646,0.578809292131416,0.738947731748668,0.160138439617252
"reproductive","matched",9,0.859266641179413,0.819447701049375,0.914989966223675,0.0955422651743002
"reproductive","unmatched",279,0.549941296699681,0.471789602879183,0.636999242840152,0.165209639960969
"wing","matched",297,0.758996601787759,0.708466639080623,0.803775136204495,0.095308497123872
"wing","unmatched",2871,0.629889220075182,0.556063890195432,0.690109160319272,0.134045270123839
