"effector_body_part","n_observations","n_sensory_body_parts","top_sensory_body_part","top_median_influence","is_matched","kw_chi_squared","kw_p_value","kw_significant"
"hemolymph",5985,18,"hemolymph",0.00310903044957375,TRUE,1191.04984237036,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108858711591757,TRUE
"enteric",2394,18,"enteric",0.0341491609369733,TRUE,868.672385825776,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103332322995866,TRUE
"pharynx",2793,18,"pharynx",0.0143428659090316,TRUE,1017.32974470172,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176658701564574,TRUE
"proboscis",3990,18,"proboscis",0.0046716582267683,TRUE,1372.9265222845,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101156385699328,TRUE
"antenna",1330,18,"eye",0.00110111023075926,FALSE,243.364246661521,0.00000000000000000000000000000000000000000471536694703225,TRUE
"eye",532,18,"eye",0.00237443697323872,TRUE,153.209990406282,0.00000000000000000000000575035043866008,TRUE
"neck",7182,18,"eye",0.0209322029691776,FALSE,1975.19372873019,0,TRUE
"wing",9842,18,"thorax",0.00118562691845932,FALSE,3488.49001346716,0,TRUE
"haltere",3192,18,"haltere",0.00184061115189018,TRUE,938.515930468029,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125669671628101,TRUE
"front leg",17556,18,"front leg",0.00128016852897556,TRUE,6393.45799974049,0,TRUE
"middle leg",16093,18,"middle leg",0.00182008291599715,TRUE,7727.82682547624,0,TRUE
"hind leg",15561,18,"hind leg",0.001974985414805,TRUE,7517.76717935456,0,TRUE
"thoracic-abdominal",1862,18,"enteric",0.00128924789641541,FALSE,760.639222074913,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110113243990094,TRUE
"ureter",931,18,"reproductive",0.00410092486371652,FALSE,450.993147959847,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000383760394231208,TRUE
"abdomen",32186,18,"abdomen",0.00170785162304058,TRUE,9550.89513828711,0,TRUE
"reproductive",2128,18,"abdomen",0.0019599130274349,FALSE,800.178850940575,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000417399258161921,TRUE
