"sensory_bp_1","sensory_bp_2","p_adj","effector_body_part","significant"
"proboscis","head",0.0000000000000000000000000000000000000000000000000000000000000318218935963856,"hemolymph",TRUE
"hind leg","head",0.000000000000000000000000000000000000000000000000062807529357725,"hemolymph",TRUE
"wing","head",0.0000000000000000000000000000000000000000000000147573886090314,"hemolymph",TRUE
"proboscis","antenna",0.000000000000000000000000000000000000000000000167254954587016,"hemolymph",TRUE
"pharynx","head",0.00000000000000000000000000000000000000000000147868701897878,"hemolymph",TRUE
"middle leg","head",0.0000000000000000000000000000000000000000542354415300986,"hemolymph",TRUE
"reproductive","head",0.00000000000000000000000000000000000000052764767171924,"hemolymph",TRUE
"thoracic-abdominal","head",0.00000000000000000000000000000000000000897279460764441,"hemolymph",TRUE
"head","haltere",0.0000000000000000000000000000000001964191866543,"hemolymph",TRUE
"thoracic-abdominal","antenna",0.000000000000000000000000000000000329013921423408,"hemolymph",TRUE
"pharynx","antenna",0.00000000000000000000000000000000036322347512534,"hemolymph",TRUE
"thoracic-abdominal","hind leg",0.00000000000000000000000000000000125066864562922,"hemolymph",TRUE
"thoracic-abdominal","middle leg",0.000000000000000000000000000000620297941901936,"hemolymph",TRUE
"thoracic-abdominal","front leg",0.00000000000000000000000000000194641611354527,"hemolymph",TRUE
"thorax","head",0.0000000000000000000000000000148936097513774,"hemolymph",TRUE
"proboscis","hind leg",0.000000000000000000000000000468562151445559,"hemolymph",TRUE
"reproductive","antenna",0.000000000000000000000000000474959314686228,"hemolymph",TRUE
"wing","thoracic-abdominal",0.00000000000000000000000000278156718866323,"hemolymph",TRUE
"hemolymph","head",0.00000000000000000000000000667383622348332,"hemolymph",TRUE
"head","enteric",0.0000000000000000000000000070726439944212,"hemolymph",TRUE
"pharynx","hind leg",0.00000000000000000000000028239023120997,"hemolymph",TRUE
"hind leg","hemolymph",0.000000000000000000000000564464473564311,"hemolymph",TRUE
"hemolymph","antenna",0.00000000000000000000000142853595576647,"hemolymph",TRUE
"enteric","antenna",0.00000000000000000000000156035244110477,"hemolymph",TRUE
"hind leg","enteric",0.00000000000000000000000159331836867832,"hemolymph",TRUE
"wing","antenna",0.00000000000000000000000162104228001893,"hemolymph",TRUE
"middle leg","hemolymph",0.0000000000000000000000100223453843659,"hemolymph",TRUE
"hemolymph","front leg",0.0000000000000000000000104218329859333,"hemolymph",TRUE
"pharynx","front leg",0.0000000000000000000000117397547194734,"hemolymph",TRUE
"front leg","enteric",0.0000000000000000000000455959852161385,"hemolymph",TRUE
"middle leg","enteric",0.0000000000000000000000484866426588923,"hemolymph",TRUE
"proboscis","neck",0.00000000000000000000013740493895856,"hemolymph",TRUE
"thoracic-abdominal","reproductive",0.000000000000000000000188789212835232,"hemolymph",TRUE
"pharynx","middle leg",0.000000000000000000000449695202366559,"hemolymph",TRUE
"thoracic-abdominal","neck",0.000000000000000000000586502202182129,"hemolymph",TRUE
"wing","hemolymph",0.000000000000000000000895849795878563,"hemolymph",TRUE
"proboscis","front leg",0.00000000000000000000156823055921042,"hemolymph",TRUE
"wing","enteric",0.00000000000000000000311058045851682,"hemolymph",TRUE
"haltere","antenna",0.00000000000000000000348810372234168,"hemolymph",TRUE
"thorax","antenna",0.000000000000000000004249443874672,"hemolymph",TRUE
"head","front leg",0.00000000000000000000852435866478025,"hemolymph",TRUE
"proboscis","middle leg",0.00000000000000000000865418934713451,"hemolymph",TRUE
"proboscis","body chordotonal",0.000000000000000000136558590334843,"hemolymph",TRUE
"hind leg","antenna",0.000000000000000000313184400273114,"hemolymph",TRUE
"reproductive","hemolymph",0.00000000000000000222426364398768,"hemolymph",TRUE
"head","abdomen",0.00000000000000000234502213514174,"hemolymph",TRUE
"reproductive","enteric",0.00000000000000000347326672621736,"hemolymph",TRUE
"thorax","thoracic-abdominal",0.00000000000000000574206681174955,"hemolymph",TRUE
"pharynx","neck",0.0000000000000000120590933781445,"hemolymph",TRUE
"thoracic-abdominal","body chordotonal",0.000000000000000014428862303553,"hemolymph",TRUE
"neck","enteric",0.0000000000000000148490417488924,"hemolymph",TRUE
"neck","hemolymph",0.0000000000000000152797516560215,"hemolymph",TRUE
"middle leg","antenna",0.0000000000000000234305307565787,"hemolymph",TRUE
"proboscis","hemolymph",0.0000000000000000445543712053783,"hemolymph",TRUE
"pharynx","body chordotonal",0.0000000000000000693417986916092,"hemolymph",TRUE
"wing","pharynx",0.00000000000000015543340222928,"hemolymph",TRUE
"thoracic-abdominal","proboscis",0.000000000000000164180143207204,"hemolymph",TRUE
"hemolymph","abdomen",0.000000000000000208404528413225,"hemolymph",TRUE
"proboscis","enteric",0.000000000000000299281133705744,"hemolymph",TRUE
"thoracic-abdominal","haltere",0.000000000000000452222561763033,"hemolymph",TRUE
"thorax","hemolymph",0.000000000000000591273251787183,"hemolymph",TRUE
"wing","proboscis",0.000000000000000718080255204202,"hemolymph",TRUE
"thorax","enteric",0.00000000000000131263520823677,"hemolymph",TRUE
"hemolymph","haltere",0.00000000000000215611191957171,"hemolymph",TRUE
"reproductive","body chordotonal",0.00000000000000502653773023181,"hemolymph",TRUE
"enteric","abdomen",0.00000000000000512208903368174,"hemolymph",TRUE
"antenna","abdomen",0.00000000000000907446712657087,"hemolymph",TRUE
"enteric","body chordotonal",0.0000000000000120064666700584,"hemolymph",TRUE
"hemolymph","body chordotonal",0.0000000000000120064666700584,"hemolymph",TRUE
"thoracic-abdominal","abdomen",0.000000000000026246608217212,"hemolymph",TRUE
"haltere","enteric",0.0000000000000287751198858594,"hemolymph",TRUE
"reproductive","neck",0.000000000000131371592560588,"hemolymph",TRUE
"wing","body chordotonal",0.00000000000014259758937541,"hemolymph",TRUE
"thorax","body chordotonal",0.000000000000492453832241161,"hemolymph",TRUE
"haltere","body chordotonal",0.000000000000567045966673737,"hemolymph",TRUE
"hind leg","body chordotonal",0.0000000000131937727939604,"hemolymph",TRUE
"thorax","neck",0.0000000000630438719518368,"hemolymph",TRUE
"thoracic-abdominal","eye",0.0000000000985899391933688,"hemolymph",TRUE
"reproductive","pharynx",0.000000000116091860602891,"hemolymph",TRUE
"middle leg","body chordotonal",0.000000000500905830743749,"hemolymph",TRUE
"hemolymph","eye",0.00000000148437488336901,"hemolymph",TRUE
"eye","enteric",0.00000000177344463368205,"hemolymph",TRUE
"pharynx","hemolymph",0.00000000214823208130239,"hemolymph",TRUE
"hind leg","abdomen",0.00000000596709741958497,"hemolymph",TRUE
"neck","haltere",0.00000000907918084701422,"hemolymph",TRUE
"reproductive","proboscis",0.0000000251913969081736,"hemolymph",TRUE
"thorax","pharynx",0.0000000751837102152324,"hemolymph",TRUE
"neck","abdomen",0.0000000872545899378098,"hemolymph",TRUE
"front leg","antenna",0.000000093929036963886,"hemolymph",TRUE
"wing","neck",0.000000115270689008258,"hemolymph",TRUE
"proboscis","eye",0.000000375917228086164,"hemolymph",TRUE
"pharynx","haltere",0.000000650904544314267,"hemolymph",TRUE
"reproductive","hind leg",0.000000771531222145373,"hemolymph",TRUE
"pharynx","enteric",0.000000804421569373605,"hemolymph",TRUE
"middle leg","abdomen",0.00000198834028385378,"hemolymph",TRUE
"body chordotonal","abdomen",0.0000026637327997734,"hemolymph",TRUE
"front leg","abdomen",0.0000030532989005754,"hemolymph",TRUE
"front leg","body chordotonal",0.00000389742558988689,"hemolymph",TRUE
"head","eye",0.00000418044695934919,"hemolymph",TRUE
"pharynx","eye",0.00000813802699769087,"hemolymph",TRUE
"thorax","proboscis",0.00000992726606522546,"hemolymph",TRUE
"neck","head",0.0000176325135762683,"hemolymph",TRUE
"wing","abdomen",0.0000320206468493387,"hemolymph",TRUE
"thorax","hind leg",0.0000531088568015291,"hemolymph",TRUE
"eye","body chordotonal",0.0000740790434245401,"hemolymph",TRUE
"pharynx","abdomen",0.000083268006717124,"hemolymph",TRUE
"reproductive","front leg",0.000085829310566242,"hemolymph",TRUE
"proboscis","haltere",0.000121968202458738,"hemolymph",TRUE
"haltere","front leg",0.000296063626962571,"hemolymph",TRUE
"hind leg","haltere",0.000338180706683136,"hemolymph",TRUE
"proboscis","pharynx",0.000652170853268312,"hemolymph",TRUE
"neck","body chordotonal",0.000694261743495836,"hemolymph",TRUE
"neck","hind leg",0.000694261743495836,"hemolymph",TRUE
"thoracic-abdominal","pharynx",0.000694261743495836,"hemolymph",TRUE
"neck","middle leg",0.000730406876554373,"hemolymph",TRUE
"reproductive","abdomen",0.000896487657968559,"hemolymph",TRUE
"thorax","front leg",0.000961377170338102,"hemolymph",TRUE
"eye","antenna",0.00188542898227302,"hemolymph",TRUE
"head","antenna",0.00230851439133794,"hemolymph",TRUE
"body chordotonal","antenna",0.00383758901946118,"hemolymph",TRUE
"reproductive","middle leg",0.00473950702774198,"hemolymph",TRUE
"thoracic-abdominal","hemolymph",0.00565599271700218,"hemolymph",TRUE
"eye","abdomen",0.00649615788074043,"hemolymph",TRUE
"reproductive","eye",0.00686459106004976,"hemolymph",TRUE
"thorax","abdomen",0.0222318354078067,"hemolymph",TRUE
"wing","front leg",0.0222355125475257,"hemolymph",TRUE
"middle leg","haltere",0.0222355125475257,"hemolymph",TRUE
"thorax","middle leg",0.0222355125475257,"hemolymph",TRUE
"thorax","eye",0.0267262561409654,"hemolymph",TRUE
"wing","reproductive",0.0374868232585168,"hemolymph",TRUE
"wing","hind leg",0.0452738396717589,"hemolymph",TRUE
"neck","eye",0.0987896859460957,"hemolymph",FALSE
"wing","thorax",0.150012502763313,"hemolymph",FALSE
"head","body chordotonal",0.209132556540005,"hemolymph",FALSE
"neck","front leg",0.297365050357366,"hemolymph",FALSE
"haltere","abdomen",0.374340926168286,"hemolymph",FALSE
"haltere","eye",0.374340926168286,"hemolymph",FALSE
"thoracic-abdominal","enteric",0.416915858454222,"hemolymph",FALSE
"neck","antenna",0.495614416433926,"hemolymph",FALSE
"hemolymph","enteric",0.495614416433926,"hemolymph",FALSE
"middle leg","front leg",0.580356984386053,"hemolymph",FALSE
"wing","haltere",0.580356984386053,"hemolymph",FALSE
"wing","middle leg",0.9314563752592,"hemolymph",FALSE
"proboscis","abdomen",1,"hemolymph",FALSE
"front leg","eye",1,"hemolymph",FALSE
"hind leg","eye",1,"hemolymph",FALSE
"middle leg","eye",1,"hemolymph",FALSE
"wing","eye",1,"hemolymph",FALSE
"hind leg","front leg",1,"hemolymph",FALSE
"reproductive","haltere",1,"hemolymph",FALSE
"thorax","haltere",1,"hemolymph",FALSE
"middle leg","hind leg",1,"hemolymph",FALSE
"thorax","reproductive",1,"hemolymph",FALSE
"proboscis","head",0.00000000000000000000000000000000000000000662399113825939,"enteric",TRUE
"hind leg","head",0.00000000000000000000000000000000000000878187863600052,"enteric",TRUE
"proboscis","antenna",0.000000000000000000000000000000000556311092086175,"enteric",TRUE
"wing","head",0.000000000000000000000000000000000812387945843441,"enteric",TRUE
"proboscis","hind leg",0.0000000000000000000000000000000769410082269986,"enteric",TRUE
"middle leg","head",0.00000000000000000000000000000213760121625375,"enteric",TRUE
"pharynx","head",0.000000000000000000000000000284225141508378,"enteric",TRUE
"proboscis","middle leg",0.0000000000000000000000000619728818784944,"enteric",TRUE
"reproductive","head",0.00000000000000000000000360969883586557,"enteric",TRUE
"thoracic-abdominal","head",0.00000000000000000000000564080430828804,"enteric",TRUE
