"effector_body_part","n_observations","n_sensory_body_parts","kw_chi_squared","kw_p_value","kw_significant"
"hemolymph",1040,18,213.278400645818,0.00000000000000000000000000000000000603550218502388,TRUE
"enteric",416,18,176.986443845697,0.000000000000000000000000000114945225361621,TRUE
"pharynx",936,18,336.598185754882,0.000000000000000000000000000000000000000000000000000000000000299726901945195,TRUE
"proboscis",1352,18,420.226051284214,0.00000000000000000000000000000000000000000000000000000000000000000000000000000108638238387566,TRUE
"antenna",520,18,91.2420569679026,0.00000000000362639481894558,TRUE
"eye",208,18,46.699356492555,0.000135380783368111,TRUE
"neck",2704,18,643.838375213948,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730105614274707,TRUE
"wing",3328,18,1107.4152577324,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000914437003173598,TRUE
"haltere",1248,18,342.918350996797,0.0000000000000000000000000000000000000000000000000000000000000146063932576709,TRUE
"front leg",4160,18,1128.59010000793,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000265874541233058,TRUE
"middle leg",3640,18,1375.92204514971,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002299388587193,TRUE
"hind leg",3744,18,1373.77597425355,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000664582436310177,TRUE
"thoracic-abdominal",104,18,39.9618414638852,0.00131033447937665,TRUE
"ureter",104,18,48.3263775727586,0.0000765407800309323,TRUE
"abdomen",6552,18,1621.65046411421,0,TRUE
"reproductive",312,18,113.177329102178,0.000000000000000303801228036633,TRUE
