seed_class,super_cluster,target,influence_norm_log_max
central_complex_output,flight steering 1,DNa03,19.34
central_complex_output,walking,DNpe016,19.22
central_complex_output,flight steering 1,DNb01,18.78
central_complex_output,reproduction,AN17B008,18.61
central_complex_output,taste-touch,AN17B008,18.61
central_complex_output,postural control,AN18B053,18.58
central_complex_output,walking,DNbe006,18.21
central_complex_output,flight steering 1,DNg04,18.16
central_complex_output,postural control,AN07B045,18.08
central_complex_output,walking steering,DNa02,17.93
central_complex_output,head orienting,DNg36_a,17.85
central_complex_output,walking,DNb09,17.84
central_complex_output,flight steering 1,DNpe019,17.73
central_complex_output,flight steering 1,DNg01,17.69
central_complex_output,flight steering 1,DNg71,17.66
central_complex_output,walking,DNg97,17.42
central_complex_output,walking steering,DNa13,17.39
central_complex_output,walking steering,DNae001,17.39
central_complex_output,flight power,DNg106,17.38
central_complex_output,flight steering 1,DNae002,17.37
central_complex_output,walking,AN23B004,17.35
mushroom_body_output,reproduction,DNg104,21.09
mushroom_body_output,taste-touch,DNge138,20.83
mushroom_body_output,reproduction,DNp68,20.71
mushroom_body_output,threat response,DNp42,20.62
mushroom_body_output,reproduction,DNge150,20.61
mushroom_body_output,reproduction,DNp52,20.55
mushroom_body_output,postural control,ANXXX116,20.33
mushroom_body_output,walking steering,MDN,20.29
mushroom_body_output,flight steering 1,DNa03,20.18
mushroom_body_output,taste-touch,AN09B004,20.13
mushroom_body_output,walking,DNg13,20.12
mushroom_body_output,feeding,ANXXX977,20.06
mushroom_body_output,reproduction,DNge151,20.06
mushroom_body_output,walking,DNpe006,19.99
mushroom_body_output,walking steering,DNa13,19.98
mushroom_body_output,walking steering,DNde003,19.88
mushroom_body_output,reproduction,DNge149,19.85
mushroom_body_output,reproduction,DNg34,19.82
mushroom_body_output,flight power,DNge152,19.75
mushroom_body_output,reproduction,DNg66,19.65
mushroom_body_output,walking,DNpe028,19.62
mushroom_body_output,threat response,DNpe026,19.6
mushroom_body_output,threat response,DNp08,19.58
mushroom_body_output,walking steering,DNpe023,19.54
mushroom_body_output,walking steering,DNae001,19.53
mushroom_body_output,walking,DNge127,19.48
mushroom_body_output,feeding,ANXXX470,19.4
mushroom_body_output,walking,DNb08,19.34
mushroom_body_output,probing,DNpe003,19.2
mushroom_body_output,feeding,ANXXX434,19.13
mushroom_body_output,reproduction,ANXXX150,19.12
mushroom_body_output,walking steering,DNa02,19.08
mushroom_body_output,postural control,DNpe021,19.01
mushroom_body_output,walking,DNde002,18.94
mushroom_body_output,postural control,DNpe027_ab,18.91
mushroom_body_output,probing,DNge041,18.9
mushroom_body_output,grooming,DNge083,18.89
mushroom_body_output,visceral control,AN09A005,18.83
mushroom_body_output,postural control,DNb05,18.79
mushroom_body_output,reproduction,ANXXX990,18.78
mushroom_body_output,postural control,AN17A012,18.73
mushroom_body_output,visceral control,DNge135,18.73
mushroom_body_output,walking,AN17A012,18.73
mushroom_body_output,probing,DNp56,18.63
mushroom_body_output,walking,DNpe045,18.63
mushroom_body_output,feeding,AN01A055,18.61
mushroom_body_output,threat response,DNp59,18.61
mushroom_body_output,threat response,DNge053,18.6
mushroom_body_output,taste-touch,AN09B040,18.58
mushroom_body_output,probing,DNbe007,18.57
mushroom_body_output,postural control,DNp32,18.5
mushroom_body_output,visceral control,AN27X013,18.5
mushroom_body_output,feeding,DNg63,18.37
mushroom_body_output,probing,DNde005,18.3
mushroom_body_output,reproduction,DNg33,18.3
mushroom_body_output,walking,DNpe027,18.29
mushroom_body_output,flight steering 1,DNg04,18.26
mushroom_body_output,flight steering 1,DNp57,18.26
mushroom_body_output,postural control,DNp54,18.26
mushroom_body_output,reproduction,AN09A007,18.26
mushroom_body_output,tactile,AN09A007,18.26
mushroom_body_output,threat response,AN08B049,18.26
mushroom_body_output,threat response,DNpe043,18.25
mushroom_body_output,threat response,AN01A049,18.24
mushroom_body_output,walking,DNpe022,18.2
mushroom_body_output,threat response,DNpe040,18.19
mushroom_body_output,walking steering,DNae005,18.14
mushroom_body_output,walking steering,DNa11,18.13
mushroom_body_output,flight steering 1,DNpe005,18.11
mushroom_body_output,visceral control,DNg102,18.07
mushroom_body_output,walking,DNbe006,18.07
mushroom_body_output,postural control,AN07B070,18.04
mushroom_body_output,walking,DNa01,18.02
mushroom_body_output,taste-touch,DNp70,17.98
mushroom_body_output,walking,AN08B026,17.94
mushroom_body_output,walking steering,AN08B026,17.94
mushroom_body_output,reproduction,DNge105,17.93
mushroom_body_output,tactile,DNde001,17.93
mushroom_body_output,walking steering,AN02A025,17.91
mushroom_body_output,threat response,AN08B099,17.9
mushroom_body_output,walking steering,AN02A046,17.9
mushroom_body_output,feeding,DNp62,17.89
