display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
AN19B025,720575941535925018,,AN19B025,ascending_neuron,,ascending,head orienting,right,acetylcholine,,
DProN5,720575941530511747,,DProN5,neck_motor_neuron,neck_roll_pitch_motor_neuron,motor,head-eye-antenna,right,glutamate,,neck
DProN9,720575941574538504,,DProN9,neck_motor_neuron,,motor,head-eye-antenna,right,glutamate,,neck
CvN7,720575941495864905,,CvN7,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
DProN4,720575941492452222,,DProN4,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,glutamate,,neck
AN19B025,720575941461958340,,AN19B025,ascending_neuron,,ascending,head orienting,left,acetylcholine,,
CvN5,720575941513990988,,CvN5,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
DProN2,720575941489125351,,DProN2,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,glutamate,,neck
DProN2,720575941512880643,,DProN2,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,glutamate,,neck
DProN8,720575941493508551,,DProN8,neck_motor_neuron,,motor,head-eye-antenna,left,glutamate,,neck
DNpe013,720575941733215019,,DNpe013,descending_neuron,,descending,head orienting,right,acetylcholine,,
DProN3a,720575941575975350,,DProN3a,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
DProN5,720575941504200613,,DProN5,neck_motor_neuron,neck_roll_pitch_motor_neuron,motor,head-eye-antenna,left,glutamate,,neck
DNpe013,720575941507751447,,DNpe013,descending_neuron,,descending,head orienting,left,acetylcholine,,
DProN9,720575941390352388,,DProN9,neck_motor_neuron,,motor,head-eye-antenna,left,glutamate,,neck
CvN9,720575941565285730,,CvN9,neck_motor_neuron,,motor,head-eye-antenna,right,acetylcholine,,neck
CvN10,720575941642129528,,CvN10,neck_motor_neuron,,motor,head-eye-antenna,left,gaba,,neck
DProN4,720575941489332169,,DProN4,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,glutamate,,neck
CvN10,720575941526954424,,CvN10,neck_motor_neuron,,motor,head-eye-antenna,right,octopamine,,neck
DProN3b,720575941544264041,,DProN3b,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
CvN4,720575941597457564,,CvN4,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
DProN8,720575941577663825,,DProN8,neck_motor_neuron,,motor,head-eye-antenna,right,glutamate,,neck
DProN7,720575941435429676,,DProN7,neck_motor_neuron,,motor,head-eye-antenna,right,glutamate,,neck
CvN7,720575941459454704,,CvN7,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,acetylcholine,,neck
"CvN1,CvN2",720575941507987877,,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,acetylcholine,,neck
CvN3,720575941553264211,,CvN3,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,acetylcholine,,neck
CvN4,720575941428762249,,CvN4,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,right,octopamine,,neck
"CvN1,CvN2",720575941548493857,,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
CvN11,720575941564833938,,CvN11,neck_motor_neuron,,motor,head-eye-antenna,left,glutamate,,neck
CvN6,720575941609437613,,CvN6,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
CvN5,720575941508147746,,CvN5,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
CvN6,720575941539792220,,CvN6,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
DProN1,720575941439741119,,DProN1,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,glutamate,,neck
DProN7,720575941731588651,,DProN7,neck_motor_neuron,,motor,head-eye-antenna,left,glutamate,,neck
DProN6,720575941478578511,,DProN6,neck_motor_neuron,,motor,head-eye-antenna,left,glutamate,,neck
DProN1,720575941502691819,,DProN1,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,glutamate,,neck
sternal_anterior_rotator_miller_31,720575941692129243,,sternal_anterior_rotator_miller_31,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
accessory_tibia_flexor_A,720575941612256476,,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,gaba,,hind_leg
tibia_flexor,720575941497568199,,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,,front_leg
pleural_remotor_and_abductor,720575941548546696,,pleural_remotor_and_abductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,,front_leg
sternal_anterior_rotator,720575941531923147,,sternal_anterior_rotator,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,,front_leg
pleural_remotor_and_abductor,720575941494164864,,pleural_remotor_and_abductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,acetylcholine,,front_leg
femur_reductor,720575941486064962,,femur_reductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,acetylcholine,,front_leg
accessory_tibia_flexor_A,720575941454830131,,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,acetylcholine,,hind_leg
GNG651,720575941478847262,,GNG651,antenna_motor_neuron,,motor,front leg,left,acetylcholine,,"antenna, scape"
sternal_anterior_rotator_ventrolateral_ribbon,720575941494740094,,sternal_anterior_rotator_ventrolateral_ribbon,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,acetylcholine,,hind_leg
tibia_flexor_Fast,720575941508440193,,tibia_flexor_Fast,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,acetylcholine,,hind_leg
tibia_flexor,720575941521190835,,tibia_flexor,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,glutamate,,hind_leg
long_tendon_muscle_ltm_B,720575941549456673,,long_tendon_muscle_ltm_B,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,acetylcholine,,hind_leg
DProN3b,720575941525682253,,DProN3b,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
i2,720575941547394081,,i2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,,wing
tibia_flexor,720575941497881417,,tibia_flexor,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,glutamate,,middle_leg
CB0901,720575941611096028,,CB0901,eye_motor_neuron,,motor,head-eye-antenna,left,octopamine,,eye
tibia_flexor,720575941551010695,,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
pleural_remotor_and_abductor_miller_29,720575941593715569,,pleural_remotor_and_abductor_miller_29,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
accessory_tibia_flexor_A,720575941559281679,,accessory_tibia_flexor_A,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,glutamate,,front_leg
tarsus_depressor_retro_tarsus_depressor,720575941560573608,,tarsus_depressor_retro_tarsus_depressor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
pleural_remotor_and_abductor_miller_29,720575941691007896,,pleural_remotor_and_abductor_miller_29,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,acetylcholine,,front_leg
sternal_anterior_rotator_ventrolateral_ribbon,720575941438181205,,sternal_anterior_rotator_ventrolateral_ribbon,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,acetylcholine,,hind_leg
i2,720575941475745898,,i2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,,wing
CB0901,720575941525655833,,CB0901,eye_motor_neuron,,motor,head-eye-antenna,right,octopamine,,eye
tpn,720575941597267356,,tpn,wing_motor_neuron,wing_tension_motor_neuron,motor,flight-steering,right,acetylcholine,,wing
accessory_tibia_flexor_B,720575941519971511,,accessory_tibia_flexor_B,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,gaba,,middle_leg
accessory_tibia_flexor_B,720575941436960735,,accessory_tibia_flexor_B,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,gaba,,middle_leg
accessory_tibia_flexor_A,720575941589587710,,accessory_tibia_flexor_A,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,glutamate,,middle_leg
