display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
AN19B025,720575941535925018,526,AN19B025,ascending_neuron,,ascending,head orienting,right,acetylcholine,,
AN19B025,720575941461958340,643,AN19B025,ascending_neuron,,ascending,head orienting,left,acetylcholine,,
DNpe013,720575941733215019,837,DNpe013,descending_neuron,,descending,head orienting,right,acetylcholine,,
DNpe013,720575941507751447,885,DNpe013,descending_neuron,,descending,head orienting,left,acetylcholine,,
unnamed_inhibitory_interneuron,720575941491145525,102593,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,glutamate,,
unnamed_inhibitory_interneuron,720575941515653475,105135,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,glutamate,,
unnamed_inhibitory_interneuron,720575941516859235,105205,IN07B014,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,acetylcholine,,
unnamed_inhibitory_interneuron,720575941669104883,108182,IN07B014,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,acetylcholine,,
unnamed_inhibitory_interneuron,720575941652546837,109593,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,glutamate,,
unnamed_inhibitory_interneuron,720575941652544021,109731,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,glutamate,,
unnamed_inhibitory_interneuron,720575941414919569,109732,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,glutamate,,
neck_roll_motor_neuron,720575941492452222,636,DProN4,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,acetylcholine,,neck
neck_unknown_motor_neuron,720575941598584768,747,CvN9,neck_motor_neuron,,motor,head-eye-antenna,left,acetylcholine,,neck
neck_roll_motor_neuron,720575941575975350,849,DProN3a,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
neck_roll_pitch_motor_neuron,720575941504200613,872,DProN5,neck_motor_neuron,neck_roll_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
neck_unknown_motor_neuron,720575941565285730,979,CvN9,neck_motor_neuron,,motor,head-eye-antenna,right,acetylcholine,,neck
neck_unknown_motor_neuron,720575941642129528,1021,CvN10,neck_motor_neuron,,motor,head-eye-antenna,left,gaba,,neck
neck_roll_motor_neuron,720575941489332169,1042,DProN4,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
neck_unknown_motor_neuron,720575941526954424,1057,CvN10,neck_motor_neuron,,motor,head-eye-antenna,right,octopamine,,neck
neck_roll_motor_neuron,720575941544264041,1068,DProN3b,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
neck_unknown_motor_neuron,720575941435429676,1162,DProN7,neck_motor_neuron,,motor,head-eye-antenna,right,gaba,,neck
neck_yaw_motor_neuron,720575941507987877,1197,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,acetylcholine,,neck
neck_roll_motor_neuron,720575941553264211,1252,CvN3,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,acetylcholine,,neck
neck_yaw_motor_neuron,720575941548493857,1270,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
neck_unknown_motor_neuron,720575941564833938,1302,CvN11,neck_motor_neuron,,motor,head-eye-antenna,left,glutamate,,neck
neck_roll_motor_neuron,720575941439741119,1441,DProN1,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,,neck
neck_yaw_motor_neuron,720575941573751305,1502,CvNA2,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,octopamine,,neck
neck_unknown_motor_neuron,720575941731588651,1586,DProN7,neck_motor_neuron,,motor,head-eye-antenna,left,glutamate,,neck
neck_unknown_motor_neuron,720575941478578511,1602,DProN6,neck_motor_neuron,,motor,head-eye-antenna,left,gaba,,neck
neck_yaw_motor_neuron,720575941573355592,1759,CvNA2,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
middle_leg_motor_neuron,720575941594091397,3805,trochanter_flexor_MesoAN,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,gaba,,middle_leg
antenna_motor_neuron,720575941478847262,5403,CB0810,antenna_motor_neuron,,motor,front leg,left,acetylcholine,,"antenna, scape"
antenna_motor_neuron,720575941402749552,6298,CB0873,antenna_motor_neuron,,motor,front leg,left,octopamine,,"antenna, scape"
