display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNp65,720575941526723940,970,DNp65,descending_neuron,descending_neuron,descending,visceral control,left,gaba,unknown,
DNp65,720575941439633983,41883,DNp65,descending_neuron,descending_neuron,descending,visceral control,right,gaba,unknown,
AN27X017,720575941435998094,647,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,left,serotonin,unknown,
AN27X017,720575941589746756,1137,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,right,serotonin,unknown,
EFFabg37,720575941478745921,7189,EFFabg37,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,left,"Dh44,Lk",unknown,abdomen
EFFabg37,720575941574222152,7215,EFFabg37,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,left,"Dh44,Lk",unknown,abdomen
EFFabg37,720575941573474230,18570,EFFabg37,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"Dh44,Lk",unknown,abdomen
EFFabg37,720575941595761445,19102,EFFabg37,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"Dh44,Lk",unknown,abdomen
m_NSC_DILP,720575941552141191,3622,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941479077738,4549,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941511277840,12869,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941591629566,12870,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941547282620,12957,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941484554237,12959,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941478184478,21908,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941525217867,22719,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,left,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941484353277,23456,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,left,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
