display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNp37,720575941586653062,1084,DNp37,descending_neuron,descending_neuron,descending,postural control,right,acetylcholine,unknown,
DNp37,720575941492968423,1387,DNp37,descending_neuron,descending_neuron,descending,postural control,left,acetylcholine,unknown,
oviDNa_a,720575941521454003,1078,oviDNa_a,descending_neuron,descending_neuron,descending,reproduction,left,acetylcholine,unknown,
oviDNa_a,720575941491649255,41962,oviDNa_a,descending_neuron,descending_neuron,descending,reproduction,right,acetylcholine,unknown,
ANXXX983,720575941526853378,1201,ANXXX983,ascending_neuron,ascending_neuron,ascending,reproduction,right,dopamine,unknown,
ANXXX983,720575941514023523,1342,ANXXX983,ascending_neuron,ascending_neuron,ascending,reproduction,left,dopamine,unknown,
ANXXX986,720575941574706953,742,ANXXX986,ascending_neuron,ascending_neuron,ascending,postural control,left,acetylcholine,unknown,
ANXXX986,720575941651981077,1073,ANXXX986,ascending_neuron,ascending_neuron,ascending,postural control,right,acetylcholine,unknown,
ANXXX986,720575941436012832,1166,ANXXX986,ascending_neuron,ascending_neuron,ascending,postural control,right,acetylcholine,unknown,
ANXXX986,720575941574813192,1260,ANXXX986,ascending_neuron,ascending_neuron,ascending,postural control,left,acetylcholine,unknown,
reproductive_motor,720575941518199955,3570,CMU,uterus_motor_neuron,uterus_motor_neuron,motor,abdomen-positioning,left,acetylcholine,unknown,uterus
reproductive_motor,720575941573488392,18404,CMU,uterus_motor_neuron,uterus_motor_neuron,motor,abdomen-positioning,right,gaba,unknown,uterus
pC1a,720575941432567511,6013,pC1a,,,central_brain_intrinsic,,left,acetylcholine,unknown,
pC1a,720575941555764307,101149,pC1a,,,central_brain_intrinsic,,right,acetylcholine,unknown,
unnamed_interneuron,720575941689129199,4478,SMP589,,,central_brain_intrinsic,,right,dopamine,,
unnamed_interneuron,720575941496942464,5053,"SMP602,SMP094",,,central_brain_intrinsic,,left,glutamate,,
unnamed_interneuron,720575941526799972,7128,SMP093,,,central_brain_intrinsic,,left,glutamate,,
unnamed_interneuron,720575941482069327,7256,"SMP602,SMP094",,,central_brain_intrinsic,,left,glutamate,,
unnamed_interneuron,720575941688865176,7263,SMP093,,,central_brain_intrinsic,,left,glutamate,,
unnamed_interneuron,720575941629815846,7303,SMP093,,,central_brain_intrinsic,,left,glutamate,,
unnamed_interneuron,720575941574382587,7548,SMP093,,,central_brain_intrinsic,,left,glutamate,,
unnamed_interneuron,720575941462793104,22971,"SMP602,SMP094",,,central_brain_intrinsic,,left,glutamate,,
reproductive_tract_sensory,720575941447758442,25443,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,,right,serotonin,uterus,
reproductive_tract_sensory,720575941447760490,25812,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,,right,serotonin,uterus,
reproductive_tract_sensory,720575941430103433,28953,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,,left,serotonin,uterus,
reproductive_tract_sensory,720575941670010023,37561,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,,left,serotonin,uterus,
unnamed_interneuron,720575941576087222,107033,INXXX149,,ventral_nerve_cord_bilateral_restricted,ventral_nerve_cord_intrinsic,,left,gaba,,
unnamed_interneuron,720575941625941147,110225,INXXX240,,ventral_nerve_cord_bilateral_restricted,ventral_nerve_cord_intrinsic,,right,gaba,,
reproductive_tract_sensory,720575941456275050,25078,SNabg97f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941437456928,25096,SNabg97f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941583453735,25169,SNabg01,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941558317860,25928,SNabg01,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941410047791,25967,SNabg97f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941500366153,25973,SNabg97f,reproductive_tract_sensory_neuron,posterior_uterine_sensory_neuron,sensory,,right,acetylcholine,uterus,
reproductive_tract_sensory,720575941596422277,25977,SNabg01,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941548442401,25983,SNabg97f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941633052064,25988,SNabg97f,reproductive_tract_sensory_neuron,posterior_uterine_sensory_neuron,sensory,,right,acetylcholine,uterus,
reproductive_tract_sensory,720575941633588411,25990,SNabg97f,reproductive_tract_sensory_neuron,posterior_uterine_sensory_neuron,sensory,,right,acetylcholine,uterus,
reproductive_tract_sensory,720575941571456926,25996,SNabg01,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
reproductive_tract_sensory,720575941451885902,26011,SNabg01,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941469820279,26024,SNabg01,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941524199755,26042,SNabg01,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941472832011,26359,SNabg97f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941518820524,26732,SNabg97f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941489453877,33882,SNabg98f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,left,serotonin,reproductive_tract,
reproductive_tract_sensory,720575941613352979,34052,SNabg97f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941631229932,34057,SNabg01,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,acetylcholine,reproductive_tract,
reproductive_tract_sensory,720575941559025523,34687,SNabg98f,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,,right,serotonin,reproductive_tract,
reproductive_tract_sensory,720575941602782137,37849,SNabg96f,,,sensory,,left,serotonin,abdomen,
unnamed_interneuron,720575941413153647,103299,INFST090,,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,acetylcholine,,
unnamed_interneuron,720575941498493307,110103,INFST090,,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,acetylcholine,,
unnamed_interneuron,720575941614958812,106896,INFST027,,ventral_nerve_cord_ipsilateral_restricted,ventral_nerve_cord_intrinsic,,left,acetylcholine,,
unnamed_interneuron,720575941650640913,110706,INFST027,,ventral_nerve_cord_bilateral_restricted,ventral_nerve_cord_intrinsic,,right,acetylcholine,,
abdominal_terminalia_bristle_sensory_neuron,720575941449989981,25968,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941600042688,25989,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941506231365,26008,SNabg09,orphan_neuron,abdomen_orphan_neuron,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941498950881,26016,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941552004095,26018,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941520774766,26034,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941565138274,26037,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941447770388,26062,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941455575402,26713,SNabg09,,,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941496689536,26727,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941549450785,26735,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941569308718,29945,SNabg06,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941539450749,29947,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941581280245,30172,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941534950081,30289,SNabg09,orphan_neuron,abdomen_orphan_neuron,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941543955229,32267,SNabg06,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941574588559,32456,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
