display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNge104,720575941459823519,100,DNge104,descending_neuron,descending_neuron,descending,tactile,right,gaba,unknown,
DNge104,720575941509305182,364,DNge104,descending_neuron,descending_neuron,descending,tactile,left,gaba,unknown,
AN09B023,720575941530093752,810,AN09B023,ascending_neuron,ascending_neuron,ascending,tactile,left,acetylcholine,unknown,
AN09B023,720575941571900488,824,AN09B023,ascending_neuron,ascending_neuron,ascending,tactile,right,acetylcholine,unknown,
thorax_tactile,720575941411872660,21990,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941605262326,21995,SNta10,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941493451207,22001,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941524424473,22002,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941615320339,22004,SNta02,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941628698082,22007,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941459671440,22014,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941547440500,22039,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941492527822,22040,SNta10,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941630701984,22041,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941574931451,22047,SNta02,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941541041021,22049,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941499862651,22063,SNta05,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941415159188,22074,SNta02,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941577056501,22075,SNta02,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941493535943,22076,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941537915005,22079,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941571713800,22083,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941495736007,22095,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941614929884,22932,SNta10,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941513081187,22942,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941478649423,22955,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941690721688,22960,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
thorax_tactile,720575941572468382,22980,SNta13,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
head_tactile,720575941688509423,25390,BM_Or,bristle_neuron,orbital_bristle_neuron,sensory,,right,acetylcholine,orbital,
thorax_tactile,720575941535133667,25919,SNta10,bristle_neuron,thorax_bristle_neuron,sensory,,left,acetylcholine,thorax,
leg_tactile,720575941462473171,25966,SNta33,bristle_neuron,front_leg_bristle_neuron,sensory,,right,acetylcholine,front_leg,
thorax_tactile,720575941454200135,26382,SNta02,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
head_tactile,720575941638421365,27835,BM_vOcci_vPoOr,bristle_neuron,postorbital_ventral_bristle_neuron,sensory,,right,acetylcholine,postorbital_ventral,
head_tactile,720575941585099486,28274,BM_Vt_PoOc,bristle_neuron,postocellar_bristle_neuron,sensory,,right,acetylcholine,postocellar,
,720575941476234782,29106,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,octopamine,interommatidial,
head_tactile,720575941440907471,29293,BM_Vt_PoOc,bristle_neuron,postocellar_bristle_neuron,sensory,,right,acetylcholine,postocellar,
,720575941625555402,29348,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
,720575941440076117,29429,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
head_tactile,720575941471380701,29446,BM_Oc,bristle_neuron,ocellar_bristle_neuron,sensory,,left,acetylcholine,ocellar,
,720575941431519073,29637,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
head_tactile,720575941643065938,29733,BM_Vt_PoOc,bristle_neuron,postocellar_bristle_neuron,sensory,,right,acetylcholine,postocellar,
thorax_tactile,720575941354264368,29790,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
head_tactile,720575941525991426,30550,BM_Vt_PoOc,bristle_neuron,postocellar_bristle_neuron,sensory,,left,acetylcholine,postocellar,
thorax_tactile,720575941489091815,32001,SNta09,bristle_neuron,thorax_bristle_neuron,sensory,,right,acetylcholine,thorax,
,720575941507628417,32531,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
head_tactile,720575941670639271,32894,BM_Or,bristle_neuron,orbital_bristle_neuron,sensory,,right,acetylcholine,orbital,
,720575941535049153,33417,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
,720575941527021734,34177,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
leg_tactile,720575941519923628,34228,SNta33,bristle_neuron,front_leg_bristle_neuron,sensory,,right,acetylcholine,front_leg,
leg_tactile,720575941576485263,34358,SNta33,bristle_neuron,front_leg_bristle_neuron,sensory,,right,acetylcholine,front_leg,
,720575941556225206,34491,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
,720575941439113535,34505,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,,right,acetylcholine,interommatidial,
