display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNa06,720575941581684601,123,DNa06,descending_neuron,descending_neuron,descending,head orienting,right,acetylcholine,unknown,
DNa06,720575941496676295,41993,DNa06,descending_neuron,descending_neuron,descending,head orienting,left,acetylcholine,unknown,
DNg89,720575941474677825,1349,DNg89,descending_neuron,descending_neuron,descending,head orienting,right,gaba,unknown,
DNg89,720575941611136476,3266,DNg89,descending_neuron,descending_neuron,descending,head orienting,left,gaba,unknown,
AN19B018,720575941432109582,1141,AN19B018,ascending_neuron,ascending_neuron,ascending,head orienting,left,acetylcholine,unknown,
AN19B018,720575941558335524,1180,AN19B018,ascending_neuron,ascending_neuron,ascending,head orienting,right,acetylcholine,unknown,
AN18B023,720575941617642965,1081,AN18B023,ascending_neuron,ascending_neuron,ascending,head orienting,right,acetylcholine,unknown,
AN18B023,720575941586431812,1226,AN18B023,ascending_neuron,ascending_neuron,ascending,head orienting,left,acetylcholine,unknown,
AN03A002,720575941562287202,676,AN03A002,ascending_neuron,ascending_neuron,ascending,head orienting,left,acetylcholine,unknown,
AN03A002,720575941567089908,798,AN03A002,ascending_neuron,ascending_neuron,ascending,head orienting,right,acetylcholine,unknown,
neck_pitch_motor_neuron,720575941495864905,617,CvN7,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
neck_pitch_motor_neuron,720575941513990988,767,CvN5,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
neck_motor_neuron,720575941565285730,979,CvN9,neck_motor_neuron,,motor,head-eye-antenna,right,acetylcholine,,neck
neck_pitch_motor_neuron,720575941597457564,1102,CvN4,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
neck_pitch_motor_neuron,720575941459454704,1171,CvN7,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,acetylcholine,,neck
neck_roll_motor_neuron,720575941553264211,1252,CvN3,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,acetylcholine,,neck
neck_pitch_motor_neuron,720575941428762249,1255,CvN4,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,right,octopamine,,neck
