display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNp10,720575941593683051,29,DNp10,descending_neuron,descending_neuron,descending,postural control,right,acetylcholine,unknown,
DNp10,720575941440683743,41905,DNp10,descending_neuron,descending_neuron,descending,postural control,left,acetylcholine,unknown,
AN06B002,720575941633589179,177,AN06B002,ascending_neuron,ascending_neuron,ascending,postural control,left,gaba,unknown,
AN06B002,720575941455535923,223,AN06B002,ascending_neuron,ascending_neuron,ascending,postural control,left,gaba,unknown,
AN06B002,720575941454918195,237,AN06B002,ascending_neuron,ascending_neuron,ascending,postural control,right,gaba,unknown,
AN06B002,720575941626534090,259,AN06B002,ascending_neuron,ascending_neuron,ascending,postural control,right,gaba,unknown,
AN06B002,720575941653553169,298,AN06B002,ascending_neuron,ascending_neuron,ascending,postural control,right,gaba,unknown,
AN06B002,720575941440001343,395,AN06B002,ascending_neuron,ascending_neuron,ascending,postural control,left,gaba,unknown,
IN12B018,720575941562143912,84356,IN12B018,single_leg_neuromere,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,gaba,unknown,
IN12B018,720575941612672870,104051,IN12B018,single_leg_neuromere,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,gaba,unknown,
IN12B018,720575941540977357,105523,IN12B018,single_leg_neuromere,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,gaba,unknown,
IN12B018,720575941538275555,107425,IN12B018,single_leg_neuromere,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,gaba,unknown,
IN12B018,720575941482245318,107434,IN12B018,single_leg_neuromere,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,gaba,unknown,
IN12B018,720575941560610575,109090,IN12B018,single_leg_neuromere,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,gaba,unknown,
tibia_flexion_motor_neuron,720575941612256476,3779,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,gaba,,hind_leg
tibia_flexion_motor_neuron,720575941409035691,4010,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,gaba,,hind_leg
tibia_flexion_motor_neuron,720575941667370739,4449,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,middle-hind leg,left,gaba,,front_leg
