display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNa16,720575941660533840,138,DNa16,descending_neuron,descending_neuron,descending,head orienting,left,acetylcholine,unknown,
DNa16,720575941566543714,159,DNa16,descending_neuron,descending_neuron,descending,head orienting,right,acetylcholine,unknown,
DNa05,720575941486700098,516,DNa05,descending_neuron,descending_neuron,descending,flight steering 1,right,acetylcholine,unknown,
DNa05,720575941477942833,42131,DNa05,descending_neuron,descending_neuron,descending,flight steering 1,left,acetylcholine,unknown,
DNae010,720575941563218944,335,DNae010,descending_neuron,descending_neuron,descending,flight steering 1,right,acetylcholine,unknown,
DNae010,720575941476477492,411,DNae010,descending_neuron,descending_neuron,descending,flight steering 1,left,acetylcholine,unknown,
DNpe019,720575941644582501,1225,DNpe019,descending_neuron,descending_neuron,descending,flight steering 1,right,acetylcholine,unknown,
DNpe019,720575941481103523,1503,DNpe019,descending_neuron,descending_neuron,descending,flight steering 1,right,acetylcholine,unknown,
DNbe001,720575941471955264,79,DNbe001,descending_neuron,descending_neuron,descending,flight steering 1,right,acetylcholine,unknown,
DNbe001,720575941550999357,84,DNbe001,descending_neuron,descending_neuron,descending,flight steering 1,left,acetylcholine,unknown,
DNp26,720575941566309174,435,DNp26,descending_neuron,descending_neuron,descending,flight steering 1,left,acetylcholine,unknown,
DNp26,720575941392812548,3251,DNp26,descending_neuron,descending_neuron,descending,flight steering 1,right,acetylcholine,unknown,
AN07B037,720575941543812893,1296,AN07B037,ascending_neuron,ascending_neuron,ascending,flight power,left,acetylcholine,unknown,
AN07B037,720575941644799826,1323,AN07B037,ascending_neuron,ascending_neuron,ascending,flight power,left,acetylcholine,unknown,
AN07B037,720575941612593069,1464,AN07B037,ascending_neuron,ascending_neuron,ascending,flight power,right,acetylcholine,unknown,
AN07B037,720575941464121232,1535,AN07B037,ascending_neuron,ascending_neuron,ascending,flight power,right,acetylcholine,unknown,
AN07B037,720575941580074485,42114,AN07B037,ascending_neuron,ascending_neuron,ascending,flight power,left,acetylcholine,unknown,
AN07B037,720575941496285822,42181,AN07B037,ascending_neuron,ascending_neuron,ascending,flight power,right,acetylcholine,unknown,
wing_steering_motor_neuron,720575941630940642,5336,iv4,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,gaba,unknown,wing
wing_steering_motor_neuron,720575941459347411,5337,iii4,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,gaba,unknown,wing
wing_steering_motor_neuron,720575941521196211,5343,b1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,unknown,wing
wing_steering_motor_neuron,720575941483845954,5433,iv3,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,unknown,wing
wing_steering_motor_neuron,720575941547394081,10406,i2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,unknown,wing
wing_steering_motor_neuron,720575941547315060,11591,i1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,unknown,wing
wing_steering_motor_neuron,720575941624155644,11594,b2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,unknown,wing
wing_steering_motor_neuron,720575941542412805,11595,b3,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,unknown,wing
wing_steering_motor_neuron,720575941456201887,12108,iv1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,glutamate,unknown,wing
wing_steering_motor_neuron,720575941732789547,12116,iv2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,gaba,unknown,wing
wing_steering_motor_neuron,720575941474574132,12919,b3,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,unknown,wing
wing_steering_motor_neuron,720575941580669817,12920,iv1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,unknown,wing
wing_steering_motor_neuron,720575941475745898,12922,i2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,unknown,wing
wing_steering_motor_neuron,720575941468288375,12926,iv3,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,gaba,unknown,wing
wing_steering_motor_neuron,720575941468897856,12927,i1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,unknown,wing
wing_steering_motor_neuron,720575941513173763,21447,iv4,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,gaba,unknown,wing
wing_steering_motor_neuron,720575941629172716,21601,iii1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-energy-power,right,gaba,unknown,wing
wing_steering_motor_neuron,720575941516770670,21602,iii4,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,gaba,unknown,wing
wing_steering_motor_neuron,720575941458961604,21603,iii3,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,gaba,unknown,wing
wing_steering_motor_neuron,720575941489673420,21907,iii1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-energy-power,left,gaba,unknown,wing
wing_steering_motor_neuron,720575941565378919,21917,iii3,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,left,gaba,unknown,wing
wing_steering_motor_neuron,720575941479658831,23779,iv2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,unknown,wing
wing_steering_motor_neuron,720575941549822781,24672,b1,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,unknown,wing
wing_steering_motor_neuron,720575941655597785,31536,b2,wing_motor_neuron,wing_steering_motor_neuron,motor,flight-steering,right,glutamate,unknown,wing
PEN1,720575941469447435,5908,PEN_a(PEN1),central_complex_intrinsic_neuron,PEN,central_brain_intrinsic,,left,acetylcholine,unknown,
PEN1,720575941414121500,7632,PEN_a(PEN1),central_complex_intrinsic_neuron,PEN,central_brain_intrinsic,,left,acetylcholine,unknown,
PEN1,720575941662595640,8054,PEN_a(PEN1),central_complex_intrinsic_neuron,PEN,central_brain_intrinsic,,left,acetylcholine,unknown,
PEN1,720575941428525560,8635,PEN_a(PEN1),central_complex_intrinsic_neuron,PEN,central_brain_intrinsic,,left,acetylcholine,unknown,
