display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNp42,720575941394119830,28585,DNp42,descending_neuron,descending_neuron,descending,threat response,right,acetylcholine,unknown,
DNp42,720575941536353880,41914,DNp42,descending_neuron,descending_neuron,descending,threat response,left,acetylcholine,unknown,
PPL101,720575941416009108,5620,PPL101,mushroom_body_dopaminergic_neuron,PPL1_dopaminergic_neuron,central_brain_intrinsic,,left,"dopamine,nitric_oxide",unknown,
PPL101,720575941689127692,14140,PPL101,mushroom_body_dopaminergic_neuron,PPL1_dopaminergic_neuron,central_brain_intrinsic,,right,"dopamine,nitric_oxide",unknown,
PPL102,720575941477857076,4398,PPL102,mushroom_body_dopaminergic_neuron,PPL1_dopaminergic_neuron,central_brain_intrinsic,,right,dopamine,unknown,
PPL102,720575941450471246,85718,PPL102,mushroom_body_dopaminergic_neuron,PPL1_dopaminergic_neuron,central_brain_intrinsic,,left,dopamine,unknown,
MBON20,720575941439665983,4939,MBON20,mushroom_body_output_neuron,mushroom_body_output_neuron,central_brain_intrinsic,,right,gaba,unknown,
MBON20,720575941490707253,10034,MBON20,mushroom_body_output_neuron,mushroom_body_output_neuron,central_brain_intrinsic,,left,gaba,unknown,
CB0135,720575941563648936,10706,CB0135,,,central_brain_intrinsic,,left,dopamine,unknown,
CB0135,720575941462398148,13947,CB0135,,,central_brain_intrinsic,,right,dopamine,unknown,
AVLP445,720575941645577928,11457,AVLP445,,,central_brain_intrinsic,,left,dopamine,unknown,
AVLP445,720575941628052281,18523,AVLP445,,,central_brain_intrinsic,,right,dopamine,unknown,
IN06B032,720575941570781000,104569,IN06B032,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,gaba,unknown,
IN06B032,720575941459090079,109361,IN06B032,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,gaba,unknown,
IN07B010,720575941543607740,105625,IN07B010,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,acetylcholine,unknown,
IN07B010,720575941471130231,108456,IN07B010,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_bilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,acetylcholine,unknown,
leg_motor_neuron,720575941642303944,5291,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,,front_leg
leg_motor_neuron,720575941611361811,5311,tarsus_levator_D,leg_motor_neuron,front_leg_motor_neuron,motor,middle-hind leg,left,gaba,,front_leg
leg_motor_neuron,720575941474769204,12110,tergotrochanter_extensor_PDMN,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,gaba,,middle_leg
leg_motor_neuron,720575941478281440,12888,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
leg_motor_neuron,720575941560573608,12891,tarsus_depressor_retro_tarsus_depressor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
leg_motor_neuron,720575941561433746,12910,tarsus_levator_D,leg_motor_neuron,front_leg_motor_neuron,motor,middle-hind leg,right,gaba,,front_leg
leg_motor_neuron,720575941549915252,13091,tergotrochanter_extensor,leg_motor_neuron,middle_leg_motor_neuron,motor,front leg,right,gaba,,middle_leg
leg_motor_neuron,720575941436891103,21593,tarsus_levator_D,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,gaba,,middle_leg
leg_motor_neuron,720575941480138976,22867,sternal_anterior_rotator_MesoLN_ventral_2,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,gaba,,middle_leg
leg_motor_neuron,720575941523368779,23775,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
leg_motor_neuron,720575941409042603,25885,tarsus_depressor_dipalpha_ventralU,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,gaba,,middle_leg
leg_motor_neuron,720575941558861839,30355,sternal_anterior_rotator_MesoLN_ventral_2,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,acetylcholine,,middle_leg
leg_motor_neuron,720575941573346120,38019,tergotrochanter_extensor,leg_motor_neuron,middle_leg_motor_neuron,motor,front leg,right,gaba,,middle_leg
leg_motor_neuron,720575941459422623,38182,tibia_flexor_Fast,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,gaba,,middle_leg
leg_motor_neuron,720575941496173947,3695,long_tendon_muscle_ltm_B,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,gaba,,hind_leg
leg_motor_neuron,720575941612256476,3779,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,gaba,,hind_leg
