display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNpe013,720575941733215019,DNpe013,descending_neuron,descending_neuron,descending,head orienting,right,acetylcholine,unknown,NA
DNpe013,720575941507751447,DNpe013,descending_neuron,descending_neuron,descending,head orienting,left,acetylcholine,unknown,NA
AN19B025,720575941535925018,AN19B025,ascending_neuron,ascending_neuron,ascending,head orienting,right,acetylcholine,unknown,NA
AN19B025,720575941461958340,AN19B025,ascending_neuron,ascending_neuron,ascending,head orienting,left,acetylcholine,unknown,NA
CB0810,720575941671982759,CB0810,antenna_motor_neuron,antenna_motor_neuron,motor,front leg,right,acetylcholine,unknown,antenna
eye_motor_neuron,720575941611096028,CB0901,eye_motor_neuron,eye_motor_neuron,motor,head-eye-antenna,left,octopamine,unknown,eye
eye_motor_neuron,720575941525655833,CB0901,eye_motor_neuron,eye_motor_neuron,motor,head-eye-antenna,right,octopamine,unknown,eye
neck_yaw_motor_neuron,720575941534975425,CvNA1,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941526853030,CvNA1,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941524522340,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,acetylcholine,unknown,neck
neck_yaw_motor_neuron,720575941548493857,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941544483252,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,gaba,unknown,neck
neck_yaw_motor_neuron,720575941573751305,CvNA2,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,octopamine,unknown,neck
neck_yaw_motor_neuron,720575941455715053,VCvN3,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,glutamate,unknown,neck
neck_yaw_motor_neuron,720575941514963811,VCvN3,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,acetylcholine,unknown,neck
neck_yaw_motor_neuron,720575941508147234,"VCvN1,VCvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,acetylcholine,unknown,neck
neck_yaw_motor_neuron,720575941492017790,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,acetylcholine,unknown,neck
neck_yaw_motor_neuron,720575941573355592,CvNA2,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941564288263,"VCvN1,VCvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941577100277,"VCvN1,VCvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,gaba,unknown,neck
neck_yaw_motor_neuron,720575941526075673,"VCvN1,VCvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
eye_motor_neuron,720575941569716338,CB0804,eye_motor_neuron,eye_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,eye
eye_motor_neuron,720575941557406756,CB0804,eye_motor_neuron,eye_motor_neuron,motor,head-eye-antenna,right,glutamate,unknown,eye
neck_pitch_motor_neuron,720575941495864905,CvN7,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_pitch_motor_neuron,720575941513990988,CvN5,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_pitch_motor_neuron,720575941597457564,CvN4,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_pitch_motor_neuron,720575941459454704,CvN7,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,acetylcholine,unknown,neck
neck_pitch_motor_neuron,720575941428762249,CvN4,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,right,octopamine,unknown,neck
neck_pitch_motor_neuron,720575941609437613,CvN6,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,right,gaba,unknown,neck
neck_pitch_motor_neuron,720575941508147746,CvN5,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,right,gaba,unknown,neck
neck_pitch_motor_neuron,720575941539792220,CvN6,neck_motor_neuron,neck_pitch_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_roll_motor_neuron,720575941492452222,DProN4,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,glutamate,unknown,neck
neck_roll_motor_neuron,720575941489125351,DProN2,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,glutamate,unknown,neck
neck_roll_motor_neuron,720575941512880643,DProN2,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,glutamate,unknown,neck
neck_roll_motor_neuron,720575941575975350,DProN3a,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,unknown,neck
neck_roll_motor_neuron,720575941489332169,DProN4,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,glutamate,unknown,neck
neck_roll_motor_neuron,720575941544264041,DProN3b,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,gaba,unknown,neck
neck_roll_motor_neuron,720575941553264211,CvN3,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,acetylcholine,unknown,neck
neck_roll_motor_neuron,720575941439741119,DProN1,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,right,glutamate,unknown,neck
