display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNp65,720575941526723940,DNp65,descending_neuron,descending_neuron,descending,visceral control,left,gaba,unknown,NA
DNp65,720575941439633983,DNp65,descending_neuron,descending_neuron,descending,visceral control,right,gaba,unknown,NA
AN27X017,720575941435998094,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,left,serotonin,unknown,NA
AN27X017,720575941589747012,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,left,glutamate,unknown,NA
AN27X017,720575941517447571,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,right,glutamate,unknown,NA
AN27X017,720575941548867252,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,left,acetylcholine,unknown,NA
AN27X017,720575941630349094,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,left,glutamate,unknown,NA
AN27X017,720575941534463107,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,left,serotonin,unknown,NA
AN27X017,720575941481470883,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,right,glutamate,unknown,NA
AN27X017,720575941439151378,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,right,serotonin,unknown,NA
AN27X017,720575941589746756,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,right,serotonin,unknown,NA
AN27X017,720575941605509054,AN27X017,ascending_neuron,ascending_neuron,ascending,visceral control,right,acetylcholine,unknown,NA
MNad21,720575941478745921,MNad21,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,left,"Dh44,Lk",unknown,abdomen
MNad21,720575941574222152,MNad21,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,left,"Dh44,Lk",unknown,abdomen
MNad21,720575941573474230,MNad21,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"Dh44,Lk",unknown,abdomen
MNad21,720575941595761445,MNad21,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"Dh44,Lk",unknown,abdomen
m_NSC_DILP,720575941552141191,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
