display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNg27,720575941662506040,DNg27,descending_neuron,descending_neuron,descending,visceral control,right,"acetylcholine,glutamate",unknown,NA
DNg27,720575941598950556,DNg27,descending_neuron,descending_neuron,descending,visceral control,right,"acetylcholine,glutamate",unknown,NA
ANXXX139,720575941581725305,ANXXX139,ascending_neuron,ascending_neuron,ascending,visceral control,left,gaba,unknown,NA
ANXXX139,720575941564715264,ANXXX139,ascending_neuron,ascending_neuron,ascending,visceral control,right,gaba,unknown,NA
wing_power_motor_neuron,720575941487139138,DVM3a-b,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,right,gaba,unknown,wing
wing_power_motor_neuron,720575941590220684,DVM3a-b,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,octopamine,unknown,wing
wing_power_motor_neuron,720575941463144336,DLM1-4,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,right,gaba,unknown,wing
wing_power_motor_neuron,720575941596050112,DLM5,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,gaba,unknown,wing
wing_power_motor_neuron,720575941542328837,DVM2a-b,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,acetylcholine,unknown,wing
wing_power_motor_neuron,720575941645403000,DLM1-4,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,gaba,unknown,wing
wing_power_motor_neuron,720575941640465439,DLM1-4,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,gaba,unknown,wing
wing_power_motor_neuron,720575941519783640,DLM1-4,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,gaba,unknown,wing
wing_power_motor_neuron,720575941566847847,DVM1a-c,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,acetylcholine,unknown,wing
wing_power_motor_neuron,720575941560383347,DVM1a-c,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,gaba,unknown,wing
wing_power_motor_neuron,720575941573368719,DVM2a-b,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,left,octopamine,unknown,wing
wing_power_motor_neuron,720575941533190337,DLM1-4,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,right,gaba,unknown,wing
wing_power_motor_neuron,720575941583644382,DLM1-4,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,right,gaba,unknown,wing
wing_power_motor_neuron,720575941499558369,DVM3a-b,wing_motor_neuron,wing_power_motor_neuron,motor,flight-energy-power,right,octopamine,unknown,wing
