from,to,count,pre_top_nt
ANXXX981,pC1,72,dopamine
ANXXX983,oviDNa_a,4,dopamine
ANXXX983,pC1,529,dopamine
DNp37,pC1,73,acetylcholine
SPSN,ANXXX981,4,serotonin
SPSN,ANXXX983,105,serotonin
SPSN,reproductive_motor,11,serotonin
oviDNa_a,ANXXX986,379,acetylcholine
pC1,ANXXX983,13,acetylcholine
pC1,DNp37,254,acetylcholine
pC1,oviDNa_a,16,acetylcholine
reproductive_motor,reproductive_tract_sensory,3,gaba
reproductive_tract_sensory,ANXXX981,4,acetylcholine
reproductive_tract_sensory,ANXXX983,6,acetylcholine
reproductive_tract_sensory,SPSN,5,acetylcholine
reproductive_tract_sensory,reproductive_motor,270,acetylcholine
reproductive_tract_sensory,uterus_sensory,96,acetylcholine
uterus_sensory,reproductive_motor,9,acetylcholine
uterus_sensory,reproductive_tract_sensory,54,acetylcholine
