display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNp37,720575941586653062,DNp37,descending_neuron,descending_neuron,descending,probing,right,acetylcholine,unknown,NA
DNp37,720575941492968423,DNp37,descending_neuron,descending_neuron,descending,probing,left,acetylcholine,unknown,NA
oviDNa_a,720575941521454003,oviDNa_a,descending_neuron,descending_neuron,descending,reproduction,left,acetylcholine,unknown,NA
oviDNa_a,720575941491649255,oviDNa_a,descending_neuron,descending_neuron,descending,reproduction,right,acetylcholine,unknown,NA
ANXXX983,720575941526853378,ANXXX983,ascending_neuron,ascending_neuron,ascending,reproduction,right,dopamine,unknown,NA
ANXXX983,720575941514023523,ANXXX983,ascending_neuron,ascending_neuron,ascending,reproduction,left,dopamine,unknown,NA
ANXXX981,720575941477252913,ANXXX981,ascending_neuron,ascending_neuron,ascending,reproduction,left,serotonin,unknown,NA
ANXXX981,720575941471829568,ANXXX981,ascending_neuron,ascending_neuron,ascending,reproduction,left,dopamine,unknown,NA
ANXXX986,720575941574706953,ANXXX986,ascending_neuron,ascending_neuron,ascending,probing,left,acetylcholine,unknown,NA
ANXXX986,720575941651981077,ANXXX986,ascending_neuron,ascending_neuron,ascending,probing,right,acetylcholine,unknown,NA
ANXXX986,720575941436012832,ANXXX986,ascending_neuron,ascending_neuron,ascending,probing,right,acetylcholine,unknown,NA
ANXXX986,720575941574813192,ANXXX986,ascending_neuron,ascending_neuron,ascending,probing,left,acetylcholine,unknown,NA
SPSN,720575941447758442,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,NA,right,serotonin,uterus,NA
SPSN,720575941447760490,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,NA,right,serotonin,uterus,NA
uterus_sensory,720575941500366153,PU,reproductive_tract_sensory_neuron,posterior_uterine_sensory_neuron,sensory,NA,right,acetylcholine,uterus,NA
uterus_sensory,720575941633052064,PU,reproductive_tract_sensory_neuron,posterior_uterine_sensory_neuron,sensory,NA,right,acetylcholine,uterus,NA
uterus_sensory,720575941633588411,PU,reproductive_tract_sensory_neuron,posterior_uterine_sensory_neuron,sensory,NA,right,acetylcholine,uterus,NA
uterus_sensory,720575941631747232,PU,reproductive_tract_sensory_neuron,posterior_uterine_sensory_neuron,sensory,NA,right,acetylcholine,uterus,NA
SPSN,720575941430103433,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,NA,left,serotonin,uterus,NA
SPSN,720575941670010023,SPSN,reproductive_tract_sensory_neuron,sex_peptide_sensory_neuron,sensory,NA,left,serotonin,uterus,NA
reproductive_tract_sensory,720575941456275050,abdominal_ppk_neuron,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,NA,right,acetylcholine,reproductive_tract,NA
reproductive_tract_sensory,720575941437456928,abdominal_ppk_neuron,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,NA,right,acetylcholine,reproductive_tract,NA
reproductive_tract_sensory,720575941583453735,abdominal_ppk_neuron,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,NA,right,acetylcholine,reproductive_tract,NA
reproductive_tract_sensory,720575941558317860,abdominal_ppk_neuron,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,NA,right,acetylcholine,reproductive_tract,NA
reproductive_tract_sensory,720575941410047791,abdominal_ppk_neuron,reproductive_tract_sensory_neuron,abdominal_ppk_neuron,sensory,NA,right,acetylcholine,reproductive_tract,NA
