from,to,count,pre_top_nt
AN09B023,DNge104,59,acetylcholine
AN09B023,head_tactile,24,acetylcholine
AN09B023,leg_tactile,5,acetylcholine
AN09B023,terminalia_tactile,7,acetylcholine
AN09B023,thorax_tactile,35,acetylcholine
AN09B023,wing_tactile,45,acetylcholine
DNge104,AN09B023,4,gaba
DNge104,head_tactile,947,gaba
DNge104,leg_tactile,5072,gaba
DNge104,thorax_tactile,330,gaba
DNge104,wing_tactile,699,gaba
head_tactile,AN09B023,886,acetylcholine
head_tactile,DNge104,411,acetylcholine
leg_tactile,AN09B023,100,acetylcholine
leg_tactile,DNge104,1392,acetylcholine
leg_tactile,thorax_tactile,215,acetylcholine
leg_tactile,wing_tactile,32,acetylcholine
terminalia_tactile,AN09B023,29,acetylcholine
thorax_tactile,AN09B023,916,acetylcholine
thorax_tactile,DNge104,82,acetylcholine
thorax_tactile,leg_tactile,240,acetylcholine
thorax_tactile,wing_tactile,191,acetylcholine
wing_tactile,AN09B023,662,acetylcholine
wing_tactile,DNge104,193,acetylcholine
wing_tactile,leg_tactile,38,acetylcholine
wing_tactile,thorax_tactile,217,acetylcholine
