display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNge104,720575941459823519,DNge104,descending_neuron,descending_neuron,descending,head-leg-tactile,right,gaba,unknown,NA
DNge104,720575941509305182,DNge104,descending_neuron,descending_neuron,descending,head-leg-tactile,left,gaba,unknown,NA
AN09B023,720575941530093752,AN09B023,ascending_neuron,ascending_neuron,ascending,head-leg-tactile,left,acetylcholine,unknown,NA
AN09B023,720575941571900488,AN09B023,ascending_neuron,ascending_neuron,ascending,head-leg-tactile,right,acetylcholine,unknown,NA
AN09B023,720575941463642256,AN09B023,ascending_neuron,ascending_neuron,ascending,wing-leg-tactile,right,acetylcholine,unknown,NA
AN09B023,720575941539118834,AN09B023,ascending_neuron,ascending_neuron,ascending,wing-leg-tactile,left,acetylcholine,unknown,NA
AN09B023,720575941553545278,AN09B023,ascending_neuron,ascending_neuron,ascending,head-leg-tactile,left,acetylcholine,unknown,NA
AN09B023,720575941496095431,AN09B023,ascending_neuron,ascending_neuron,ascending,wing-leg-tactile,left,acetylcholine,unknown,NA
AN09B023,720575941516762515,AN09B023,ascending_neuron,ascending_neuron,ascending,wing-leg-tactile,right,acetylcholine,unknown,NA
AN09B023,720575941631437804,AN09B023,ascending_neuron,ascending_neuron,ascending,head-leg-tactile,right,acetylcholine,unknown,NA
eye_tactile,720575941573620744,DNx02,bristle_neuron,eye_bristle_neuron,sensory_descending,NA,left,acetylcholine,eye,NA
eye_tactile,720575941521111223,DNx02,bristle_neuron,eye_bristle_neuron,sensory_descending,NA,right,acetylcholine,eye,NA
eye_tactile,720575941561659181,DNx02,bristle_neuron,eye_bristle_neuron,sensory_descending,NA,right,acetylcholine,eye,NA
eye_tactile,720575941568835834,DNx02,bristle_neuron,eye_bristle_neuron,sensory_descending,NA,left,acetylcholine,eye,NA
head_tactile,720575941569320186,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,NA,NA,acetylcholine,head,NA
head_tactile,720575941438364204,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,NA,NA,NA,head,NA
head_tactile,720575941511233234,BM_InOm,bristle_neuron,interommatidial_bristle_neuron,sensory,NA,NA,gaba,head,NA
head_tactile,720575941409584811,BM_vOcci_vPoOr,bristle_neuron,postorbital_ventral_bristle_neuron,sensory,NA,right,acetylcholine,head,NA
head_tactile,720575941580649809,BM_Vib,bristle_neuron,vibrissa_bristle_neuron,sensory,NA,right,acetylcholine,head,NA
