from,to,count,pre_top_nt
AN09B011,DNg34,13,acetylcholine
AN09B011,DNpe003,6,acetylcholine
AN09B011,mALC5,352,acetylcholine
DNg24,front_leg_proprioceptor,12,gaba
DNg24,hind_leg_proprioceptor,9,gaba
DNg24,middle_leg_proprioceptor,3,gaba
DNg34,AN09B011,32,"glutamate,octopamine"
DNg34,DNpe003,3,"glutamate,octopamine"
DNge129,DNg34,8,gaba
DNge129,mALC5,63,gaba
DNp27,LPLC1,19,acetylcholine
DNp27,LPLC2,8,acetylcholine
DNpe003,mALC5,56,acetylcholine
DNpe006,DNge129,26,acetylcholine
DNpe006,mALC5,33,acetylcholine
LPLC1,LPLC2,113,acetylcholine
LPLC1,Nod3,7,acetylcholine
LPLC1,mALC5,3,acetylcholine
LPLC2,DNp27,5,acetylcholine
LPLC2,LPLC1,153,acetylcholine
LPLC2,Nod3,4,acetylcholine
front_leg_proprioceptor,AN09B011,52,acetylcholine
front_leg_proprioceptor,DNg34,6,acetylcholine
front_leg_proprioceptor,hind_leg_proprioceptor,44,acetylcholine
front_leg_proprioceptor,middle_leg_proprioceptor,40,acetylcholine
hind_leg_proprioceptor,AN09B011,3,acetylcholine
hind_leg_proprioceptor,DNg34,5,acetylcholine
hind_leg_proprioceptor,front_leg_proprioceptor,57,acetylcholine
hind_leg_proprioceptor,middle_leg_proprioceptor,87,acetylcholine
mALC5,LPLC1,355,gaba
mALC5,LPLC2,133,gaba
mALC5,Nod3,46,gaba
middle_leg_proprioceptor,AN09B011,33,acetylcholine
middle_leg_proprioceptor,DNg34,4,acetylcholine
middle_leg_proprioceptor,front_leg_proprioceptor,34,acetylcholine
middle_leg_proprioceptor,hind_leg_proprioceptor,86,acetylcholine
