display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
AN09B011,720575941441900479,AN09B011,ascending_neuron,ascending_neuron,ascending,takeoff-landing,right,acetylcholine,unknown,NA
AN09B011,720575941576343222,AN09B011,ascending_neuron,ascending_neuron,ascending,takeoff-landing,left,acetylcholine,unknown,NA
mALC5,720575941561407759,mALC5,medial_antennal_lobula,medial_antennal_lobula,visual_centrifugal,NA,left,gaba,unknown,NA
mALC5,720575941590812228,mALC5,medial_antennal_lobula,medial_antennal_lobula,visual_centrifugal,NA,right,gaba,unknown,NA
Nod3,720575941412748203,Nod3,lobula_plate_tangential_cell,lobula_plate_tangential_cell,visual_projection,NA,left,acetylcholine,unknown,NA
Nod3,720575941543204125,Nod3,lobula_plate_tangential_cell,lobula_plate_tangential_cell,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941632190434,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,left,acetylcholine,unknown,NA
LPLC1,720575941406912430,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941459358931,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941624270956,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941581069137,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941732098859,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941537282753,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,left,acetylcholine,unknown,NA
LPLC1,720575941541296333,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,left,acetylcholine,unknown,NA
LPLC1,720575941590171716,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,left,acetylcholine,unknown,NA
LPLC1,720575941443050154,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,left,acetylcholine,unknown,NA
LPLC1,720575941508937762,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,left,acetylcholine,unknown,NA
LPLC1,720575941540343445,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,left,acetylcholine,unknown,NA
LPLC1,720575941560256371,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941606158526,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941627813158,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
LPLC1,720575941559529508,LPLC1,lobula_plate_lobula_columnar,lobula_plate_lobula_columnar,visual_projection,NA,right,acetylcholine,unknown,NA
