from,to,count,pre_top_nt
AN03A002,AN18B023,29,acetylcholine
AN03A002,neck_pitch_motor_neuron,8,acetylcholine
AN03A002,neck_roll_motor_neuron,1278,acetylcholine
AN03A002,neck_yaw_motor_neuron,20,acetylcholine
AN18B023,AN03A002,40,acetylcholine
AN18B023,DNa06,10,acetylcholine
AN18B023,DNg89,13,acetylcholine
AN18B023,eye_motor_neuron,96,acetylcholine
AN18B023,neck_roll_motor_neuron,297,acetylcholine
AN18B023,neck_roll_pitch_motor_neuron,8,acetylcholine
AN18B023,neck_yaw_motor_neuron,130,acetylcholine
AN19B018,DNg89,5,acetylcholine
AN19B018,neck_pitch_motor_neuron,300,acetylcholine
AN19B018,neck_roll_motor_neuron,57,acetylcholine
AN19B018,neck_roll_pitch_motor_neuron,9,acetylcholine
AN19B018,neck_yaw_motor_neuron,14,acetylcholine
DNa06,AN03A002,150,acetylcholine
DNa06,AN18B023,222,acetylcholine
DNa06,DNg89,70,acetylcholine
DNa06,eye_motor_neuron,54,acetylcholine
DNa06,neck_pitch_motor_neuron,59,acetylcholine
DNa06,neck_roll_motor_neuron,233,acetylcholine
DNa06,neck_yaw_motor_neuron,939,acetylcholine
DNg89,AN19B018,62,gaba
DNg89,DNa06,21,gaba
DNg89,neck_pitch_motor_neuron,473,gaba
DNg89,neck_roll_motor_neuron,31,gaba
DNg89,neck_yaw_motor_neuron,19,gaba
eye_motor_neuron,DNa06,7,glutamate
neck_pitch_motor_neuron,neck_roll_motor_neuron,5,gaba
neck_pitch_motor_neuron,neck_yaw_motor_neuron,7,gaba
neck_roll_motor_neuron,neck_pitch_motor_neuron,3,acetylcholine
neck_roll_motor_neuron,neck_roll_pitch_motor_neuron,11,glutamate
neck_roll_motor_neuron,neck_yaw_motor_neuron,11,glutamate
neck_yaw_motor_neuron,neck_pitch_motor_neuron,5,gaba
neck_yaw_motor_neuron,neck_roll_motor_neuron,11,gaba
