from,to,count,pre_top_nt
AN06B002,DNp10,240,gaba
AN06B002,IN12B018,349,gaba
AN06B002,leg_extensor_motor,13,gaba
AN06B002,leg_flexor_motor,15,gaba
DNp10,IN12B018,423,acetylcholine
DNp10,leg_extensor_motor,348,acetylcholine
DNp10,leg_flexor_motor,56,acetylcholine
IN12B018,DNp10,18,gaba
IN12B018,leg_extensor_motor,140,gaba
IN12B018,leg_flexor_motor,1365,gaba
front_leg_bristle_neuron,AN06B002,240,acetylcholine
front_leg_bristle_neuron,front_leg_club_chordotonal_organ_neuron,3,acetylcholine
front_leg_bristle_neuron,hind_leg_bristle_neuron,53,acetylcholine
front_leg_bristle_neuron,leg_extensor_motor,85,acetylcholine
front_leg_bristle_neuron,leg_flexor_motor,9,acetylcholine
front_leg_club_chordotonal_organ_neuron,front_leg_bristle_neuron,3,acetylcholine
front_leg_club_chordotonal_organ_neuron,hind_leg_club_chordotonal_organ_neuron,10,acetylcholine
front_leg_club_chordotonal_organ_neuron,leg_extensor_motor,25,acetylcholine
front_leg_club_chordotonal_organ_neuron,leg_flexor_motor,9,acetylcholine
hind_leg_bristle_neuron,AN06B002,97,acetylcholine
hind_leg_bristle_neuron,front_leg_bristle_neuron,86,acetylcholine
hind_leg_bristle_neuron,hind_leg_club_chordotonal_organ_neuron,8,acetylcholine
hind_leg_bristle_neuron,leg_extensor_motor,472,acetylcholine
hind_leg_bristle_neuron,leg_flexor_motor,349,acetylcholine
hind_leg_club_chordotonal_organ_neuron,front_leg_club_chordotonal_organ_neuron,12,acetylcholine
hind_leg_club_chordotonal_organ_neuron,hind_leg_bristle_neuron,3,acetylcholine
hind_leg_club_chordotonal_organ_neuron,leg_extensor_motor,34,acetylcholine
hind_leg_club_chordotonal_organ_neuron,leg_flexor_motor,69,acetylcholine
leg_extensor_motor,IN12B018,4,gaba
leg_extensor_motor,leg_flexor_motor,160,gaba
leg_flexor_motor,IN12B018,4,gaba
leg_flexor_motor,leg_extensor_motor,208,glutamate
