from,to,count,pre_top_nt
DNa05,AN07B037,43,acetylcholine
DNa05,wing_steering_motor_neuron,159,acetylcholine
DNa16,AN07B037,175,acetylcholine
DNa16,wing_steering_motor_neuron,155,acetylcholine
DNae010,DNbe001,4,acetylcholine
DNae010,wing_steering_motor_neuron,107,acetylcholine
DNbe001,DNae010,10,acetylcholine
DNbe001,DNp26,6,acetylcholine
DNbe001,wing_steering_motor_neuron,398,acetylcholine
DNp26,DNa05,34,acetylcholine
DNp26,DNa16,7,acetylcholine
DNp26,DNae010,76,acetylcholine
DNp26,DNbe001,6,acetylcholine
DNp26,wing_steering_motor_neuron,120,acetylcholine
DNp51,DNa05,4,acetylcholine
DNp51,DNae010,10,acetylcholine
DNp51,wing_steering_motor_neuron,38,acetylcholine
EPG,FC1,9,acetylcholine
EPG,GLNO,434,acetylcholine
EPG,PEN1,2720,acetylcholine
EPG,PFL1,957,acetylcholine
FC1,EPG,4,acetylcholine
FC1,PFL1,1430,acetylcholine
GLNO,PEN1,2884,glutamate
LAL047,DNp26,4,gaba
LAL047,LAL156a,432,gaba
LAL047,PFL1,10,gaba
LAL156a,DNae010,135,acetylcholine
LAL156a,DNbe001,133,acetylcholine
LAL156a,DNp26,46,acetylcholine
LAL156a,DNp51,56,acetylcholine
LAL156a,LAL047,6,acetylcholine
PEN1,EPG,4206,acetylcholine
PEN1,GLNO,512,acetylcholine
PFL1,EPG,3,acetylcholine
PFL1,FC1,44,acetylcholine
PFL1,LAL047,2530,acetylcholine
PFL1,LAL156a,13,acetylcholine
PFL1,PEN1,3,acetylcholine
haltere_mechanosensor,AN07B037,235,acetylcholine
haltere_mechanosensor,wing_steering_motor_neuron,1992,acetylcholine
wing_steering_motor_neuron,haltere_mechanosensor,15,glutamate
