from,to,count,pre_top_nt
AVLP445,DNp42,89,dopamine
CB0135,PPL101,126,dopamine
CB0135,PPL102,59,dopamine
DNp42,IN06B032,137,acetylcholine
DNp42,IN07B010,64,acetylcholine
IN06B032,front_leg_motor_neuron,106,gaba
IN06B032,middle_leg_motor_neuron,99,gaba
IN07B010,front_leg_motor_neuron,124,acetylcholine
IN07B010,hind_leg_motor_neuron,229,acetylcholine
IN07B010,middle_leg_motor_neuron,332,acetylcholine
LB1a,AVLP445,94,acetylcholine
MBON20,AVLP445,14,gaba
MBON20,DNp42,129,gaba
MBON20,PPL101,12,gaba
PPL101,PPL102,18,"dopamine,nitric_oxide"
PPL102,MBON20,7,dopamine
PPL102,PPL101,5,dopamine
SAxx02,CB0135,31,serotonin
SAxx02,leg_nociceptor,45,serotonin
leg_nociceptor,SAxx02,23,serotonin
