display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNp42,720575941394119830,DNp42,descending_neuron,descending_neuron,descending,threat response,right,acetylcholine,unknown,NA
DNp42,720575941536353880,DNp42,descending_neuron,descending_neuron,descending,threat response,left,acetylcholine,unknown,NA
front_leg_motor_neuron,720575941448798133,femur_reductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941561204626,femur_reductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941511197516,long_tendon_muscle_B_femur,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941692129243,sternal_anterior_rotator_miller_31,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941524748877,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941656372304,trochanter_flexor_VProN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941518204888,tergopleural_promotor_pleural_promotor_miller_28_30,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941499964555,sternal_adductor_ProAN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,octopamine,unknown,front_leg
front_leg_motor_neuron,720575941461333648,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941566924135,femur_reductor_tiny,leg_motor_neuron,front_leg_motor_neuron,motor,middle-hind leg,right,NA,unknown,front_leg
front_leg_motor_neuron,720575941667370739,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941511883985,trochanter_flexor_posterior_soma,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,NA,unknown,front_leg
front_leg_motor_neuron,720575941532427754,trochanter_flexor_posterior_soma,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941610029642,accessory_tibia_flexor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,dopamine,unknown,front_leg
front_leg_motor_neuron,720575941515355795,accessory_tibia_flexor_A_out_of_bundle,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941435830546,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941481179066,tibia_flexor_Fast,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941627155238,accessory_tibia_flexor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941720479034,trochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941668683687,tergopleural_promotor_pleural_promotor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941406488494,accessory_tibia_flexor_A,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941506261538,tergopleural_promotor_pleural_promotor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941497568199,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941489123047,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941408338862,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941639506207,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941621725948,tarsus_depressor_dipalpha_ventralU,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941582911865,tergopleural_promotor_pleural_promotor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941469052535,femur_reductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941501929010,long_tendon_muscle_A,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941527847608,sternal_adductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,octopamine,unknown,front_leg
front_leg_motor_neuron,720575941642303944,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941551356570,trochanter_flexor_VProN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941536923624,trochanter_flexor_ProAN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941455787245,sternal_anterior_rotator,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941548546696,pleural_remotor_and_abductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941570833736,accessory_tibia_flexor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941563973174,femur_reductor_tiny,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,NA,unknown,front_leg
front_leg_motor_neuron,720575941498960546,tergopleural_promotor_pleural_promotor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,acetylcholine,unknown,front_leg
front_leg_motor_neuron,720575941505660801,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941507031612,sternotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941583323358,accessory_tibia_flexor_C,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941531923147,sternal_anterior_rotator,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941516874094,sternotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941494164864,pleural_remotor_and_abductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,acetylcholine,unknown,front_leg
front_leg_motor_neuron,720575941508205185,femur_reductor_tiny,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,NA,unknown,front_leg
front_leg_motor_neuron,720575941479472258,accessory_tibia_flexor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941720492346,tarsus_depressor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941464925462,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941411838612,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,octopamine,unknown,front_leg
front_leg_motor_neuron,720575941402088304,sternal_posterior_rotator,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941611361811,tarsus_levator_D,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941464194902,accessory_tibia_flexor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941542454876,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941460703245,femur_reductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941518851694,trochanter_flexor_ProAN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941527458562,trochanter_flexor_ProAN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941590872171,accessory_tibia_flexor_A,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941478577231,tibia_extensor_SETi,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941595856540,accessory_tibia_flexor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941486064962,femur_reductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,acetylcholine,unknown,front_leg
front_leg_motor_neuron,720575941561977088,tarsus_depressor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,octopamine,unknown,front_leg
front_leg_motor_neuron,720575941549009663,sternal_posterior_rotator,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941639281525,tibia_extensor_FETi,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941483515389,trochanter_extensor_LinJ,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,left,gaba,unknown,front_leg
front_leg_motor_neuron,720575941568546418,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,acetylcholine,unknown,front_leg
front_leg_motor_neuron,720575941557543918,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941551010695,tibia_flexor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941593715569,pleural_remotor_and_abductor_miller_29,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941722047290,tarsus_depressor_dipalpha_ventralU,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941488203209,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941649909489,femur_reductor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941538128626,long_tendon_muscle_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,octopamine,unknown,front_leg
front_leg_motor_neuron,720575941559281679,accessory_tibia_flexor_A,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941478281440,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941439667986,long_tendon_muscle_B_femur,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941496126793,tarsus_depressor_B,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941560573608,tarsus_depressor_retro_tarsus_depressor,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941630970604,accessory_tibia_flexor_A,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941691007896,pleural_remotor_and_abductor_miller_29,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,acetylcholine,unknown,front_leg
front_leg_motor_neuron,720575941447846990,accessory_tibia_flexor_A,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941450561358,trochanter_flexor_ProAN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,glutamate,unknown,front_leg
front_leg_motor_neuron,720575941428654255,tergopleural_promotor_pleural_promotor_miller_28_30,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
front_leg_motor_neuron,720575941553597502,femur_reductor_tiny,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,NA,unknown,front_leg
front_leg_motor_neuron,720575941579753849,trochanter_flexor_VProN,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,unknown,front_leg
