root_id,root_888,supervoxel_id,position,neurotransmitter_predicted,cell_type,volume_nm3
720575941689707020,720575941689707020,77195062588912754,"151262, 18193, 1942",gaba,DNc01,610364181760
720575941521330904,720575941354281776,75576650124933358,"103556,18615,1747",serotonin,DNc01,NA
720575941478599454,720575941478599454,76914068581953603,"142682, 30950, 1788",acetylcholine,il3LN6,423850568704
720575941591148343,720575941591148343,75788649442373602,"110442, 46796, 570",gaba,il3LN6,332990150144
720575941498585472,720575941493564647,74521531816057007,"72445, 32099, 3611",gaba,Li31,302603369216
720575941551917940,720575941440304172,76703100660186885,"137091, 36531, 4926",dopamine,DNpe053,247298741504
720575941597051761,720575941597051761,76562363037702788,"132312, 36495, 4461",dopamine,DNpe053,193236174080
720575941653756145,720575941653756145,75506281582666126,"102242, 20357, 2518",gaba,lLN2F_b,242202149376
720575941613506989,720575941613506989,76562018970661770,"132370, 24881, 2697",gaba,lLN2F_b,237746949376
720575941585819999,720575941585819999,76984025411215907,"144293, 19744, 3106",gaba,lLN2F_b,231883895040
720575941596694823,720575941596694823,75647087790309048,"106005, 22040, 2440",gaba,lLN2F_b,186580758784
720575941472733451,720575941472733451,75295725575341909,"96136, 36081, 4176",serotonin,DNp32,240896409344
720575941645363045,720575941524069111,77055081551665527,"145575, 40579, 3927",serotonin,DNp32,NA
720575941500212603,720575941500212603,78814162516336350,"197780, 35972, 3324",glutamate,cML01,236479358720
720575941556320154,720575941473270283,74381000083869729,"68996,37046,2218",glutamate,cML01,NA
720575941689154828,720575941689154828,75795247586155136,"109136, 242176, 4749",dopamine,INXXX917_f,232341680384
720575941506971452,720575941506971452,76708392261502003,"135620, 193265, 5804",dopamine,INXXX917_f,110829607936
720575941394649238,720575941394649238,76495705011029604,"129574, 146380, 3942",octopamine,INXXX917_f,84916769024
720575941477342001,720575941477342001,76356410564654150,"124946, 188651, 3719",serotonin,INXXX917_f,84670145536
720575941438418476,720575941438418476,76005529185242247,"115125, 219028, 4860",dopamine,INXXX917_f,75179645952
720575941664273208,720575941664273208,75576581808388708,"103416, 18012, 3185",gaba,Li33,201380564224
720575941517370883,720575941453611898,74521875212642290,"72658, 41817, 3037",gaba,Li33,NA
720575941518025306,720575941528443417,75365818972200331,"97502, 26960, 2518",gaba,Li33,NA
720575941627819372,720575941627819372,76140493230889016,"119824, 45520, 1012",octopamine,OA-VUMa6,196994590464
720575941619293909,720575941586754526,76140837163768114,"119697, 56088, 2256",octopamine,OA-VUMa6,104309737216
720575941507745826,720575941507745826,76848235725151172,"140278, 167187, 3089",serotonin,ANXXX005,188371167488
720575941596085105,720575941596085105,76637060639644231,"134104, 164841, 2807",serotonin,ANXXX005,95850829056
720575941476510762,720575941393242628,76212443059856089,"121591, 92500, 3058",serotonin,DNp30,184786015232
720575941565932178,720575941499964385,76071705571289937,"117052, 92500, 2972",serotonin,DNp30,NA
720575941507526213,720575941507526213,76567860998779615,"132546, 199355, 6082",octopamine,EAXXX079,179902831104
720575941400967459,720575941400967459,76071705503967968,"117612, 92500, 2650",octopamine,EAXXX079,159931992832
720575941472725771,720575941472725771,76843425227617564,"139821, 23980, 2589",acetylcholine,lLN2F_a,179534137344
720575941519202732,720575941519202732,75365612746351368,"98245, 21800, 2137",acetylcholine,lLN2F_a,170798329856
720575941474918442,720575941474918442,76843425160904865,"139829, 23807, 2486",acetylcholine,lLN2F_a,155448473088
720575941508123708,720575941606127550,75506281582691395,"100742, 19279, 2530",acetylcholine,lLN2F_a,NA
720575941394637316,720575941558647204,75295587935484969,"94604, 31260, 3554",glutamate,AVLP016,177245474304
720575941705099738,720575941536626264,77547319163836009,"160047, 28694, 4038",glutamate,AVLP016,138541874944
720575941523226035,720575941550762785,77687919146135328,"165281, 25313, 3783",gaba,AVLP079,177015933440
720575941591634231,720575941439896620,74802800567713772,"80380, 26340, 3527",NA,AVLP079,NA
720575941509060421,720575941496349310,74591831841072144,"75420, 29234, 3732",NA,AVLP079,NA
720575941537710824,720575941537710824,76070262126543414,"117043, 50726, 1614",gaba,DNg98,177015740672
720575941480510314,720575941557552356,76070468218299427,"118106, 55429, 1510",gaba,DNg98,151001040384
720575941612504297,720575941612504297,76285148534587310,"123702, 163141, 4033",acetylcholine,AN19B001_b,175433117440
720575941508609665,720575941508609665,76496254766884752,"130873, 163437, 3942",acetylcholine,AN19B001_b,144476090368
720575941537246442,720575941405860208,75013975452290151,"86453, 27598, 3139",gaba,AVLP080,172344545024
720575941619267029,720575941563074605,77406444101980141,"156938, 25534, 3418",gaba,AVLP080,NA
720575941432123640,720575941432123640,75647843771376637,"104639, 43028, 2596",acetylcholine,DNa01,171821532416
720575941535862506,720575941535862506,76562981043285770,"132891, 53627, 2657",acetylcholine,DNa01,50612688384
720575941522991287,720575941619021269,76281162603406465,"123248, 44096, 3219",dopamine,DNc02,168876993024
720575941568070710,720575941598158469,76210656755903865,"122173, 40736, 4504",acetylcholine,DNc02,NA
720575941614432409,720575941614432409,76282811736605449,"123404, 92500, 2742",dopamine,DNge047,165810701312
720575941551909949,720575941477713770,76070674577438730,"118048, 62557, 2052",dopamine,DNge047,104240037632
720575941439824402,720575941439824402,75295244069572020,"95212, 21592, 2498",acetylcholine,lLN2T_b,163781314048
720575941599261340,720575941599261340,76843425160704763,"141024, 23625, 2417",acetylcholine,lLN2T_b,157634520832
720575941628446521,720575941628446521,77195131509519515,"150019, 18892, 2591",acetylcholine,lLN2T_b,137210242560
720575941568333102,720575941568333102,76843425227795975,"140983, 24246, 2654",gaba,lLN2T_b,115348494848
720575941416243860,720575941597223025,75647087790348822,"106125, 21616, 2459",acetylcholine,lLN2T_b,NA
