variable_name,value,type,description
influence_norm_thresh,17.28,auto,Influence norm log elbow threshold (from panels_body_parts.R elbow analysis). Results: CNS networks.
pairwise_adjusted_influence_modal_direct_ge5,20,auto,"Mode of integer-rounded adjusted influence for direct (count_ge5) pairs from 1000 random proofread BANC sources × proofread+RPR targets, IC count_thresh = 5 (computed by panel_influence_validation.R, 10494 pairs). Fig. 2c."
pairwise_adjusted_influence_modal_indirect_ge5,5,auto,"Mode of integer-rounded adjusted influence for indirect (count_ge5) pairs from 1000 random proofread BANC sources × proofread+RPR targets, IC count_thresh = 5 (computed by panel_influence_validation.R, 78441016 pairs). Fig. 2c."
sensory_ge5_p25_direct_count,"70,753",auto,Direct (count >= 5) sensory-seed → target pairs whose adjusted influence is at or above the 25th percentile of the direct distribution (18.2895); out of 94032 direct pairs total. Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
sensory_ge5_p25_indirect_count,"149,139",auto,Indirect sensory-seed → target pairs whose adjusted influence is at or above the 25th percentile of the direct distribution (18.2895); out of 1316175504 indirect pairs total. Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
sensory_ge5_p25_threshold,18.29,auto,25th-percentile of the direct-pair adjusted influence distribution for sensory seeds (count >= 5 graph). Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
sensory_ge5_direct_count_raw,"94,000",auto,Raw count of direct (count >= 5) sensory-seed → target pairs whose adjusted influence is above the floor; rounded to 2 sig figs (exact: 94032). Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
sensory_ge5_indirect_count_raw,"1,300,000,000",auto,Raw count of indirect sensory-seed → target pairs whose adjusted influence is above the floor; rounded to 2 sig figs (exact: 1316175504). Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
an_dn_ge5_p25_direct_count,"88,354",auto,Direct (count >= 5) AN/DN-seed → target pairs whose adjusted influence is at or above the 25th percentile of the direct distribution (19.0415); out of 117234 direct pairs total. Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
an_dn_ge5_p25_indirect_count,"33,934",auto,Indirect AN/DN-seed → target pairs whose adjusted influence is at or above the 25th percentile of the direct distribution (19.0415); out of 354652380 indirect pairs total. Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
an_dn_ge5_p25_threshold,19.04,auto,25th-percentile of the direct-pair adjusted influence distribution for AN/DN seeds (count >= 5 graph). Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
an_dn_ge5_direct_count_raw,"120,000",auto,Raw count of direct (count >= 5) AN/DN-seed → target pairs whose adjusted influence is above the floor; rounded to 2 sig figs (exact: 117234). Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
an_dn_ge5_indirect_count_raw,"350,000,000",auto,Raw count of indirect AN/DN-seed → target pairs whose adjusted influence is above the floor; rounded to 2 sig figs (exact: 354652380). Sidecar: influence_norm_log_vs_direct_connectivity_ge5.txt.
sensory_to_andn_hops_median,3,auto,"Median directed shortest-path hops from sensory neurons to reachable AN/DN targets, on the proofread + count>0 edgelist used by the influence calculator. Methods: Influence."
sensory_to_andn_hops_p99,5,auto,99th-percentile directed shortest-path hops from sensory neurons to reachable AN/DN targets — practical max. Methods: Influence.
sensory_to_andn_hops_max,6,auto,Absolute max directed shortest-path hops from sensory neurons to reachable AN/DN targets observed in sample. Methods: Influence.
sensory_to_andn_pairs_reachable_pct,99.7,auto,"Percent of (sampled sensory, AN/DN) pairs connected by any directed path (sample n=2000 sensory sources). Methods: Influence."
andn_to_effector_hops_median,3,auto,"Median directed shortest-path hops from AN/DN neurons to reachable effector targets (motor/efferent/endocrine/visceral), on the proofread + count>0 edgelist used by the influence calculator. Methods: Influence."
andn_to_effector_hops_p99,4,auto,99th-percentile directed shortest-path hops from AN/DN neurons to reachable effector targets — practical max. Methods: Influence.
