flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,alignment_cell_type,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,malecns_09_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id,malecns_09_match_id
afferent,ascending,abdomen_motor_neuron,ab-PDF,[string],central_brain,left,abdomen_motion,alcoholic_fermentation_volatile,accessory_tibia_flexor_muscle,abdomen,abdomen,abdominal_nerve_trunk,00A,dimorphic,acetylcholine,amn,acetylcholine,[string],[string],[string],[string],[string],[string],[string],[integer64],[integer],[integer],[integer],[integer]
efferent,central_brain_intrinsic,amacrine_medulla,abd_Dsx_OA,,optic_lobe,right,antenna_motor,"amino_acids, Ir94e",accessory_trochanter_flexor_muscle,abdominal_wall,antenna,AbN4_L,00B,female-specific,dopamine,AstA,dopamine,,,,,,,,,,,,
intrinsic,descending,antenna_motor_neuron,abdomen_bristle_neuron,,ventral_nerve_cord,,"anti_diuresis,stress_tolerance",animal_matter_volatile,adductor_muscle,antenna,corpus_allatum,AN,01A,isomorphic,gaba,AstC,gaba,,,,,,,,,,,,
,glia,antennal_lobe_centrifugal_neuron,abdomen_motor_neuron,,,,"anti_diuresis,stress_tolerance,energy_metabolism",auditory_high_frequency,antenna_muscle,anterior_digestive_tract,crop,left_accessory_pharyngeal_nerve,01B,male-specific,glutamate,Capa,glutamate,,,,,,,,,,,,
,motor,antennal_lobe_local_neuron,abdomen_multidendritic_neuron,,,,aorta,auditory_low_frequency,b1_muscle,aorta,digestive_tract,left_antennal_nerve,02A,,glycine,CCAP,histamine,,,,,,,,,,,,
,not_a_neuron,antennal_lobe_output_neuron,abdomen_neurosecretory_cell,,,,appetitive,aversive,b2_muscle,coxa,eye,left_anterior_dorsal_mesothoracic_nerve,03A,,histamine,CCHa1,octopamine,,,,,,,,,,,,
,optic_lobe_intrinsic,antennal_lobe_projection_neuron,abdomen_orphan_neuron,,,,appetitive_learning,aversive_volatile,b3_muscle,dorsal_cibarial_sense_organ,front_leg,"left_anterior_dorsal_mesothoracic_nerve, left_mesothoracic_accessory_nerve, right_anterior_dorsal_mesothoracic_nerve, right_mesothoracic_accessory_nerve, right_mesothoracic_leg_nerve, left_mesothoracic_leg_nerve",03B,,nitric_oxide,CNMa,serotonin,,,,,,,,,,,,
,sensory,aorta_neuron,abdomen_oxygenation_neuron,,,,auditory,"bitter, Gr33a",bristle,eye,haltere,"left_anterior_dorsal_mesothoracic_nerve, right_anterior_dorsal_mesothoracic_nerve",04A,,octopamine,Crz,tyramine,,,,,,,,,,,,
,sensory_ascending,aorta_sensory_neuron,abdomen_strand_neuron,,,,aversive,"bitter, Gr66a",campaniform_sensillum,front_leg,hind_leg,"left_anterior_dorsal_mesothoracic_nerve, right_anterior_dorsal_mesothoracic_nerve, left_dorsal_metathoracic_nerve, right_dorsal_metathoracic_nerve",04B,,serotonin,dARC1,,,,,,,,,,,,,
,sensory_descending,ascending_neuron,abdominal_ppk_neuron,,,,"cardiostimulation,energy_metabolism,stress_tolerance,hormone_regulation",Capa,campaniform_sensillum_neuron,frontal,middle_leg,left_cervical_nerve,05B,,tyramine,Dh31,,,,,,,,,,,,,
,trachea,astrocyte,abdominal_terminalia_bristle,,,,charging,"Capa,Ms",chordotonal_organ,frontoorbital,neck,"left_cervical_nerve, right_cervical_nerve",05B_put1,,,Dh44,,,,,,,,,,,,,
,ventral_nerve_cord_intrinsic,bristle_neuron,abdominal_wall_multidendritic_neuron,,,,crop_motor,carbon_dioxide_volatile,"CoHP3,hair_plate",haltere,neurohemal_complex,left_corpus_cardiacum_nerve,05B_put2,,,dNPF,,,,,,,,,,,,,
,visceral_circulatory,campaniform_sensillum_neuron,amacrine_medulla,,,,"diuresis,food_intake,energy_metabolism,post_mating_responses","contact_pheromone, Ir52a, Ir52b","CoHP4,hair_plate",haustellum,pharynx,"left_corpus_cardiacum_nerve, right_corpus_cardiacum_nerve",06A,,,Dsk,,,,,,,,,,,,,
,visual_centrifugal,central_complex_input_neuron,antenna_bristle_neuron,,,,"diuresis,gut_motility,hormone_regulation","contact_pheromone, ppk23","CoHP8,hair_plate",hemolymph,proboscis,left_dorsal_metathoracic_nerve,06B,,,Eh,,,,,,,,,,,,,
,visual_projection,central_complex_intrinsic_neuron,antenna_campaniform_sensillum_neuron,,,,"diuresis,stress_tolerance,pain_threshold","contact_pheromone, ppk23, ppk25",crop_muscle,hemolymph_sensory,prothorax,"left_dorsal_metathoracic_nerve, right_dorsal_metathoracic_nerve",07B,,,FMRFa,,,,,,,,,,,,,
,,central_complex_output_neuron,antenna_hygrosensory_receptor_neuron,,,,"energy_metabolism,food_intake",contractile,depressor_muscle,hind_leg,reproductive_tract,left_dorsal_prothoracic_nerve,08A,,,Hug,,,,,,,,,,,,,
,,centrifugal_lobula,antenna_motor_neuron,,,,escape_takeoff,"cooling, Ir21a",dorsal_longitudinal_muscle,interocellar,retrocerebral_complex,left_eye_nerve,08B,,,Hugin,,,,,,,,,,,,,
,,centrifugal_lobula_lobula_plate,antenna_olfactory_receptor_neuron,,,,feeding,"cooling, Ir40a",dorsoventral_muscle,interommatidial,salivary_gland,left_first_abdominal_nerve,09A,,,Ilp2,,,,,,,,,,,,,
,,centrifugal_lobula_lobula_plate_medulla,antenna_orphan_neuron,,,,feeding_suppression,crop_entry,dorsoventral_muscle_linking_cervical_sclerite_and_condyle_1,labellum,thoracic_abdominal,"left_first_abdominal_nerve, right_first_abdominal_nerve",09B,,,Ilp3,,,,,,,,,,,,,
,,centrifugal_lobula_medulla,antenna_thermosensory_receptor_neuron,,,,flight,"Crz,sNPF",dorsoventral_muscle_linking_cervical_sclerite_and_condyle_2,labral_or_ventral_cibarial_sense_organ,unknown,left_fourth_abdominal_nerve,10B,,,Ilp5,,,,,,,,,,,,,
,,centrifugal_lobula_plate,antennal_lobe_centrifugal_neuron,,,,food_intake,"dARC1,Ilp2,Ilp3,Ilp5",femur_reductor_muscle,labral_sense_organ_or_fishtrap_bristles,ureter,"left_fourth_abdominal_nerve, right_fourth_abdominal_nerve",11A,,,ITP,,,,,,,,,,,,,
,,centrifugal_medulla,antennal_lobe_local_neuron,,,,grooming,decaying_fruit_volatile,hair_plate,lamina,uterus,left_maxillary-labial_nerve,11B,,,Lk,,,,,,,,,,,,,
,,centrifugal_medulla_lobula,antennal_lobe_output_neuron,,,,gustatory,Dh31,haltere_basalare_muscle,maxillary_palp,wing,left_mesothoracic_accessory_nerve,12A,,,Mip,,,,,,,,,,,,,
,,centrifugal_medulla_lobula_lobula_plate,antennal_lobe_projection_neuron,,,,gustatory_tactile,Dh44,haltere_dorsoventral_muscle,metathoracic_chordotonal_organ,,left_mesothoracic_leg_nerve,12B,,,Ms,,,,,,,,,,,,,
,,chordotonal_organ_neuron,anterior_digestive_tract_internal_taste_sensillum_gustatory_neuron,,,,haltere,"Dh44,Lk",hi1_muscle,middle_leg,,"left_mesothoracic_leg_nerve, right_mesothoracic_leg_nerve",12B_put1,,,Natalisin,,,,,,,,,,,,,
,,circadian_neuron,anterior_digestive_tract_multidendritic_neuron,,,,haltere_motor,direction,hi2_muscle,neck,,left_metathoracic_leg_nerve,13A,,,NPF,,,,,,,,,,,,,
,,cortex_glia,aorta_sensory_neuron,,,,haltere_power,"dry, Ir40a",hiii2_muscle,occipital_dorsal,,"left_metathoracic_leg_nerve, right_metathoracic_leg_nerve",13B,,,Nplp1,,,,,,,,,,,,,
,,crop_motor_neuron,APDN3,,,,haltere_steering,"evaporation, Ir68a",hygrosensory_sensillum,ocellar,,left_occipital_nerve,14A,,,Orcokinin,,,,,,,,,,,,,
,,descending_neuron,ascending_neuron,,,,halting,extend_coxa_trochanter_joint,i1_muscle,ocelli,,left_pharyngeal_nerve,14B,,,Pdf,,,,,,,,,,,,,
