bodyid,dataset,flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted
63867,MANC,afferent,sensory,taste_bristle_gustatory_neuron,middle_leg_taste_bristle_gustatory_neuron,LgLG1b,ventral_nerve_cord,NA,gustatory,"ppk23, ppk25",taste_bristle,middle_leg,NA,NA,NA,NA,NA,NA,NA
87399,MANC,afferent,sensory,taste_bristle_gustatory_neuron,middle_leg_taste_bristle_gustatory_neuron,LgLG2,ventral_nerve_cord,NA,gustatory,"contact_pheromone, Ir52a, Ir52b",taste_bristle,middle_leg,NA,NA,NA,NA,NA,NA,NA
132311,MANC,afferent,sensory,taste_bristle_gustatory_neuron,middle_leg_taste_bristle_gustatory_neuron,LgLG2,ventral_nerve_cord,NA,gustatory,"contact_pheromone, Ir52a, Ir52b",taste_bristle,middle_leg,NA,NA,NA,NA,NA,NA,NA
21580293661,MANC,afferent,sensory,taste_bristle_gustatory_neuron,middle_leg_taste_bristle_gustatory_neuron,LgLG2,ventral_nerve_cord,NA,gustatory,"contact_pheromone, Ir52a, Ir52b",taste_bristle,middle_leg,NA,NA,NA,NA,NA,NA,NA
80272,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG2,ventral_nerve_cord,NA,gustatory,"contact_pheromone, Ir52a, Ir52b",taste_bristle,front_leg,NA,NA,NA,NA,NA,NA,NA
39260616116,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG4,ventral_nerve_cord,NA,gustatory,"sugar, low_salt, Gr64f, Ir56b",taste_bristle,front_leg,NA,NA,NA,NA,NA,NA,NA
10120,MANC,afferent,sensory,chordotonal_organ_neuron,hind_leg_claw_chordotonal_organ_neuron,SNpp50,ventral_nerve_cord,left,proprioception,position,chordotonal_organ,hind_leg,NA,left_metathoracic_leg_nerve,NA,isomorphic,acetylcholine,NA,glutamate
10133,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A001,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
10158,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A067,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,20A.22A,dimorphic,acetylcholine,NA,acetylcholine
10203,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN08A002,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,08A,isomorphic,glutamate,NA,glutamate
10215,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A007,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
10258,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A002,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
10265,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B001,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,gaba
10341,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN03A039,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,03A,isomorphic,acetylcholine,NA,acetylcholine
10357,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A047,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,21A,dimorphic,NA,NA,glutamate
10405,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN13A003,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
10498,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN17A001,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,17A,isomorphic,acetylcholine,NA,acetylcholine
10533,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN14A002,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,14A,isomorphic,NA,NA,glutamate
10651,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN26X001,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,26X,isomorphic,NA,NA,gaba
10682,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A003,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,21A,isomorphic,NA,NA,glutamate
10742,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN09A003,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,09A,isomorphic,gaba,NA,gaba
10803,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN08A005,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,08A,isomorphic,glutamate,NA,glutamate
10876,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN17A025,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,17A,isomorphic,acetylcholine,NA,acetylcholine
10877,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN14A001,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,14A,isomorphic,NA,NA,gaba
10890,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN08A006,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,08A,isomorphic,NA,NA,gaba
10927,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,INXXX464,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,TBD,isomorphic,NA,NA,acetylcholine
11131,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A006,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,21A,isomorphic,NA,NA,glutamate
11166,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN13A015,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
11189,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B010,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,glutamate
11206,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A008,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,21A,isomorphic,NA,NA,glutamate
11271,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN13A006,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
11323,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN13A001,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
11412,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN03A053,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,03A,isomorphic,acetylcholine,NA,acetylcholine
11501,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN13A014,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
11503,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN08A007,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,08A,isomorphic,glutamate,NA,glutamate
11599,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN03A007,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,03A,isomorphic,acetylcholine,NA,acetylcholine
11631,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A017,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,21A,isomorphic,NA,NA,acetylcholine
11667,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A020,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
11699,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A021,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
11724,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN17A017,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,17A,isomorphic,acetylcholine,NA,acetylcholine
11764,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A047,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,20A.22A,isomorphic,acetylcholine,NA,acetylcholine
11813,MANC,efferent,motor,leg_motor_neuron,hind_leg_motor_neuron,MNhl02,ventral_nerve_cord,left,leg_motor,unknown_leg_movement,leg_muscle,NA,hind_leg,left_first_abdominal_nerve,TBD,isomorphic,NA,NA,glutamate
11826,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A016,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,21A,isomorphic,NA,NA,glutamate
11837,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN09A006,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,09A,isomorphic,gaba,NA,gaba
11903,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN16B024,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,16B,isomorphic,glutamate,NA,glutamate
11935,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A016,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
11989,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN13A012,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
12006,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN14A005,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,14A,isomorphic,NA,NA,glutamate
12054,MANC,intrinsic,ventral_nerve_cord_intrinsic,sequential_leg_neuromeres,ventral_nerve_cord_ipsilateral_restricted,IN17A007,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,17A,isomorphic,acetylcholine,NA,acetylcholine
