id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941351919408,31.007454742049475,-19.264889336718504,77406856016274162,"157528, 37864, 1896",right,ventral_nerve_cord,ascending,08B,nociception,NA,AN08B018,AN_AVLP_43,AN08B018,vibratory,lateral brain
720575941352057904,-13.792568336868987,-42.896757699145255,75788856406131802,"108784, 51312, 3649",right,central_brain,descending,PSp2,NA,NA,DNpe054,DNpe054,DNht001,head orienting,dorsal VNC
720575941352918576,-0.5340869833476387,17.33929576765162,76211068334264392,"121379, 52628, 1559",left,central_brain,descending,MX3,neuromodulatory,NA,DNg70,DNg70,DNxn180,feeding,abdominal VNC
720575941352944432,-7.335323940659269,8.289139174328861,76145510557963488,"120018, 195111, 4078",right,ventral_nerve_cord,ascending,17B,NA,NA,AN17B007,AN_AVLP_SAD_3,AN17B007,taste-touch,lateral brain
720575941353080624,16.458178390120757,10.723018072949465,75577818155139784,"104213, 53592, 931",right,central_brain,descending,putative_primary,NA,NA,DNge036,DNge036,DNfl042,probing,flange median bundle
720575941353112112,16.461001266097323,-33.168722726000745,76637404773244188,"133512, 176075, 4642",left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B046,AN_GNG_179,AN07B046,flight steering 2,dorsal VNC
720575941353247536,29.35931097373892,-1.526480413569395,76145098106292518,"120441, 183742, 3352",right,ventral_nerve_cord,ascending,10B,NA,NA,AN10B046,AN_GNG_165,AN10B046,proprioceptive,leg VNC
720575941353771056,4.915195811843172,54.418214224682856,76144067314691048,"119094, 152463, 3544",left,central_brain,descending,LB7__prim,NA,NA,DNge100,DNge100,DNg47,probing,flange median bundle
720575941353897264,-10.16275895729135,11.782314680920654,76005254307208744,"115442, 209852, 4823",right,ventral_nerve_cord,ascending,05B,NA,NA,AN05B097,AN_GNG_SAD_5,AN05B097,postural control,flange median bundle
720575941354281776,-4.372461687470183,8.219613455639895,75576650124933358,"103556,18615,1747",right,central_brain,descending,putative_primary,neuromodulatory,NA,DNc01,DNc01,DNc01,reproduction,flange median bundle
720575941390285462,-21.475829254532556,-16.756361580981196,75930968083141165,"114111, 92500, 3049",right,central_brain,descending,LB12,NA,NA,DNg05_b,DNg05_b,DNg05,flight steering 1,dorsal VNC
720575941390308246,-1.800887476349577,-28.193993188036867,76001336760067070,"115766, 92500, 2746",left,central_brain,descending,LB7,NA,NA,DNge118,DNge118,DNut054,head orienting,dorsal VNC
720575941390604438,2.7652202735893883,-29.6680933009519,76353180547835670,"124946, 92500, 2909",right,ventral_nerve_cord,ascending,07B,NA,NA,AN07B072,auto:AN_GNG_175,AN07B072,head orienting,dorsal VNC
720575941390619140,3.3615406642906813,-31.969503976000723,75789337107226719,"109639, 65732, 2483",right,central_brain,descending,LB6,reaching,NA,DNg10,auto:DNg10,DNg10,head orienting,dorsal VNC
720575941390623382,1.6850391517632164,-12.705317116869871,75930830643858863,"113493, 89839, 2941",right,central_brain,descending,putative_primary,flight,NA,DNp20,DNp20,DNp20,flight power,posterior brain
