id,UMAP1,UMAP2,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941546693225,-2.4567622298963627,2.227313164778505,76001336826759712,"115634,92500,2853",right,ventral_nerve_cord,efferent,visceral_circulatory,00B,NA,"left_dorsal_metathoracic_nerve, right_dorsal_metathoracic_nerve",EA00B006,NA,EA00B006,EFF_17,flight-steering
720575941633520059,-1.2413131351240259,2.183212641783509,75930968082993857,"114325,92500,3003",left,ventral_nerve_cord,efferent,visceral_circulatory,06B,NA,right_posterior_dorsal_mesothoracic_nerve,EA06B010,NA,EA06B010,EFF_09,flight-energy-power
720575941556189924,-1.2764610404737582,2.0814462938983773,76215398466452738,"122727,180638,4613",right,ventral_nerve_cord,efferent,visceral_circulatory,06B,NA,NA,EA06B010,AN_GNG_132,EA06B010,EFF_09,flight-energy-power
720575941530511747,-6.678703700996219,-3.457352276734558,76143861290161004,"119739, 146374, 3953",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN5,NA,DProN5,EFF_12,head-eye-antenna
720575941574538504,-6.727287685371219,-3.46226179211542,76214161180671844,"121704, 144864, 3444",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN9,NA,DProN9,EFF_12,head-eye-antenna
720575941495864905,-6.533442890144186,-3.398198958329407,76000649564904819,"116152, 72343, 2611",left,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN7,CvN7,NA,EFF_12,head-eye-antenna
720575941534975425,-6.398666774726689,-3.1031941136638785,76706742457298598,"135858, 144543, 3790",left,ventral_nerve_cord,efferent,motor,NA,neck_motor,left_cervical_nerve,CvNA1,NA,CvNA1,EFF_12,head-eye-antenna
720575941492452222,-6.607788478828237,-3.324190374306884,77550754935807888,"160880,132553,3139",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN4,NA,DProN4,EFF_12,head-eye-antenna
720575941598584768,-6.289341365791158,-3.4792970380108024,75860599338364846,"112535, 92500, 3033",left,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN9,CvN9,NA,EFF_12,head-eye-antenna
720575941513990988,-6.655009662605106,-3.2985461911480067,76633830756667650,"133650, 68539, 2409",left,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN5,CvN5,NA,EFF_12,head-eye-antenna
720575941489125351,-6.657965099311649,-3.3222060164730167,76777179987652065,"138635,147197,3899",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN2,NA,DProN2,EFF_12,head-eye-antenna
720575941512880643,-6.737289821601689,-3.3990484437267354,76214161248051669,"121501, 145001, 3794",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN2,NA,DProN2,EFF_12,head-eye-antenna
720575941493508551,-6.4297441596754155,-3.2942933997432804,76847273518391376,"139823,138471,2627",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN8,NA,DProN8,EFF_12,head-eye-antenna
