root_id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941350274352,-8.517705349337117,3.179822913625882,76285217388087060,"124050, 165580, 4474",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,18B,NA,GFC1,NA,GFC1,NA,leg VNC
720575941350334256,-8.172548679720421,1.4778112091809976,76566554724664623,"132990, 161403, 3762",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,00A,NA,IN00A059,NA,IN00A059,NA,leg VNC
720575941350352176,-9.27849426687862,4.909270516851591,76849060694884999,"140784, 191228, 4533",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,21A,NA,IN21A042,NA,IN21A042,NA,leg VNC
720575941350354224,-10.25188103140499,10.194219819524932,76144961003469355,"119383, 178248, 4829",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,06A,NA,IN06A085,NA,IN06A085,NA,dorsal VNC
720575941350374960,-8.491665272127646,-1.8333356461733112,75792911190976243,"108963, 173850, 4977",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,08A,NA,IN08A011,NA,IN08A011,NA,dorsal VNC
720575941350393904,-8.308568386446492,-1.5219729027956257,76356067168794846,"126581, 178713, 4521",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,06B,NA,IN06B047,NA,IN06B047,NA,dorsal VNC
720575941350395952,-8.090085415255086,-0.8239879093378315,76285423613821351,"124842, 170844, 4808",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,00A,proprioception,IN00A022,NA,IN00A022,NA,dorsal VNC
720575941350396464,-8.063946155916708,-0.6181754551141989,76566554791839191,"131648, 161562, 4040",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,00A,NA,IN00A043,NA,IN00A043,NA,dorsal VNC
720575941350409264,-8.402333645235553,-1.6869984946459065,76144686057931962,"119309, 170485, 4369",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,08B,NA,IN08B073,NA,IN08B073,NA,dorsal VNC
720575941350413360,-8.24373093069698,3.840196839788603,76004498124521686,"115007, 188336, 3793",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,04B,NA,IN04B108,NA,IN04B108,NA,leg VNC
