,skid,cell_type,idx,name,name_noside,side,annotated_name
0,2206279,sensory,128.0,Rh6PR-3;left,Rh6PR-3,left,visual
1,2216445,sensory,1907.0,Rh6PR-1;left,Rh6PR-1,left,visual
2,2215247,sensory,1928.0,Rh6PR-7;left,Rh6PR-7,left,visual
3,10241716,sensory,2422.0,Rh6PR-5;left,Rh6PR-5,left,visual
4,2216131,sensory,1226.0,Rh6PR-6;left,Rh6PR-6,left,visual
5,37365,sensory,1792.0,Rh6PR-9;left,Rh6PR-9,left,visual
6,2215622,sensory,2159.0,Rh6PR-8;left,Rh6PR-8,left,visual
7,2215447,sensory,42.0,Rh6PR-4;left,Rh6PR-4,left,visual
8,2200028,sensory,2737.0,Rh6PR-2;left,Rh6PR-2,left,visual
9,6791927,sensory,1506.0,67b ORN left,67b ORN,left,olfactory
10,3410499,sensory,347.0,42b ORN left,42b ORN,left,olfactory
11,7542938,sensory,1138.0,74a ORN left,74a ORN,left,olfactory
12,7527710,sensory,2130.0,13a ORN left,13a ORN,left,olfactory
13,3464773,sensory,23.0,42a ORN left,42a ORN,left,olfactory
14,3511996,sensory,1244.0,94a & 94b ORN left,94a & 94b ORN,left,olfactory
15,3716797,sensory,493.0,45a ORN left,45a ORN,left,olfactory
16,8877795,LN,617.0,ventral LN left,ventral LN,left,no official annotation
17,3774568,sensory,1214.0,82a ORN left,82a ORN,left,olfactory
18,3465659,sensory,1769.0,35a ORN left,35a ORN,left,olfactory
19,2610744,sensory,1123.0,AN-L-Sens-B3-ACal-05 (Non-ORN 1),ANSens-B3-ACal-05 ,left,thermo-warm
20,2611805,sensory,1916.0,1a ORN left,1a ORN,left,olfactory
21,3768025,sensory,947.0,30a ORN left,30a ORN,left,olfactory
22,3771794,sensory,1673.0,49a ORN left,49a ORN,left,olfactory
23,3410506,sensory,30.0,85c ORN left,85c ORN,left,olfactory
24,3708875,sensory,109.0,33a ORN left,33a ORN,left,olfactory
25,3158543,sensory,2539.0,63a ORN left,63a ORN,left,olfactory
26,3592997,sensory,2043.0,24a ORN left,24a ORN,left,olfactory
27,3547397,sensory,2232.0,83a ORN left,83a ORN,left,olfactory
28,3486950,other,1353.0,vine left,vine,left,mPN
29,6340439,sensory,1094.0,59a ORN left,59a ORN,left,olfactory
30,3694515,sensory,1480.0,47a & 33b ORN left,47a & 33b ORN,left,olfactory
31,40045,sensory,271.0,22c ORN left,22c ORN,left,olfactory
32,5093516,sensory,1744.0,AN-L-Sens-B3-ACal-04 (Non-ORN 2),ANSens-B3-ACal-04 ,left,thermo-warm
33,5090549,sensory,930.0,45b ORN left,45b ORN,left,olfactory
34,3736500,other,1252.0,ginkgo 2 left,ginkgo 2,left,mPN
35,5327961,PN,2522.0,KS LN 3b left,KS LN 3b,left,gustatory-external 2nd_order PN
36,15716701,sensory,2011.0,MN-L-Sens-B2-ACp-02,MNSens-B2-ACp-02,left,gustatory-external
37,12260696,sensory,1710.0,MN-L-Sens-B2-ACp-06,MNSens-B2-ACp-06,left,gustatory-external
38,17062823,DN-SEZ,2645.0,KS LN 4a left,KS LN 4a,left,no official annotation
39,3054101,sensory,2089.0,MN-L-Sens-B3-ACp-04,MNSens-B3-ACp-04,left,gustatory-pharyngeal
40,5186461,sensory,2407.0,AN-L-Sens-B3-ACp-09 (gustatory pheromone neuron),ANSens-B3-ACp-09 ,left,gustatory-external
41,15938337,sensory,1377.0,MN-L-Sens-B2-ACp-08,MNSens-B2-ACp-08,left,gustatory-external
42,11745381,sensory,2278.0,MN-L-Sens-B2-ACp-07,MNSens-B2-ACp-07,left,gustatory-external
43,11821320,PN,70.0,KS LN 3a left,KS LN 3a,left,gustatory-external 2nd_order PN
44,15681740,sensory,1556.0,MN-L-Sens-B2-ACp-21,MNSens-B2-ACp-21,left,gustatory-external
45,5322337,LN,73.0,Maxillary Nerve LN 2 left,Maxillary Nerve LN 2,left,no official annotation
46,15714639,sensory,219.0,MN-L-Sens-B2-ACpl-01 (Awesome MN sensory 2),MNSens-B2-ACpl-01 ,left,gustatory-external
47,11671564,sensory,155.0,AN-L-Sens-B2-ACp-21,ANSens-B2-ACp-21,left,gustatory-pharyngeal
48,15716934,sensory,76.0,MN-L-Sens-B2-ACpl-02 (Awesome MN sensory 1),MNSens-B2-ACpl-02 ,left,gustatory-external
49,4338596,sensory,1947.0,MN-L-Sens-B2-ACp-01,MNSens-B2-ACp-01,left,gustatory-external
50,15674262,sensory,781.0,MN-L-Sens-B2-ACp-11 (Olfactory Gustatory connector 2),MNSens-B2-ACp-11 ,left,gustatory-external
51,12882387,LN,180.0,Maxillary Nerve LN 1 left,Maxillary Nerve LN 1,left,no official annotation
52,18934019,sensory,738.0,MN-L-Sens-B2-ACp-17,MNSens-B2-ACp-17,left,gustatory-external
53,13380660,DN-SEZ,1860.0,ginkgo 1 left,ginkgo 1,left,mPN
54,15679577,sensory,1543.0,MN-L-Sens-B2-ACp-10,MNSens-B2-ACp-10,left,gustatory-external
55,15690093,sensory,1171.0,MN-L-Sens-B2-ACp-09,MNSens-B2-ACp-09,left,gustatory-external
56,15677323,sensory,1628.0,MN-L-Sens-B2-ACp-18,MNSens-B2-ACp-18,left,gustatory-external
57,3586984,sensory,2441.0,AN-L-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) ,ANSens-B3-ACal-07  ,left,gustatory-external
58,15689373,sensory,289.0,MN-L-Sens-B2-ACp-12,MNSens-B2-ACp-12,left,gustatory-external
59,17356454,DN-SEZ,1318.0,BAla34 ventral cluster 1 left,BAla34 ventral cluster 1,left,no official annotation
60,15716309,sensory,1047.0,MN-L-Sens-B2-ACp-03,MNSens-B2-ACp-03,left,gustatory-external
61,15716127,sensory,1695.0,MN-L-Sens-B2-ACp-13,MNSens-B2-ACp-13,left,gustatory-external
62,5088293,sensory,2058.0,AN-L-Sens-B3-ACpl-10,ANSens-B3-ACpl-10,left,gustatory-external
63,17355745,DN-SEZ,2605.0,BAla12 descending 3 left,BAla12 descending 3,left,no official annotation
64,5116147,sensory,98.0,AN-L-Sens-B3-ACal-06 (degraded alone temperature partner neuron),ANSens-B3-ACal-06 ,left,gustatory-external
65,15997692,sensory,673.0,AN-L-Sens-B2-ACp-18,ANSens-B2-ACp-18,left,gustatory-pharyngeal
66,15715643,sensory,2115.0,MN-L-Sens-B2-ACp-04,MNSens-B2-ACp-04,left,gustatory-external
67,13313410,DN-SEZ,354.0,BAla34 ventral cluster 3 left,BAla34 ventral cluster 3,left,no official annotation
68,3539170,DN-SEZ,1541.0,BAla12 descending 1 left,BAla12 descending 1,left,no official annotation
69,4991243,DN-SEZ,85.0,DPMpl12 Giraffe 1 left,DPMpl12 Giraffe 1,left,no official annotation
70,15997645,sensory,1092.0,AN-L-Sens-B2-ACp-14,ANSens-B2-ACp-14,left,gustatory-pharyngeal
71,17732291,DN-SEZ,2708.0,DPMpl12 twig left,DPMpl12 twig,left,no official annotation
72,17740547,DN-SEZ,2830.0,DPMpl12 Girraffe 2 left,DPMpl12 Girraffe 2,left,no official annotation
73,15680093,sensory,1844.0,MN-L-Sens-B2-ACp-19,MNSens-B2-ACp-19,left,gustatory-external
74,12073881,sensory,2509.0,MN-L-Sens-B2-ACp-16,MNSens-B2-ACp-16,left,gustatory-external
75,17814107,DN-SEZ,1989.0,BAla34 ventral cluster 4 left,BAla34 ventral cluster 4,left,no official annotation
76,15995929,sensory,2273.0,AN-L-Sens-B2-ACp-20,ANSens-B2-ACp-20,left,gustatory-pharyngeal
