vertex_id,root_626,super_class,cell_type,betweenness
0,720575941524926283,,,0.0
1,720575941666258675,visual_projection,LC17,0.1630482978720319
2,720575941551627162,ventral_nerve_cord_intrinsic,IN13A003,3986.183194196016
3,720575941455094835,ascending,AN09B027,597.5381485881477
4,720575941732787499,central_brain_intrinsic,"LAL074,LAL084",5.874367885156566
5,720575941669120423,central_brain_intrinsic,CB1078,123.7623099687538
6,720575941599009216,central_brain_intrinsic,lLN2F_b,7426.29927480385
7,720575941603036601,central_brain_intrinsic,M_l2PN3t18,6669.01540132297
8,720575941558034191,,,1791.3096632601578
9,720575941542514268,descending,DNg43,335.6117436077281
10,720575941498279241,central_brain_intrinsic,CB1326,0.1494172023992337
11,720575941555376356,sensory,accessory_pharyngeal_nerve_sensory_group2,0.7317083105727978
12,720575941527242329,optic_lobe_intrinsic,Mi4,417.21135531517496
13,720575941610455785,ventral_nerve_cord_intrinsic,IN13B005,1154.585286863592
14,720575941514264154,optic_lobe_intrinsic,Pm02,0.0
15,720575941537429987,optic_lobe_intrinsic,Li05,0.0
16,720575941471674666,sensory,SNpp50,3.1394563644815685
17,720575941404908400,,,1.0750285987280608
18,720575941626101356,,,0.5155047344711641
19,720575941435625614,,,6.777727653636004
20,720575941549987444,ventral_nerve_cord_intrinsic,IN09A010,869.7530582158976
21,720575941644353618,,,0.2890655588954299
22,720575941391131286,central_brain_intrinsic,CB0248,2669.788615616796
23,720575941501352535,ventral_nerve_cord_intrinsic,IN13B006,801.174483227253
24,720575941574107643,central_brain_intrinsic,lLN2X11,1551.999479529566
25,720575941436164384,,,624.7111150682574
26,720575941620257919,,,0.1154606342021773
27,720575941598865193,optic_lobe_intrinsic,T1,0.0
28,720575941703820762,ventral_nerve_cord_intrinsic,IN01A005,4119.387566652376
29,720575941590998014,central_brain_intrinsic,SLP390,47.56843329387064
30,720575941553743844,central_brain_intrinsic,PEN_b(PEN2),0.0
31,720575941568670834,ventral_nerve_cord_intrinsic,IN04B036,476.4197491381536
32,720575941559527406,central_brain_intrinsic,CB3365,0.1733089603090867
33,720575941558599972,descending,DNpe053,73895.13391800922
34,720575941471068023,ventral_nerve_cord_intrinsic,IN17B003,2838.175502353151
35,720575941433324046,central_brain_intrinsic,IB068,1.2407560227817775
36,720575941519279064,ventral_nerve_cord_intrinsic,IN19A006,1338.4965262062965
37,720575941538291861,central_brain_intrinsic,KCab,0.000222024866785
38,720575941562685842,optic_lobe_intrinsic,TmY3,0.212740897991657
39,720575941441641151,,,0.0280502615569103
40,720575941486424386,ventral_nerve_cord_intrinsic,IN21A008,2089.0489724435483
41,720575941643468133,ventral_nerve_cord_intrinsic,IN07B007,3799.9843599152905
42,720575941624915402,ventral_nerve_cord_intrinsic,IN21A013,909.87478199198
43,720575941540575869,central_brain_intrinsic,CB0874,627.2481067765895
44,720575941441515711,central_brain_intrinsic,,20267.91152069765
45,720575941514249425,,,0.0
46,720575941595955569,descending,DNp13,36932.92532347501
47,720575941448182365,optic_lobe_intrinsic,T5c,0.0
48,720575941515830019,visual_projection,LC40,0.0005136106831022
49,720575941483795386,central_brain_intrinsic,SMP190,47.47822158120682
50,720575941477255217,,,0.0
51,720575941605951341,optic_lobe_intrinsic,TmY3,0.0007955449482895
52,720575941533919258,ventral_nerve_cord_intrinsic,INXXX446,20.98242127087332
53,720575941436757804,sensory_ascending,SAchxx,60.20223901864544
54,720575941526144793,sensory,SNta40,1.213055232765053
55,720575941542533405,central_brain_intrinsic,KCg-m,0.0
56,720575941529408715,optic_lobe_intrinsic,Y1,0.0
57,720575941645236600,,,310.9245123807697
58,720575941626148042,central_brain_intrinsic,DC2_adPN,774.8524902975288
59,720575941497182336,central_brain_intrinsic,ExR3,33.377992347008465
60,720575941435221390,central_brain_intrinsic,CB1078,0.0014025245441795
61,720575941652579093,descending,DNge149,18295.919928464584
62,720575941408175919,,,0.0002743484224965
63,720575941612276326,central_brain_intrinsic,CB0564,14.23864182781266
64,720575941641621330,motor,accessory_tibia_flexor_A,168.53585972282795
65,720575941653472785,ventral_nerve_cord_intrinsic,IN02A018,117.38210398191605
66,720575941562012973,,,17.125432971752357
67,720575941604300790,visual_centrifugal,OA-AL2b2,178.54046929412465
68,720575941581386873,central_brain_intrinsic,KCab,0.0
69,720575941613296147,central_brain_intrinsic,KCab,0.0
70,720575941521239475,ventral_nerve_cord_intrinsic,IN19A052,65.16812833713695
71,720575941550434164,,,0.0
72,720575941393565590,optic_lobe_intrinsic,Pm10,0.161115395767691
73,720575941474101344,ascending,AN02A002,11551.349467719
74,720575941507255621,ventral_nerve_cord_intrinsic,IN09B046,36.0366561841345
75,720575941600188201,,,0.0
76,720575941625810233,optic_lobe_intrinsic,Li10,0.0376013712201497
77,720575941598680220,,,2.1060311814820807
78,720575941640887909,ventral_nerve_cord_intrinsic,IN13A008,902.7980936988456
79,720575941537487075,central_brain_intrinsic,CB3860,0.0770393725645427
80,720575941481640634,ventral_nerve_cord_intrinsic,IN13B090,60.72152203844659
81,720575941576797544,,,14.397533085854745
82,720575941517315182,,,47.13233017040618
83,720575941554905754,,,0.0
84,720575941494925182,descending,,14699.496779637975
85,720575941407294638,ventral_nerve_cord_intrinsic,IN19A021,431.70530386549086
86,720575941688915830,central_brain_intrinsic,PVLP010,1844.1422607399304
87,720575941529113988,optic_lobe_intrinsic,Tm3,0.0018348623853211
88,720575941432532951,central_brain_intrinsic,CB3579,86.37719057063083
89,720575941475933755,ascending,AN10B015_b,2924.08856917012
90,720575941581685369,ventral_nerve_cord_intrinsic,IN04B005,2029.5501264955708
91,720575941629808364,visual_projection,LPLC4,35.88140789438071
92,720575941632063904,ventral_nerve_cord_intrinsic,IN03A041,446.5709223083576
93,720575941472005952,descending,DNge082,693.3620282976341
94,720575941633426107,,,0.0
95,720575941555833828,sensory,ORN_VM5d,0.2085288690805964
96,720575941668666023,ventral_nerve_cord_intrinsic,IN12B074,49.778966194955615
97,720575941552246783,central_brain_intrinsic,PPL101,118.28989728300624
98,720575941579616081,descending,DNp16,168.95522918861548
99,720575941527039769,optic_lobe_intrinsic,Li09,0.0
100,720575941594264869,ventral_nerve_cord_intrinsic,INXXX316,2032.5914100536595
101,720575941438901333,visual_projection,LC9,0.0
