flow,super_class,cell_class,cell_sub_class,cell_function,cell_function_detailed,count
afferent,ascending,ascending_neuron,,,,147
afferent,central_brain_sensory,bristle_neuron,antenna_bristle_neuron,tactile,,41
,,,frontal_bristle_neuron,tactile,,26
,,,haustellum_bristle_neuron,tactile,,10
,,,interocellar_bristle_neuron,tactile,,6
,,,interommatidial_bristle_neuron,tactile,,1112
,,,labellum_bristle_neuron,tactile,,64
,,,maxillary_palp_bristle_neuron,tactile,,30
,,,occipital_bristle_neuron,tactile,,2
,,,occipital_dorsal_bristle_neuron,tactile,,6
,,,orbital_bristle_neuron,tactile,,6
,,,postocellar_bristle_neuron,tactile,,10
,,,postorbital_dorsal_bristle_neuron,tactile,,12
,,,postorbital_ventral_bristle_neuron,tactile,,52
,,,vibrissa_bristle_neuron,tactile,,37
,,chordotonal_organ_neuron,johnstons_organ_A_neuron,proprioception,auditory_low_frequency,94
,,,johnstons_organ_B_neuron,proprioception,auditory_high_frequency,299
,,,johnstons_organ_C_neuron,proprioception,direction,60
,,,johnstons_organ_D_neuron,proprioception,position,53
,,,johnstons_organ_E_neuron,proprioception,position,371
,,,johnstons_organ_F_neuron,proprioception,position,193
,,,johnstons_organ_other_neuron,proprioception,vibro_position,38
,,external_taste_sensillum_neuron,labellum_external_taste_sensillum_neuron,gustatory,bitter,42
,,,labellum_external_taste_sensillum_neuron,gustatory,low_salt,39
,,,labellum_external_taste_sensillum_neuron,gustatory,sweet,85
,,,labellum_external_taste_sensillum_neuron,gustatory,water,46
,,hygrosensory_receptor_neuron,antenna_hygrosensory_receptor_neuron,hygrosensory,cooling,29
,,,antenna_hygrosensory_receptor_neuron,hygrosensory,dry,29
,,,antenna_hygrosensory_receptor_neuron,hygrosensory,humid,16
,,internal_taste_sensillum_neuron,crop_internal_taste_sensillum_neuron,gustatory,,52
,,,pharynx_internal_taste_sensillum_neuron,gustatory,,53
,,multidendritic_neuron,cibarium_multidendritic_neuron,contractile,,33
,,olfactory_receptor_neuron,antenna_olfactory_receptor_neuron,olfactory,alcoholic_fermentation_volatile,340
,,,antenna_olfactory_receptor_neuron,olfactory,animal_matter_volatile,12
,,,antenna_olfactory_receptor_neuron,olfactory,aversive_volatile,183
,,,antenna_olfactory_receptor_neuron,olfactory,carbon_dioxide_volatile,68
,,,antenna_olfactory_receptor_neuron,olfactory,decaying_fruit_volatile,306
,,,antenna_olfactory_receptor_neuron,olfactory,fruity_volatile,136
,,,antenna_olfactory_receptor_neuron,olfactory,pheromone_volatile,399
,,,antenna_olfactory_receptor_neuron,olfactory,plant_matter_volatile,26
,,,antenna_olfactory_receptor_neuron,olfactory,yeasty_volatile,261
,,,antenna_olfactory_receptor_neuron,olfactory,,270
,,,maxillary_palp_olfactory_receptor_neuron,olfactory,animal_matter_volatile,16
,,,maxillary_palp_olfactory_receptor_neuron,olfactory,fruity_volatile,67
,,,maxillary_palp_olfactory_receptor_neuron,olfactory,pheromone_volatile,32
,,,maxillary_palp_olfactory_receptor_neuron,olfactory,plant_matter_volatile,20
,,,maxillary_palp_olfactory_receptor_neuron,olfactory,yeasty_volatile,123
,,,maxillary_palp_olfactory_receptor_neuron,olfactory,,22
,,orphan_neuron,antenna_orphan_neuron,olfactory,,5
,,,antenna_orphan_neuron,tactile,,14
,,,antenna_orphan_neuron,,,8
,,,aorta_orphan_neuron,aorta,contractile,4
,,,labellum_orphan_neuron,tactile,,29
,,,pharynx_orphan_neuron,,,38
,,,unknown_orphan_neuron,,,8
,,photoreceptor_neuron,ocellus_photoreceptor_neuron,visual_ocellar,,273
,,taste_peg_neuron,labellum_taste_peg_neuron,gustatory_tactile,,147
,,thermosensory_receptor_neuron,antenna_thermosensory_receptor_neuron,thermosensory,cooling,9
,,,antenna_thermosensory_receptor_neuron,thermosensory,evaporation,13
,,,antenna_thermosensory_receptor_neuron,thermosensory,heating,7
,,,internal_thermosensory_receptor_neuron,thermosensory,internal_thermosensory,4
,optic_lobe_sensory,photoreceptor_neuron,hofbauer_buchner_eyelet_neuron,visual_achromatic,,4
,,,retina_photoreceptor_neuron,visual_achromatic,,8534
,,,retina_photoreceptor_neuron,visual_chromatic,,5272
,,,,visual_achromatic,,26
,,,,visual_chromatic,,11
,sensory_ascending,campaniform_sensillum_neuron,haltere_campaniform_sensillum_neuron,proprioception,mechanical_strain,546
,,,wing_base_campaniform_sensillum_neuron,proprioception,mechanical_strain,72
,,chordotonal_organ_neuron,front_leg_club_chordotonal_organ_neuron,proprioception,vibro_tactile,7
,,,hind_leg_club_chordotonal_organ_neuron,proprioception,vibro_tactile,7
,,,middle_leg_club_chordotonal_organ_neuron,proprioception,vibro_tactile,7
,,hair_plate_neuron,prosternal_hair_plate_neuron,proprioception,joint_angle,2
,,multidendritic_neuron,front_leg_multidendritic_neuron,putative_nociception,,9
,,,hind_leg_multidendritic_neuron,putative_nociception,,4
,,,middle_leg_multidendritic_neuron,putative_nociception,,4
,,,thorax_multidendritic_neuron,putative_nociception,,2
,,orphan_neuron,abdomen_orphan_neuron,oxygenation,,21
,,,abdomen_orphan_neuron,,,1
,,,front_leg_orphan_neuron,proprioception,,25
,,,middle_leg_orphan_neuron,,,1
,,,thorax_orphan_neuron,,,1
,,,unknown_orphan_neuron,,,1
,,,wing_base_orphan_neuron,proprioception,,13
,,taste_peg_neuron,front_leg_taste_peg_neuron,gustatory_tactile,sweet,5
,,,front_leg_taste_peg_neuron,gustatory_tactile,,112
,,,hind_leg_taste_peg_neuron,gustatory_tactile,sweet,5
,,,hind_leg_taste_peg_neuron,gustatory_tactile,,20
,,,middle_leg_taste_peg_neuron,gustatory_tactile,sweet,4
,,,middle_leg_taste_peg_neuron,gustatory_tactile,,19
,sensory_descending,bristle_neuron,eye_bristle_neuron,tactile,,8
,,campaniform_sensillum_neuron,antenna_campaniform_sensillum_neuron,proprioception,mechanical_strain,4
,,orphan_neuron,labellum_orphan_neuron,tactile,,7
,ventral_nerve_cord_sensory,bristle_neuron,front_leg_bristle_neuron,tactile,,445
,,,haltere_bristle_neuron,tactile,,36
,,,hind_leg_bristle_neuron,tactile,,723
,,,middle_leg_bristle_neuron,tactile,,679
,,,thorax_bristle_neuron,tactile,,237
,,,unknown_bristle_neuron,tactile,,1
,,,wing_margin_bristle_neuron,tactile,,349
,,campaniform_sensillum_neuron,front_leg_campaniform_sensillum_neuron,proprioception,mechanical_strain,2
,,,haltere_campaniform_sensillum_neuron,proprioception,mechanical_strain,22
,,,hind_leg_campaniform_sensillum_neuron,proprioception,mechanical_strain,4
,,,middle_leg_campaniform_sensillum_neuron,proprioception,mechanical_strain,4
,,,thorax_campaniform_sensillum_neuron,proprioception,mechanical_strain,12
,,,wing_base_campaniform_sensillum_neuron,proprioception,mechanical_strain,47
,,,wing_campaniform_sensillum_neuron,proprioception,mechanical_strain,6
,,,wing_tegula_campaniform_sensillum_neuron,proprioception,mechanical_strain,32
,,chordotonal_organ_neuron,front_leg_chordotonal_organ_neuron,proprioception,vibro_position,4
,,,front_leg_claw_chordotonal_organ_neuron,proprioception,position,21
,,,front_leg_club_chordotonal_organ_neuron,proprioception,vibro_tactile,31
,,,front_leg_hook_chordotonal,proprioception,direction,17
,,,hind_leg_chordotonal_organ_neuron,proprioception,vibro_position,10
,,,hind_leg_chordotonal_organ_neuron,proprioception,vibro_tactile,2
,,,hind_leg_claw_chordotonal_organ_neuron,proprioception,position,32
,,,hind_leg_club_chordotonal_organ_neuron,proprioception,vibro_tactile,77
,,,hind_leg_hook_chordotonal,proprioception,direction,22
,,,metathoracic_chordotonal_organ_neuron,proprioception,vibro_tactile,22
,,,middle_leg_chordotonal_organ_neuron,proprioception,vibro_position,12
,,,middle_leg_claw_chordotonal_organ_neuron,proprioception,position,38
,,,middle_leg_club_chordotonal_organ_neuron,proprioception,vibro_tactile,62
,,,middle_leg_hook_chordotonal,proprioception,direction,25
,,,prothoracic_chordotonal_organ_neuron,proprioception,vibro_tactile,51
,,,wheelers_chordotonal_organ_neuron,proprioception,vibro_tactile,60
,,,wing_base_chordotonal_organ_neuron,proprioception,vibro_position,35
,,,wing_tegula_chordotonal_organ_neuron,proprioception,vibro_position,18
,,hair_plate_neuron,front_leg_hair_plate_neuron,proprioception,joint_angle,35
,,,hind_leg_hair_plate_neuron,proprioception,joint_angle,34
,,,middle_leg_hair_plate_neuron,proprioception,joint_angle,38
,,,prosternal_hair_plate_neuron,proprioception,joint_angle,27
,,,thorax_hair_plate_neuron,proprioception,joint_angle,2
,,,wing_tegula_hair_plate_neuron,proprioception,joint_angle,11
,,multidendritic_neuron,abdomen_multidendritic_neuron,putative_nociception,,36
,,,abdominal_wall_multidendritic_neuron,gustatory,bitter,64
,,,front_leg_multidendritic_neuron,putative_nociception,,9
,,,hind_leg_multidendritic_neuron,putative_nociception,,11
,,,middle_leg_multidendritic_neuron,putative_nociception,,10
,,,wing_margin_multidendritic_neuron,putative_nociception,,1
,,,wing_multidendritic_neuron,putative_nociception,,10
,,orphan_neuron,abdomen_orphan_neuron,oxygenation,,6
,,,abdomen_orphan_neuron,,,880
,,,front_leg_orphan_neuron,proprioception,,24
,,,front_leg_orphan_neuron,,,174
,,,haltere_orphan_neuron,proprioception,,47
,,,haltere_orphan_neuron,,,9
,,,hind_leg_orphan_neuron,proprioception,,36
,,,hind_leg_orphan_neuron,,,126
,,,middle_leg_orphan_neuron,proprioception,,17
,,,middle_leg_orphan_neuron,,,75
,,,thorax_orphan_neuron,proprioception,,2
,,,thorax_orphan_neuron,,,11
,,,wing_margin_orphan_neuron,,,2
,,,wing_orphan_neuron,,,1
,,,wing_tegula_orphan_neuron,,,2
,,taste_peg_neuron,front_leg_taste_peg_neuron,gustatory_tactile,sweet,22
,,,front_leg_taste_peg_neuron,gustatory_tactile,,244
,,,hind_leg_taste_peg_neuron,gustatory_tactile,sweet,12
,,,hind_leg_taste_peg_neuron,gustatory_tactile,,253
,,,middle_leg_taste_peg_neuron,gustatory_tactile,sweet,11
,,,middle_leg_taste_peg_neuron,gustatory_tactile,,164
,,,wing_margin_taste_peg_neuron,gustatory_tactile,,391
efferent,ascending_visceral_circulatory,ventral_nerve_cord_neurosecretory_cell,haltere_neurosecretory_cell,,,2
,,,wing_neurosecretory_cell,,,4
,central_brain_motor,antenna_motor_neuron,,antenna_motor,,10
,,crop_motor_neuron,crop_motor_neuron,crop_motor,,7
,,,,1,,
,,eye_motor_neuron,,retina_motor,,4
,,neck_motor_neuron,neck_motor_neuron,neck_motor,neck_pitch,8
,,,neck_motor_neuron,neck_motor,neck_yaw,12
,,,neck_motor_neuron,neck_motor,,6
,,pharynx_motor_neuron,pharynx_motor_neuron,pharynx_motor,,18
,,proboscis_motor_neuron,proboscis_motor_neuron,proboscis_motor,,36
,,salivary_motor_neuron,salivary_motor_neuron,salivary_motor,,2
,,unknown_motor_neuron,,,,2
,central_brain_visceral_circulatory,pars_intercerebralis_neurosecretory_cell,enteric_neurosecretory_cell,,DMS,6
,,,enteric_neurosecretory_cell,,Dh44,6
,,,retrocerebral_complex_neurosecretory_cell,,insulin,18
,,,retrocerebral_complex_neurosecretory_cell,,pars_intercerebralis_other,10
